observation_date,CHELOLITOAASTSAM
1982-09-01,98.1651182373154
1982-10-01,98.2108214981539
1982-11-01,98.3161178659187
1982-12-01,98.4796757048881
1983-01-01,98.6413889615914
1983-02-01,98.8540982140495
1983-03-01,99.1651515946060
1983-04-01,99.5299107409394
1983-05-01,99.8926956408765
1983-06-01,100.1790079346600
1983-07-01,100.3471872319880
1983-08-01,100.4402610704060
1983-09-01,100.5298851712260
1983-10-01,100.5931414886760
1983-11-01,100.6510355751450
1983-12-01,100.7328631004030
1984-01-01,100.7910198669940
1984-02-01,100.8223964405120
1984-03-01,100.7783216243960
1984-04-01,100.6550383391520
1984-05-01,100.4889295105600
1984-06-01,100.3590246288380
1984-07-01,100.2860298587950
1984-08-01,100.2970396342180
1984-09-01,100.3476451069170
1984-10-01,100.4100556811370
1984-11-01,100.4597856337530
1984-12-01,100.4617123043130
1985-01-01,100.4835178362850
1985-02-01,100.5404349967010
1985-03-01,100.5983193945030
1985-04-01,100.6536092808860
1985-05-01,100.7037682553670
1985-06-01,100.7485699058150
1985-07-01,100.8057877139980
1985-08-01,100.9091578861310
1985-09-01,101.0531650030190
1985-10-01,101.2319698084430
1985-11-01,101.4068750809370
1985-12-01,101.5124006147410
1986-01-01,101.3446585287290
1986-02-01,101.1056718317080
1986-03-01,100.7969406730790
1986-04-01,100.4769847520890
1986-05-01,100.1671936523100
1986-06-01,99.8375787634213
1986-07-01,99.5806478631673
1986-08-01,99.4347003072392
1986-09-01,99.3992607990158
1986-10-01,99.4433062861112
1986-11-01,99.5116319011078
1986-12-01,99.6306788533290
1987-01-01,99.8444573225923
1987-02-01,100.0862952676570
1987-03-01,100.3548436399170
1987-04-01,100.5992715984430
1987-05-01,100.7812040866520
1987-06-01,100.9148974894030
1987-07-01,100.9654980357220
1987-08-01,100.8454449106320
1987-09-01,100.5931061134860
1987-10-01,100.2609893659410
1987-11-01,99.9316578925577
1987-12-01,99.6829551117201
1988-01-01,99.5701084024273
1988-02-01,99.5639696987607
1988-03-01,99.6342054202860
1988-04-01,99.7504750474905
1988-05-01,99.9230437484800
1988-06-01,100.1636003954820
1988-07-01,100.3959712420300
1988-08-01,100.5736278704340
1988-09-01,100.6941824074740
1988-10-01,100.7839947910980
1988-11-01,100.8695737082580
1988-12-01,100.9863714830190
1989-01-01,101.1085560411610
1989-02-01,101.2391407219560
1989-03-01,101.3725522162260
1989-04-01,101.4511582625630
1989-05-01,101.4855755495060
1989-06-01,101.5080197290120
1989-07-01,101.5636298927310
1989-08-01,101.6671653822900
1989-09-01,101.8024080213420
1989-10-01,101.8839253316080
1989-11-01,101.8829069519220
1989-12-01,101.7566588896120
1990-01-01,101.5117248610240
1990-02-01,101.1940983531800
1990-03-01,100.8415966468280
1990-04-01,100.4953847670430
1990-05-01,100.1477160724030
1990-06-01,99.7511245574792
1990-07-01,99.2685989899799
1990-08-01,98.7477081522553
1990-09-01,98.1959167159382
1990-10-01,97.6811691011331
1990-11-01,97.2841087732476
1990-12-01,97.0352212230716
1991-01-01,96.9779912413413
1991-02-01,97.1487249709620
1991-03-01,97.4818108175609
1991-04-01,97.8987913587381
1991-05-01,98.3031895433686
1991-06-01,98.5831574100928
1991-07-01,98.7504703519820
1991-08-01,98.8457333374311
1991-09-01,98.8652465436139
1991-10-01,98.8674733018279
1991-11-01,98.8731822093958
1991-12-01,98.8874808499826
1992-01-01,98.9514156113287
1992-02-01,99.0303603132005
1992-03-01,99.0734870648095
1992-04-01,99.0399762630479
1992-05-01,98.8810724195765
1992-06-01,98.6034377679043
1992-07-01,98.2612850964311
1992-08-01,97.8905363392778
1992-09-01,97.5594170621623
1992-10-01,97.3136383571619
1992-11-01,97.1676247686008
1992-12-01,97.1707207377437
1993-01-01,97.3342457014655
1993-02-01,97.6322439528139
1993-03-01,98.0461679693378
1993-04-01,98.5259566900563
1993-05-01,99.0070291987506
