observation_date,CSCICP03FRM665S
2006-04-01,99.70850
2006-05-01,99.47739
2006-06-01,99.45139
2006-07-01,99.70364
2006-08-01,99.94578
2006-09-01,100.14700
2006-10-01,100.34450
2006-11-01,100.41630
2006-12-01,100.46420
2007-01-01,100.53090
2007-02-01,100.63150
2007-03-01,100.79180
2007-04-01,101.10690
2007-05-01,101.55400
2007-06-01,101.75650
2007-07-01,101.61940
2007-08-01,101.23280
2007-09-01,100.74470
2007-10-01,100.24570
2007-11-01,99.70327
2007-12-01,99.30180
2008-01-01,98.87637
2008-02-01,98.63094
2008-03-01,98.37574
2008-04-01,98.01030
2008-05-01,97.56743
2008-06-01,97.20904
2008-07-01,97.16733
2008-08-01,97.33755
2008-09-01,97.47813
2008-10-01,97.48927
2008-11-01,97.56278
2008-12-01,97.51089
2009-01-01,97.43201
2009-02-01,97.36661
2009-03-01,97.48164
2009-04-01,97.87199
2009-05-01,98.20781
2009-06-01,98.45300
2009-07-01,98.58228
2009-08-01,98.70562
2009-09-01,99.12370
2009-10-01,99.57101
2009-11-01,99.90662
2009-12-01,100.01010
2010-01-01,99.92117
2010-02-01,99.57775
2010-03-01,99.16901
2010-04-01,98.81863
2010-05-01,98.49200
2010-06-01,98.34652
2010-07-01,98.45100
2010-08-01,98.69351
2010-09-01,98.91456
2010-10-01,99.16619
2010-11-01,99.30613
2010-12-01,99.06297
2011-01-01,98.68830
2011-02-01,98.38145
2011-03-01,98.16242
2011-04-01,98.07323
2011-05-01,98.10641
2011-06-01,98.08308
2011-07-01,97.96291
2011-08-01,97.68269
2011-09-01,97.56694
2011-10-01,97.55197
2011-11-01,97.38087
2011-12-01,97.30495
2012-01-01,97.51556
2012-02-01,97.98243
2012-03-01,98.53339
2012-04-01,98.88926
2012-05-01,99.06328
2012-06-01,98.87328
2012-07-01,98.40134
2012-08-01,97.94609
2012-09-01,97.54423
2012-10-01,97.37292
2012-11-01,97.38606
2012-12-01,97.40629
2013-01-01,97.34954
2013-02-01,97.25758
2013-03-01,97.09077
2013-04-01,96.89919
2013-05-01,96.69903
2013-06-01,96.79620
2013-07-01,97.24719
2013-08-01,97.78839
2013-09-01,98.12425
2013-10-01,98.15186
2013-11-01,97.96820
2013-12-01,97.94826
2014-01-01,98.03093
2014-02-01,98.10863
2014-03-01,98.12945
2014-04-01,98.01938
2014-05-01,97.87280
2014-06-01,97.77207
2014-07-01,97.80212
2014-08-01,97.80795
2014-09-01,97.78699
2014-10-01,97.88334
2014-11-01,98.11820
2014-12-01,98.47842
2015-01-01,98.86644
2015-02-01,99.24167
2015-03-01,99.44373
2015-04-01,99.45090
2015-05-01,99.28361
2015-06-01,99.15571
2015-07-01,99.14012
2015-08-01,99.32314
2015-09-01,99.55598
2015-10-01,99.74706
2015-11-01,99.86666
2015-12-01,99.88801
2016-01-01,99.82597
2016-02-01,99.58377
2016-03-01,99.35822
2016-04-01,99.30104
2016-05-01,99.34846
2016-06-01,99.27831
2016-07-01,99.29630
2016-08-01,99.44617
2016-09-01,99.69715
2016-10-01,99.95267
2016-11-01,100.19530
2016-12-01,100.33700
2017-01-01,100.31930
2017-02-01,100.23630
2017-03-01,100.24600
2017-04-01,100.44280
2017-05-01,100.79430
2017-06-01,101.15650
2017-07-01,101.10650
2017-08-01,100.84770
2017-09-01,100.65280
2017-10-01,100.72620
2017-11-01,101.02950
2017-12-01,101.20830
2018-01-01,101.08070
2018-02-01,100.74890
2018-03-01,100.46300
2018-04-01,100.18700
2018-05-01,99.93758
2018-06-01,99.71651
2018-07-01,99.57571
2018-08-01,99.36288
2018-09-01,99.07351
2018-10-01,98.90532
2018-11-01,98.64995
2018-12-01,98.54762
2019-01-01,98.90887
2019-02-01,99.31913
2019-03-01,99.59766
2019-04-01,99.78333
2019-05-01,100.01440
2019-06-01,100.21100
2019-07-01,100.39840
2019-08-01,100.51030
2019-09-01,100.62400
2019-10-01,100.63750
2019-11-01,100.52500
2019-12-01,100.24450
2020-01-01,100.00870
2020-02-01,99.56186
2020-03-01,98.65371
2020-04-01,97.80283
2020-05-01,97.88477
2020-06-01,98.50109
2020-07-01,98.97990
2020-08-01,99.15891
2020-09-01,99.09138
2020-10-01,98.76158
2020-11-01,98.49548
2020-12-01,98.68332
2021-01-01,98.77839
2021-02-01,98.98377
2021-03-01,99.49720
2021-04-01,100.12090
2021-05-01,100.90970
2021-06-01,101.49480
2021-07-01,101.48310
2021-08-01,101.24450
2021-09-01,101.13220
2021-10-01,100.84940
2021-11-01,100.53920
2021-12-01,100.19530
2022-01-01,99.76173
2022-02-01,99.02753
2022-03-01,97.87547
2022-04-01,97.25401
2022-05-01,96.97621
2022-06-01,96.79003
2022-07-01,96.76173
2022-08-01,96.85480
2022-09-01,96.82623
2022-10-01,96.92554
2022-11-01,97.02567
2022-12-01,96.94607
2023-01-01,96.85428
2023-02-01,96.81742
2023-03-01,96.97322
2023-04-01,97.32926
2023-05-01,97.79197
2023-06-01,98.20660
2023-07-01,98.39624
2023-08-01,98.35434
2023-09-01,98.23996
2023-10-01,98.26125
2023-11-01,98.52573
2023-12-01,98.83432
2024-01-01,99.20880
