report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-07-11T00:00:00.000,092741,SWISS FRANC,62771,17670,28455,613,401,31574,21268,450,617,12156,11722
2006-07-11T00:00:00.000,096742,BRITISH POUND,85671,35618,15728,8279,2089,10952,49796,0,0,25233,12469
2006-07-11T00:00:00.000,097741,JAPANESE YEN,173470,18071,48950,28246,1871,52568,61742,6407,922,32705,24512
2006-07-11T00:00:00.000,098662,USD INDEX,20530,12048,10289,0,873,3861,1764,1051,2152,1106,2988
2006-07-11T00:00:00.000,099741,EURO FX,168069,69298,10862,19496,13091,10315,109144,5852,2750,55720,24834
2006-07-11T00:00:00.000,112741,NZ DOLLAR,14081,4329,5032,877,240,6375,5962,0,675,1637,1309
2006-07-11T00:00:00.000,232741,AUSTRALIAN DOLLAR,51757,20895,6892,1914,906,5761,27506,546,2724,19062,10150
2006-07-18T00:00:00.000,090741,CANADIAN DOLLAR,83415,23661,11041,5300,6294,13695,40924,4070,3166,33659,18960
2006-07-18T00:00:00.000,092741,SWISS FRANC,69612,17372,31234,634,0,39999,18684,450,2029,10969,17477
2006-07-18T00:00:00.000,096742,BRITISH POUND,88080,37261,12966,8455,2265,11954,51423,505,1081,24011,14451
2006-07-18T00:00:00.000,097741,JAPANESE YEN,203567,22044,93171,28036,2432,75671,30843,6875,3527,29769,32422
2006-07-18T00:00:00.000,098662,USD INDEX,17233,9653,6000,95,608,1416,2746,1358,2081,1730,2817
2006-07-18T00:00:00.000,099741,EURO FX,152795,50192,10830,20735,11973,11730,83926,6518,2682,55354,35118
2006-07-18T00:00:00.000,112741,NZ DOLLAR,14948,6929,4470,1130,0,4178,6920,275,994,1555,1683
2006-07-18T00:00:00.000,232741,AUSTRALIAN DOLLAR,54649,29627,5382,1923,906,1424,36607,546,2915,19850,7560
2006-07-25T00:00:00.000,090741,CANADIAN DOLLAR,91963,25756,24127,5136,6304,19189,35533,3113,3179,35272,19323
