observation_date,BSCICP03JPM665S
2004-10-01,101.29270
2004-11-01,101.22300
2004-12-01,101.13700
2005-01-01,101.04770
2005-02-01,100.96980
2005-03-01,100.92380
2005-04-01,100.92800
2005-05-01,100.95830
2005-06-01,100.98890
2005-07-01,101.00530
2005-08-01,101.01850
2005-09-01,101.04820
2005-10-01,101.10990
2005-11-01,101.18500
2005-12-01,101.24750
2006-01-01,101.27700
2006-02-01,101.28430
2006-03-01,101.28260
2006-04-01,101.27920
2006-05-01,101.27820
2006-06-01,101.28300
2006-07-01,101.29800
2006-08-01,101.32320
2006-09-01,101.36190
2006-10-01,101.41710
2006-11-01,101.47490
2006-12-01,101.51580
2007-01-01,101.52290
2007-02-01,101.50700
2007-03-01,101.47800
2007-04-01,101.43810
2007-05-01,101.38910
2007-06-01,101.32790
2007-07-01,101.25180
2007-08-01,101.17520
2007-09-01,101.11770
2007-10-01,101.09190
2007-11-01,101.07340
2007-12-01,101.02620
2008-01-01,100.92120
2008-02-01,100.78310
2008-03-01,100.64180
2008-04-01,100.51520
2008-05-01,100.39650
2008-06-01,100.27030
2008-07-01,100.12100
2008-08-01,99.94873
2008-09-01,99.74229
2008-10-01,99.47456
2008-11-01,99.13264
2008-12-01,98.67658
2009-01-01,98.07246
2009-02-01,97.43947
2009-03-01,96.94803
2009-04-01,96.74666
2009-05-01,96.74738
2009-06-01,96.87119
2009-07-01,97.09148
2009-08-01,97.35435
2009-09-01,97.62308
2009-10-01,97.88006
2009-11-01,98.12286
2009-12-01,98.34990
2010-01-01,98.56043
2010-02-01,98.77017
2010-03-01,98.99934
2010-04-01,99.26153
2010-05-01,99.53313
2010-06-01,99.77795
2010-07-01,99.96246
2010-08-01,100.09790
2010-09-01,100.18800
2010-10-01,100.22600
2010-11-01,100.23710
2010-12-01,100.24020
2011-01-01,100.23730
2011-02-01,100.20960
2011-03-01,100.12080
2011-04-01,99.94515
2011-05-01,99.75547
2011-06-01,99.65676
2011-07-01,99.73287
2011-08-01,99.90256
2011-09-01,100.06400
2011-10-01,100.14590
2011-11-01,100.16640
2011-12-01,100.15140
2012-01-01,100.11390
2012-02-01,100.06940
2012-03-01,100.02890
2012-04-01,99.99908
2012-05-01,99.97933
2012-06-01,99.96893
2012-07-01,99.96493
2012-08-01,99.95054
2012-09-01,99.89904
2012-10-01,99.78822
2012-11-01,99.65184
2012-12-01,99.53606
2013-01-01,99.48130
2013-02-01,99.48360
2013-03-01,99.54938
2013-04-01,99.69309
2013-05-01,99.87151
2013-06-01,100.03860
2013-07-01,100.16550
2013-08-01,100.27250
2013-09-01,100.38970
2013-10-01,100.53890
2013-11-01,100.70420
2013-12-01,100.85980
2014-01-01,100.98060
2014-02-01,101.06370
2014-03-01,101.09550
2014-04-01,101.05730
2014-05-01,100.98100
2014-06-01,100.89970
2014-07-01,100.83540
2014-08-01,100.79240
2014-09-01,100.77700
2014-10-01,100.79660
2014-11-01,100.83110
2014-12-01,100.85700
2015-01-01,100.85760
2015-02-01,100.84090
2015-03-01,100.81680
2015-04-01,100.79220
2015-05-01,100.77270
2015-06-01,100.76500
2015-07-01,100.77460
2015-08-01,100.79150
2015-09-01,100.80220
2015-10-01,100.79560
2015-11-01,100.77360
2015-12-01,100.73610
2016-01-01,100.68110
2016-02-01,100.61940
2016-03-01,100.56420
2016-04-01,100.52610
2016-05-01,100.50250
2016-06-01,100.49320
2016-07-01,100.50210
2016-08-01,100.52460
2016-09-01,100.56060
2016-10-01,100.61450
2016-11-01,100.68030
2016-12-01,100.75500
2017-01-01,100.83810
2017-02-01,100.92370
2017-03-01,101.00510
2017-04-01,101.07820
2017-05-01,101.14770
2017-06-01,101.22050
2017-07-01,101.30210
2017-08-01,101.39040
2017-09-01,101.48220
2017-10-01,101.57320
2017-11-01,101.65420
2017-12-01,101.70890
2018-01-01,101.72060
2018-02-01,101.70620
2018-03-01,101.68190
2018-04-01,101.65620
2018-05-01,101.63160
2018-06-01,101.60830
2018-07-01,101.58720
2018-08-01,101.57050
2018-09-01,101.56110
2018-10-01,101.55740
2018-11-01,101.54010
2018-12-01,101.47650
2019-01-01,101.33720
2019-02-01,101.16050
2019-03-01,100.99200
2019-04-01,100.86380
2019-05-01,100.76370
2019-06-01,100.67540
2019-07-01,100.59020
2019-08-01,100.50740
2019-09-01,100.43070
2019-10-01,100.36340
2019-11-01,100.29620
2019-12-01,100.20880
2020-01-01,100.07040
2020-02-01,99.86155
2020-03-01,99.53538
2020-04-01,99.05036
2020-05-01,98.51986
2020-06-01,98.10135
2020-07-01,97.93121
2020-08-01,97.94748
2020-09-01,98.10412
2020-10-01,98.39889
2020-11-01,98.76083
2020-12-01,99.13058
2021-01-01,99.47356
2021-02-01,99.78532
2021-03-01,100.05740
2021-04-01,100.27470
2021-05-01,100.45190
2021-06-01,100.59290
2021-07-01,100.69030
2021-08-01,100.76080
2021-09-01,100.81380
2021-10-01,100.84760
2021-11-01,100.86200
2021-12-01,100.84700
2022-01-01,100.78990
2022-02-01,100.71320
2022-03-01,100.64280
2022-04-01,100.59660
2022-05-01,100.56670
2022-06-01,100.54340
2022-07-01,100.52330
2022-08-01,100.51060
2022-09-01,100.51440
2022-10-01,100.54030
2022-11-01,100.56390
2022-12-01,100.54930
2023-01-01,100.46960
2023-02-01,100.36520
2023-03-01,100.29200
2023-04-01,100.29240
2023-05-01,100.33690
2023-06-01,100.38950
2023-07-01,100.42920
2023-08-01,100.46430
2023-09-01,100.51410
2023-10-01,100.59630
2023-11-01,100.69890
2023-12-01,100.80850
