observation_date,PIEAMP01DEM661N
2019-06-01,103.7000000000000
2019-07-01,103.8000000000000
2019-08-01,103.7000000000000
2019-09-01,103.8000000000000
2019-10-01,103.7000000000000
2019-11-01,103.7000000000000
2019-12-01,103.8000000000000
2020-01-01,104.1000000000000
2020-02-01,104.1000000000000
2020-03-01,103.5000000000000
2020-04-01,103.1000000000000
2020-05-01,102.8000000000000
2020-06-01,102.8000000000000
2020-07-01,102.9000000000000
2020-08-01,102.8000000000000
2020-09-01,102.8000000000000
2020-10-01,102.8000000000000
2020-11-01,103.0000000000000
2020-12-01,103.1000000000000
2021-01-01,103.9000000000000
2021-02-01,104.5000000000000
2021-03-01,105.3000000000000
2021-04-01,106.1000000000000
2021-05-01,106.9000000000000
2021-06-01,107.7000000000000
2021-07-01,108.9000000000000
2021-08-01,109.6000000000000
2021-09-01,110.2000000000000
2021-10-01,111.3000000000000
2021-11-01,112.0000000000000
2021-12-01,112.5000000000000
2022-01-01,115.2000000000000
2022-02-01,116.4000000000000
2022-03-01,119.4000000000000
2022-04-01,121.9000000000000
2022-05-01,123.2000000000000
2022-06-01,123.9000000000000
2022-07-01,124.7000000000000
2022-08-01,125.1000000000000
2022-09-01,125.8000000000000
2022-10-01,126.4000000000000
2022-11-01,125.8000000000000
2022-12-01,125.2000000000000
