observation_date,CSCICP03GBM665S
2007-05-01,101.21160
2007-06-01,101.29960
2007-07-01,101.30450
2007-08-01,101.33760
2007-09-01,101.30600
2007-10-01,101.18140
2007-11-01,100.90620
2007-12-01,100.64360
2008-01-01,100.34790
2008-02-01,99.90131
2008-03-01,99.25809
2008-04-01,98.33733
2008-05-01,97.38904
2008-06-01,96.50443
2008-07-01,95.93453
2008-08-01,95.94217
2008-09-01,96.11249
2008-10-01,96.15131
2008-11-01,96.06740
2008-12-01,95.80627
2009-01-01,95.53555
2009-02-01,95.75497
2009-03-01,96.35820
2009-04-01,97.01779
2009-05-01,97.53914
2009-06-01,98.05721
2009-07-01,98.51521
2009-08-01,99.00284
2009-09-01,99.67613
2009-10-01,100.09350
2009-11-01,100.22990
2009-12-01,100.26120
2010-01-01,100.42750
2010-02-01,100.54840
2010-03-01,100.46150
2010-04-01,100.20390
2010-05-01,99.84649
2010-06-01,99.52554
2010-07-01,99.24570
2010-08-01,99.04993
2010-09-01,98.69480
2010-10-01,98.37521
2010-11-01,98.07201
2010-12-01,97.77092
2011-01-01,97.36269
2011-02-01,97.12045
2011-03-01,96.97465
2011-04-01,97.00706
2011-05-01,97.36995
2011-06-01,97.39727
2011-07-01,97.10565
2011-08-01,96.66331
2011-09-01,96.27867
2011-10-01,96.03825
2011-11-01,96.06461
2011-12-01,96.25303
2012-01-01,96.54737
2012-02-01,96.62575
2012-03-01,96.48772
2012-04-01,96.35075
2012-05-01,96.36002
2012-06-01,96.52392
2012-07-01,96.78032
2012-08-01,96.88307
2012-09-01,96.85086
2012-10-01,96.93995
2012-11-01,97.24828
2012-12-01,97.32408
2013-01-01,97.31844
2013-02-01,97.27979
2013-03-01,97.38625
2013-04-01,97.58126
2013-05-01,97.92049
2013-06-01,98.47762
2013-07-01,99.25689
2013-08-01,99.76202
2013-09-01,99.95473
2013-10-01,99.92602
2013-11-01,99.90483
2013-12-01,100.16100
2014-01-01,100.62320
2014-02-01,100.97570
2014-03-01,101.30420
2014-04-01,101.56710
2014-05-01,101.72050
2014-06-01,101.80740
2014-07-01,101.80520
2014-08-01,101.78950
2014-09-01,101.63510
2014-10-01,101.56000
2014-11-01,101.52440
2014-12-01,101.65850
2015-01-01,101.94520
2015-02-01,102.21240
2015-03-01,102.39980
2015-04-01,102.39300
2015-05-01,102.26410
2015-06-01,102.40430
2015-07-01,102.49440
2015-08-01,102.47280
2015-09-01,102.39470
2015-10-01,102.37860
2015-11-01,102.43230
2015-12-01,102.61980
2016-01-01,102.63050
2016-02-01,102.44730
2016-03-01,102.23590
2016-04-01,102.02360
2016-05-01,101.78520
2016-06-01,101.37810
2016-07-01,100.83110
2016-08-01,100.82690
2016-09-01,101.18380
