observation_date,LCEAMN01DEM661N
2014-01-01,1.09400000000000008
2014-02-01,
2014-03-01,
2014-04-01,1.11299999999999999
2014-05-01,
2014-06-01,
2014-07-01,1.11400000000000010
2014-08-01,
2014-09-01,
2014-10-01,1.12200000000000011
2014-11-01,
2014-12-01,
2015-01-01,1.12000000000000011
2015-02-01,
2015-03-01,
2015-04-01,1.14300000000000002
2015-05-01,
2015-06-01,
2015-07-01,1.13999999999999990
2015-08-01,
2015-09-01,
2015-10-01,1.14799999999999991
