observation_date,CSCICP03DEM665S
2013-12-01,101.37220
2014-01-01,101.51340
2014-02-01,101.57440
2014-03-01,101.57650
2014-04-01,101.59670
2014-05-01,101.63150
2014-06-01,101.61520
2014-07-01,101.50010
2014-08-01,101.27320
2014-09-01,101.10930
2014-10-01,101.07950
2014-11-01,101.12250
2014-12-01,101.26700
2015-01-01,101.45390
2015-02-01,101.62270
2015-03-01,101.75460
2015-04-01,101.80050
2015-05-01,101.75980
2015-06-01,101.65400
2015-07-01,101.50960
2015-08-01,101.32960
2015-09-01,101.10350
2015-10-01,100.92940
2015-11-01,100.91350
2015-12-01,101.01770
2016-01-01,101.07540
2016-02-01,101.09090
2016-03-01,101.12400
2016-04-01,101.21680
2016-05-01,101.30310
2016-06-01,101.36520
2016-07-01,101.34780
2016-08-01,101.30670
2016-09-01,101.27350
2016-10-01,101.29570
2016-11-01,101.37430
2016-12-01,101.44170
2017-01-01,101.43680
2017-02-01,101.39090
2017-03-01,101.47130
2017-04-01,101.64310
2017-05-01,101.81900
2017-06-01,101.93750
2017-07-01,101.94070
2017-08-01,101.86710
2017-09-01,101.82930
2017-10-01,101.85680
2017-11-01,101.89590
2017-12-01,101.95440
2018-01-01,102.02440
2018-02-01,102.02410
2018-03-01,101.95780
2018-04-01,101.87800
2018-05-01,101.79840
2018-06-01,101.71520
2018-07-01,101.62990
2018-08-01,101.61290
2018-09-01,101.60070
2018-10-01,101.56660
2018-11-01,101.53260
2018-12-01,101.50790
2019-01-01,101.52250
2019-02-01,101.53690
2019-03-01,101.54260
2019-04-01,101.49010
2019-05-01,101.36020
2019-06-01,101.17810
2019-07-01,101.02750
2019-08-01,100.92630
2019-09-01,100.91830
2019-10-01,100.92570
2019-11-01,101.02540
2019-12-01,101.03870
2020-01-01,100.94960
2020-02-01,100.56570
2020-03-01,99.76041
2020-04-01,98.97236
2020-05-01,98.87707
2020-06-01,99.27290
2020-07-01,99.67586
2020-08-01,99.96133
2020-09-01,100.01870
2020-10-01,99.85020
2020-11-01,99.62884
2020-12-01,99.48254
2021-01-01,99.38899
2021-02-01,99.55241
2021-03-01,99.86309
2021-04-01,100.19510
2021-05-01,100.72960
2021-06-01,101.20030
2021-07-01,101.33860
2021-08-01,101.32510
2021-09-01,101.32510
2021-10-01,101.13640
2021-11-01,100.82410
2021-12-01,100.54360
2022-01-01,100.31550
2022-02-01,99.82526
2022-03-01,98.99736
2022-04-01,98.31261
2022-05-01,97.88760
2022-06-01,97.46780
2022-07-01,96.96781
2022-08-01,96.58382
2022-09-01,96.25601
2022-10-01,96.30234
2022-11-01,96.70882
2022-12-01,97.27535
2023-01-01,97.84327
2023-02-01,98.30519
2023-03-01,98.59431
2023-04-01,98.87574
2023-05-01,99.00756
2023-06-01,98.98956
2023-07-01,98.88905
2023-08-01,98.72430
2023-09-01,98.60360
2023-10-01,98.56326
2023-11-01,98.55389
2023-12-01,98.55756
2024-01-01,98.40506
