observation_date,ULQEUL01USQ661S
1994-07-01,71.8674197659421
1994-10-01,71.9262710186711
1995-01-01,72.4622086591164
1995-04-01,72.7863186676637
1995-07-01,73.0429203642324
1995-10-01,73.2761633645520
1996-01-01,73.6392389495328
1996-04-01,73.5342710511181
1996-07-01,73.8911683043269
1996-10-01,74.2276957871580
1997-01-01,75.0898802649760
1997-04-01,74.7906842467532
1997-07-01,74.9720735013441
1997-10-01,75.9785085207360
1998-01-01,76.5920665578276
1998-04-01,77.3148284965162
1998-07-01,77.5973942329817
1998-10-01,77.5533882217101
1999-01-01,78.0267075319486
1999-04-01,78.2402196573098
1999-07-01,78.3146955203161
1999-10-01,78.7874586473907
2000-01-01,81.3780422726284
2000-04-01,80.4769736747242
2000-07-01,81.8826335321482
2000-10-01,81.7818977072918
2001-01-01,83.6882774139858
2001-04-01,83.0138981456603
2001-07-01,83.0410300654893
2001-10-01,82.9715878575987
2002-01-01,82.4248473611619
2002-04-01,82.9115128720946
2002-07-01,82.9889422360302
2002-10-01,83.6388119861364
2003-01-01,83.3735979574734
2003-04-01,83.8597419599181
2003-07-01,83.7496870641521
2003-10-01,84.2073509716683
2004-01-01,84.1453834639868
2004-04-01,85.0937676413750
2004-07-01,86.1269527673051
2004-10-01,86.0287140429266
2005-01-01,85.8737567799406
2005-04-01,86.3800727547825
2005-07-01,86.8621483507198
2005-10-01,87.4843099670039
2006-01-01,88.5034540844046
2006-04-01,88.7474070047703
2006-07-01,89.2002435756692
2006-10-01,90.2249273132336
2007-01-01,91.9985673743895
2007-04-01,91.8669844705220
2007-07-01,91.6233316426774
2007-10-01,92.0392750119275
2008-01-01,93.3726940192841
2008-04-01,92.8417097600291
2008-07-01,93.4709102967338
2008-10-01,94.9944320300741
2009-01-01,92.5300329261676
2009-04-01,93.1385081222663
2009-07-01,92.6145127934085
2009-10-01,92.2037121954147
2010-01-01,91.4128012225979
2010-04-01,92.2398369486562
2010-07-01,92.2112914646603
2010-10-01,92.3760482367326
2011-01-01,94.0866811723945
2011-04-01,93.7953434451580
2011-07-01,94.5918373412944
2011-10-01,93.0217065862204
2012-01-01,94.6238728184310
2012-04-01,94.7747578826262
2012-07-01,95.1688664236567
2012-10-01,97.4302631538838
2013-01-01,96.0218861227549
2013-04-01,96.7264157220172
2013-07-01,96.1996872789341
2013-10-01,96.2079744477549
2014-01-01,98.4941931815210
2014-04-01,97.6528890575213
2014-07-01,97.6776281062900
2014-10-01,98.9001696397853
2015-01-01,99.3428585798180
2015-04-01,99.9015967737726
2015-07-01,100.2343844752460
2015-10-01,100.5211601711630
2016-01-01,100.4883304269230
2016-04-01,100.7743249377170
2016-07-01,100.8385909182750
2016-10-01,101.3306318756000
2017-01-01,101.9972250650240
2017-04-01,102.4888351757620
2017-07-01,102.9827810978060
2017-10-01,103.7444039051930
2018-01-01,104.1567155922980
2018-04-01,104.5876782707820
2018-07-01,105.3470764442030
2018-10-01,105.8238326422210
2019-01-01,107.1331647960180
2019-04-01,106.7767822864610
2019-07-01,106.3594250555680
2019-10-01,107.0493581584520
2020-01-01,109.9316895806000
2020-04-01,112.4082444439300
2020-07-01,109.3625288074830
2020-10-01,111.9139037300430
2021-01-01,111.4385825695150
2021-04-01,112.8944154016720
2021-07-01,114.8970265494920
2021-10-01,115.6149501422410
2022-01-01,117.2720926015750
2022-04-01,118.7057699413440
2022-07-01,120.5073457902660
2022-10-01,120.2222293460880
2023-01-01,122.0840783363940
2023-04-01,123.0132259445250
2023-07-01,123.0835620150570
