observation_date,BSCICP03AUM665S
2011-11-01,99.61792
2011-12-01,99.70823
2012-01-01,99.78728
2012-02-01,99.86717
2012-03-01,99.95850
2012-04-01,100.06090
2012-05-01,100.17010
2012-06-01,100.27390
2012-07-01,100.34160
2012-08-01,100.31870
2012-09-01,100.15730
2012-10-01,99.93787
2012-11-01,99.76291
2012-12-01,99.70962
2013-01-01,99.73744
2013-02-01,99.79768
2013-03-01,99.86184
2013-04-01,99.91776
2013-05-01,99.96164
2013-06-01,99.99837
2013-07-01,100.05400
2013-08-01,100.16690
2013-09-01,100.36070
2013-10-01,100.55900
2013-11-01,100.64520
2013-12-01,100.51710
2014-01-01,100.25380
2014-02-01,99.94843
2014-03-01,99.67632
2014-04-01,99.50486
2014-05-01,99.54063
2014-06-01,99.87583
2014-07-01,100.32750
2014-08-01,100.66480
2014-09-01,100.72020
2014-10-01,100.61420
2014-11-01,100.50380
2014-12-01,100.49080
2015-01-01,100.53580
2015-02-01,100.56980
2015-03-01,100.54710
2015-04-01,100.50980
2015-05-01,100.52680
2015-06-01,100.64610
2015-07-01,100.79330
2015-08-01,100.86370
2015-09-01,100.78600
2015-10-01,100.66280
2015-11-01,100.63700
2015-12-01,100.80480
2016-01-01,101.02970
2016-02-01,101.11280
2016-03-01,100.90510
2016-04-01,100.56230
2016-05-01,100.30230
2016-06-01,100.29760
2016-07-01,100.48560
2016-08-01,100.79860
2016-09-01,101.19990
2016-10-01,101.59690
2016-11-01,101.87500
2016-12-01,101.93720
2017-01-01,101.86130
2017-02-01,101.72590
2017-03-01,101.57310
2017-04-01,101.43210
2017-05-01,101.33060
2017-06-01,101.29580
2017-07-01,101.31510
2017-08-01,101.38450
2017-09-01,101.50420
2017-10-01,101.62240
2017-11-01,101.67100
2017-12-01,101.60190
2018-01-01,101.49280
2018-02-01,101.44790
2018-03-01,101.53800
2018-04-01,101.67700
2018-05-01,101.74210
2018-06-01,101.64670
2018-07-01,101.48510
2018-08-01,101.38990
2018-09-01,101.45370
2018-10-01,101.58560
2018-11-01,101.65840
2018-12-01,101.58730
2019-01-01,101.46880
2019-02-01,101.43990
2019-03-01,101.58620
2019-04-01,101.75980
2019-05-01,101.74240
2019-06-01,101.38110
2019-07-01,100.91480
2019-08-01,100.67540
2019-09-01,100.89210
2019-10-01,101.27040
2019-11-01,101.38000
2019-12-01,100.88130
2020-01-01,100.02030
2020-02-01,99.11501
2020-03-01,98.40342
2020-04-01,97.93658
2020-05-01,97.81181
2020-06-01,98.16134
2020-07-01,98.79897
2020-08-01,99.55965
2020-09-01,100.35100
2020-10-01,101.08180
2020-11-01,101.63010
2020-12-01,101.87200
2021-01-01,101.89250
2021-02-01,101.74390
2021-03-01,101.42550
2021-04-01,101.03140
2021-05-01,100.66200
2021-06-01,100.40960
2021-07-01,100.32040
2021-08-01,100.49150
2021-09-01,101.00620
2021-10-01,101.60750
2021-11-01,101.95740
2021-12-01,101.80880
2022-01-01,101.42950
2022-02-01,101.17400
2022-03-01,101.28600
2022-04-01,101.57760
2022-05-01,101.76690
2022-06-01,101.63710
2022-07-01,101.29660
2022-08-01,100.88740
2022-09-01,100.50320
2022-10-01,100.17730
2022-11-01,99.94260
2022-12-01,99.83431
2023-01-01,99.80130
2023-02-01,99.80017
2023-03-01,99.81425
2023-04-01,99.84066
2023-05-01,99.89031
2023-06-01,99.97552
2023-07-01,100.07450
2023-08-01,100.15850
2023-09-01,100.20560
2023-10-01,100.22900
2023-11-01,100.24410
