observation_date,XTEXVA01EZM667S
2003-07-01,97009349436.751602
2003-08-01,97393871660.077408
2003-09-01,99058044615.795013
2003-10-01,102308855420.281006
2003-11-01,102284707181.692001
2003-12-01,110775511005.203003
2004-01-01,114266832847.134003
2004-02-01,115775460025.638000
2004-03-01,112098682471.356995
2004-04-01,112944913687.188004
2004-05-01,115147913063.326004
2004-06-01,115361236117.473999
2004-07-01,118020361061.934998
2004-08-01,113438850353.085999
2004-09-01,114868028414.487000
2004-10-01,121062562689.548004
2004-11-01,124931803061.565002
2004-12-01,127674401102.903000
2005-01-01,128874478444.572983
2005-02-01,124905013020.988998
2005-03-01,127039528111.416000
2005-04-01,128360057365.568985
2005-05-01,126322091362.604996
2005-06-01,123724232851.880005
2005-07-01,124152693975.690994
2005-08-01,129558494818.393005
2005-09-01,130155926493.826996
2005-10-01,126949570480.869995
2005-11-01,126329734790.044998
2005-12-01,129808794859.455002
2006-01-01,133885727024.317993
2006-02-01,132123803818.830994
2006-03-01,132745897927.582001
2006-04-01,140244099427.604980
2006-05-01,143211242380.671997
2006-06-01,142557407424.562012
2006-07-01,143602549007.873993
2006-08-01,146697784984.496979
2006-09-01,151332194898.333984
2006-10-01,150936700885.761017
2006-11-01,156865764259.513000
2006-12-01,165029384974.843994
2007-01-01,155836605021.171021
2007-02-01,158789982773.945007
2007-03-01,160773406244.112000
2007-04-01,168476200694.394012
2007-05-01,164980017182.027008
2007-06-01,166736260743.368988
2007-07-01,171583393367.473022
2007-08-01,174992671654.876007
2007-09-01,178648505087.036011
2007-10-01,182330100222.217987
2007-11-01,188001906605.912994
2007-12-01,185436320552.552002
2008-01-01,195973995521.653992
2008-02-01,195157253322.544952
2008-03-01,202870189102.980988
2008-04-01,209884709374.876007
2008-05-01,200553438030.559998
2008-06-01,208030345900.303986
2008-07-01,208122739106.604004
2008-08-01,199475784753.363007
2008-09-01,190097789370.720001
2008-10-01,169647930974.778992
2008-11-01,152776873171.352020
2008-12-01,155099160792.211975
2009-01-01,138559541078.729004
2009-02-01,134795875232.177994
2009-03-01,135225214865.746017
2009-04-01,135986088939.567001
2009-05-01,142327838136.751007
2009-06-01,147994687390.514984
2009-07-01,153888257993.385010
2009-08-01,149993865905.848999
2009-09-01,156800768110.184021
2009-10-01,161428000000.000000
2009-11-01,164204903764.858002
2009-12-01,163797998226.276001
2010-01-01,162457131197.714996
2010-02-01,159031264965.450989
2010-03-01,167339755766.621002
2010-04-01,161504432537.750000
2010-05-01,158873347701.150024
2010-06-01,160050030526.725006
2010-07-01,169099761697.181000
2010-08-01,169669148250.190002
2010-09-01,174230286802.332001
2010-10-01,188979722222.221985
2010-11-01,183929325731.283997
2010-12-01,175533103527.518982
2011-01-01,188957910744.053986
2011-02-01,194734994878.798004
2011-03-01,200285126736.533997
2011-04-01,206143349855.432007
2011-05-01,207982754132.500000
2011-06-01,202652959664.746002
2011-07-01,206598945649.955994
2011-08-01,211150922348.248993
2011-09-01,201149793672.626953
2011-10-01,200145805566.444000
2011-11-01,202009841524.325989
2011-12-01,196969941436.596008
2012-01-01,197260000000.000000
2012-02-01,202725515285.218994
2012-03-01,202857117127.933990
2012-04-01,206124099254.338989
2012-05-01,201235609810.354950
2012-06-01,195607503581.661987
2012-07-01,192748989391.402008
2012-08-01,202780935174.198975
