observation_date,BSCICP03FRM665S
1991-03-01,98.03844
1991-04-01,98.16342
1991-05-01,98.36191
1991-06-01,98.57428
1991-07-01,98.63744
1991-08-01,98.62263
1991-09-01,98.54881
1991-10-01,98.43176
1991-11-01,98.39239
1991-12-01,98.39545
1992-01-01,98.49527
1992-02-01,98.64349
1992-03-01,98.62370
1992-04-01,98.53941
1992-05-01,98.55869
1992-06-01,98.46544
1992-07-01,98.25912
1992-08-01,97.97290
1992-09-01,97.57047
1992-10-01,97.02592
1992-11-01,96.50265
1992-12-01,96.07257
1993-01-01,95.75792
1993-02-01,95.54868
1993-03-01,95.39052
1993-04-01,95.29087
1993-05-01,95.23638
1993-06-01,95.13777
1993-07-01,95.21105
1993-08-01,95.47434
1993-09-01,95.79488
1993-10-01,96.10728
1993-11-01,96.57433
1993-12-01,97.17153
1994-01-01,97.73582
1994-02-01,98.22810
1994-03-01,98.92554
1994-04-01,99.68862
1994-05-01,100.26090
1994-06-01,100.62350
1994-07-01,100.90460
1994-08-01,101.25730
1994-09-01,101.59570
1994-10-01,101.79280
1994-11-01,101.87440
1994-12-01,101.89150
1995-01-01,101.85560
1995-02-01,101.65240
1995-03-01,101.45690
1995-04-01,101.36840
1995-05-01,101.19360
1995-06-01,100.81010
1995-07-01,100.41020
1995-08-01,99.99030
1995-09-01,99.57871
1995-10-01,99.19130
1995-11-01,98.77888
1995-12-01,98.40821
1996-01-01,98.27903
1996-02-01,98.30370
1996-03-01,98.39120
1996-04-01,98.50834
1996-05-01,98.50637
1996-06-01,98.50246
1996-07-01,98.55494
1996-08-01,98.77044
1996-09-01,99.04503
1996-10-01,99.24419
1996-11-01,99.32374
1996-12-01,99.38855
1997-01-01,99.56145
1997-02-01,99.67767
1997-03-01,99.78254
1997-04-01,99.91206
1997-05-01,100.16010
1997-06-01,100.42820
1997-07-01,100.72840
1997-08-01,101.06910
1997-09-01,101.32740
1997-10-01,101.40650
1997-11-01,101.47660
1997-12-01,101.65490
1998-01-01,101.79790
1998-02-01,101.97610
1998-03-01,102.21160
1998-04-01,102.29890
1998-05-01,102.39520
1998-06-01,102.52070
1998-07-01,102.41010
1998-08-01,102.10970
1998-09-01,101.60650
1998-10-01,100.92200
1998-11-01,100.40940
1998-12-01,100.07940
1999-01-01,99.90684
1999-02-01,99.86821
1999-03-01,99.78748
1999-04-01,99.87340
1999-05-01,100.09530
1999-06-01,100.50970
1999-07-01,101.14190
1999-08-01,101.79460
1999-09-01,102.31020
1999-10-01,102.58850
1999-11-01,102.72490
1999-12-01,102.67980
2000-01-01,102.72750
2000-02-01,102.96770
2000-03-01,103.26120
2000-04-01,103.50520
2000-05-01,103.70070
2000-06-01,103.82920
2000-07-01,103.82900
2000-08-01,103.77630
2000-09-01,103.67900
2000-10-01,103.49490
2000-11-01,103.14330
2000-12-01,102.65460
2001-01-01,102.29800
2001-02-01,102.03910
2001-03-01,101.69000
2001-04-01,101.32270
2001-05-01,101.08510
2001-06-01,100.88110
2001-07-01,100.52170
2001-08-01,99.96339
2001-09-01,99.34119
2001-10-01,98.83892
2001-11-01,98.57210
2001-12-01,98.79793
2002-01-01,99.27080
2002-02-01,99.72141
2002-03-01,100.08890
2002-04-01,100.37980
2002-05-01,100.62700
2002-06-01,100.56490
2002-07-01,100.31010
2002-08-01,100.13180
2002-09-01,100.01860
2002-10-01,99.94281
2002-11-01,99.99056
2002-12-01,100.14560
2003-01-01,100.10400
2003-02-01,99.84087
2003-03-01,99.54932
2003-04-01,99.42181
2003-05-01,99.35722
2003-06-01,99.31182
2003-07-01,99.39832
2003-08-01,99.44974
2003-09-01,99.55200
2003-10-01,99.83771
2003-11-01,100.16030
2003-12-01,100.25570
2004-01-01,100.26160
2004-02-01,100.26180
2004-03-01,100.38270
2004-04-01,100.55320
2004-05-01,100.77850
2004-06-01,100.86690
2004-07-01,100.82320
2004-08-01,100.76080
2004-09-01,100.72130
2004-10-01,100.72000
2004-11-01,100.69950
2004-12-01,100.66820
2005-01-01,100.44610
2005-02-01,100.10860
2005-03-01,99.72683
2005-04-01,99.49950
2005-05-01,99.48071
2005-06-01,99.65277
2005-07-01,99.82452
2005-08-01,99.87202
2005-09-01,99.91068
2005-10-01,100.07570
2005-11-01,100.20860
2005-12-01,100.44820
2006-01-01,100.65140
2006-02-01,100.84050
2006-03-01,101.00090
2006-04-01,101.18360
2006-05-01,101.31070
2006-06-01,101.33660
2006-07-01,101.36170
2006-08-01,101.38280
2006-09-01,101.40540
2006-10-01,101.47470
2006-11-01,101.58400
2006-12-01,101.63950
2007-01-01,101.69550
2007-02-01,101.74350
2007-03-01,101.72520
2007-04-01,101.70840
2007-05-01,101.71560
2007-06-01,101.79280
2007-07-01,101.81300
2007-08-01,101.76020
2007-09-01,101.76040
2007-10-01,101.94560
2007-11-01,102.12690
2007-12-01,102.14230
2008-01-01,102.05350
2008-02-01,101.83850
2008-03-01,101.54910
2008-04-01,101.14730
2008-05-01,100.69180
2008-06-01,100.27570
2008-07-01,99.82814
2008-08-01,99.32453
2008-09-01,98.56323
2008-10-01,97.53175
2008-11-01,96.37698
2008-12-01,95.43948
2009-01-01,95.08424
2009-02-01,94.97025
2009-03-01,95.09361
2009-04-01,95.57473
2009-05-01,96.15680
2009-06-01,96.65305
2009-07-01,97.03539
2009-08-01,97.45387
2009-09-01,97.92328
2009-10-01,98.28278
2009-11-01,98.53477
2009-12-01,98.69167
2010-01-01,98.74744
2010-02-01,98.81304
2010-03-01,99.11219
2010-04-01,99.36557
2010-05-01,99.40299
2010-06-01,99.44304
2010-07-01,99.72897
2010-08-01,100.14470
2010-09-01,100.53090
2010-10-01,100.73310
2010-11-01,100.83500
2010-12-01,101.14500
2011-01-01,101.52690
2011-02-01,101.72650
2011-03-01,101.88350
2011-04-01,101.81620
2011-05-01,101.60360
2011-06-01,101.37800
2011-07-01,100.95270
2011-08-01,100.40900
2011-09-01,99.93629
2011-10-01,99.61981
2011-11-01,99.41437
2011-12-01,99.23735
2012-01-01,99.15701
2012-02-01,99.25990
2012-03-01,99.40466
2012-04-01,99.42846
2012-05-01,99.34624
2012-06-01,99.22373
2012-07-01,99.12208
2012-08-01,99.01405
2012-09-01,98.86845
2012-10-01,98.62068
2012-11-01,98.64494
2012-12-01,98.74686
2013-01-01,98.87856
2013-02-01,98.96796
2013-03-01,98.94189
2013-04-01,98.86012
2013-05-01,98.99308
2013-06-01,99.25023
2013-07-01,99.49415
2013-08-01,99.64448
2013-09-01,99.70911
2013-10-01,99.77142
2013-11-01,99.82247
2013-12-01,99.97379
2014-01-01,100.11410
2014-02-01,100.11880
2014-03-01,100.14010
2014-04-01,100.05140
2014-05-01,99.75343
2014-06-01,99.46854
2014-07-01,99.35135
2014-08-01,99.34363
2014-09-01,99.49784
2014-10-01,99.69255
2014-11-01,99.80492
2014-12-01,99.84266
2015-01-01,99.98648
2015-02-01,100.15680
2015-03-01,100.29990
2015-04-01,100.30340
2015-05-01,100.24880
2015-06-01,100.25300
2015-07-01,100.33440
2015-08-01,100.39040
2015-09-01,100.42670
2015-10-01,100.43160
2015-11-01,100.40900
2015-12-01,100.61390
2016-01-01,100.92190
2016-02-01,101.12300
2016-03-01,101.07730
2016-04-01,100.82390
2016-05-01,100.48900
2016-06-01,100.21250
2016-07-01,100.07020
2016-08-01,100.10970
2016-09-01,100.30350
2016-10-01,100.47490
2016-11-01,100.62040
2016-12-01,100.82390
2017-01-01,101.06020
2017-02-01,101.24860
2017-03-01,101.34400
2017-04-01,101.47460
2017-05-01,101.55500
2017-06-01,101.56750
2017-07-01,101.60220
2017-08-01,101.74160
2017-09-01,101.94000
2017-10-01,101.98690
2017-11-01,101.99660
2017-12-01,102.10330
2018-01-01,102.21090
2018-02-01,102.16110
2018-03-01,102.07270
2018-04-01,102.06560
2018-05-01,102.00400
2018-06-01,101.93460
2018-07-01,101.73490
2018-08-01,101.47480
2018-09-01,101.23830
2018-10-01,101.05710
2018-11-01,100.97430
2018-12-01,100.86570
2019-01-01,100.76230
2019-02-01,100.63280
2019-03-01,100.57300
2019-04-01,100.53920
2019-05-01,100.59810
2019-06-01,100.46100
2019-07-01,100.26810
2019-08-01,100.17480
2019-09-01,100.11540
2019-10-01,100.11920
2019-11-01,100.18150
2019-12-01,100.32810
2020-01-01,100.46700
2020-02-01,99.94968
2020-03-01,98.53272
2020-04-01,96.86059
2020-05-01,96.91972
2020-06-01,97.93328
2020-07-01,98.91566
2020-08-01,99.51587
2020-09-01,99.56818
2020-10-01,99.33451
2020-11-01,99.12540
2020-12-01,99.27573
2021-01-01,99.58012
2021-02-01,99.96790
2021-03-01,100.40510
2021-04-01,100.98800
2021-05-01,101.54060
2021-06-01,101.92560
2021-07-01,102.17930
2021-08-01,102.12750
2021-09-01,102.00770
2021-10-01,102.05720
2021-11-01,102.18600
2021-12-01,102.27050
2022-01-01,102.30060
2022-02-01,102.19160
2022-03-01,101.82270
2022-04-01,101.52500
2022-05-01,101.38350
2022-06-01,101.27750
2022-07-01,101.05600
2022-08-01,100.66130
2022-09-01,100.29860
2022-10-01,100.07430
2022-11-01,99.94640
2022-12-01,99.99952
2023-01-01,100.16090
2023-02-01,100.25000
2023-03-01,100.19570
2023-04-01,99.94707
2023-05-01,99.83725
2023-06-01,99.78308
2023-07-01,99.67008
2023-08-01,99.64738
2023-09-01,99.77641
2023-10-01,99.81288
2023-11-01,99.81718
2023-12-01,99.82553
2024-01-01,99.88008
