observation_date,ULQEUL01AUQ661S
1996-04-01,64.3626353212104
1996-07-01,64.7022108811931
1996-10-01,65.0202284266323
1997-01-01,65.1823079391065
1997-04-01,65.0280085211166
1997-07-01,65.0066351914398
1997-10-01,64.6556393045778
1998-01-01,64.6138331865653
1998-04-01,64.9637445455985
1998-07-01,65.4246130434462
1998-10-01,64.8940021478722
1999-01-01,64.8674400220125
1999-04-01,65.8113984412251
1999-07-01,65.5349055323761
1999-10-01,66.0533571364295
2000-01-01,66.9708612801346
2000-04-01,66.7296082839990
2000-07-01,68.0991189085513
2000-10-01,69.1868228697488
2001-01-01,69.7763053354684
2001-04-01,70.0828257615936
2001-07-01,69.9591165883917
2001-10-01,69.8582377540835
2002-01-01,70.3475970487902
2002-04-01,70.4656597395410
2002-07-01,71.4043159077132
2002-10-01,71.2021177716296
2003-01-01,72.2636027852703
2003-04-01,73.2156220614688
2003-07-01,72.8033702100012
2003-10-01,73.0948439519726
2004-01-01,73.8422803909907
2004-04-01,74.2075284144189
2004-07-01,75.3451469681369
2004-10-01,76.2231716716007
2005-01-01,77.0671754878922
2005-04-01,77.3649488070482
2005-07-01,78.2878894274116
2005-10-01,78.4845293105859
2006-01-01,80.0002258032317
2006-04-01,80.7213797414310
2006-07-01,81.0996262505782
2006-10-01,82.8630159367708
2007-01-01,83.3760989709474
2007-04-01,85.1424386741761
2007-07-01,85.6602113453158
2007-10-01,86.5320550522488
2008-01-01,87.1917988707930
2008-04-01,89.3144956658174
2008-07-01,89.1761665985491
2008-10-01,89.6336178564259
2009-01-01,88.7815334584058
2009-04-01,87.6760668918070
2009-07-01,88.8111810605344
2009-10-01,89.3854979324088
2010-01-01,90.5659265275012
2010-04-01,92.5912947170810
2010-07-01,94.0532658342745
2010-10-01,95.4014062433671
2011-01-01,97.4098254252994
2011-04-01,97.5486934930406
2011-07-01,97.5497262241836
2011-10-01,97.5212007449486
2012-01-01,98.8728214345248
2012-04-01,98.4722482741100
2012-07-01,97.2761633626946
2012-10-01,97.9466441926746
2013-01-01,98.4116130754874
2013-04-01,98.5189124870678
2013-07-01,98.4094627894089
2013-10-01,99.0274310085934
2014-01-01,99.1179707264266
2014-04-01,99.3617748066257
2014-07-01,99.5243055376236
2014-10-01,99.8033316791773
2015-01-01,99.2877614253180
2015-04-01,100.0742525220610
2015-07-01,100.1316790209920
2015-10-01,100.5063070316290
2016-01-01,100.5999148089380
2016-04-01,99.7191769587591
2016-07-01,100.5705987688510
2016-10-01,99.1726728669329
2017-01-01,100.0173639149910
2017-04-01,100.5293388210820
2017-07-01,101.1783205582820
2017-10-01,102.0363819715360
2018-01-01,102.5538461088390
2018-04-01,101.8983095013840
2018-07-01,103.0328697696400
2018-10-01,104.1793237106260
2019-01-01,105.6029944038420
2019-04-01,106.1176021324730
2019-07-01,107.0558489653500
2019-10-01,107.6621513885620
2020-01-01,108.8149884757490
2020-04-01,114.1024669069300
2020-07-01,112.5776947055940
2020-10-01,110.8418996474010
2021-01-01,111.3034013409890
2021-04-01,111.3023019009470
2021-07-01,114.5144387668980
2021-10-01,112.7509400715490
2022-01-01,114.7149131613760
2022-04-01,116.1583919664640
2022-07-01,119.3568512254540
2022-10-01,120.3555074899380
2023-01-01,122.9029390628200
2023-04-01,123.7501862190700
2023-07-01,126.5601238625160
