report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2002-10-15T00:00:00.000,090741,CANADIAN DOLLAR,57220,7633,8043,20142,32705,29445,16472
2002-10-15T00:00:00.000,092741,SWISS FRANC,34794,3441,6439,15804,17762,15521,10565
2002-10-15T00:00:00.000,096742,BRITISH POUND,28327,6431,4146,4251,13304,17635,10867
2002-10-15T00:00:00.000,097741,JAPANESE YEN,80287,8606,21436,61414,31389,9849,27044
2002-10-15T00:00:00.000,098662,USD INDEX,10388,6011,4075,3659,4128,555,2022
2002-10-15T00:00:00.000,099741,EURO FX,88339,23224,2192,27830,72255,37279,13886
2002-10-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,25002,5242,0,3211,21450,16549,3552
2002-10-22T00:00:00.000,090741,CANADIAN DOLLAR,56278,9755,2189,16873,39931,29650,14158
2002-10-22T00:00:00.000,092741,SWISS FRANC,34064,1589,7744,19236,14076,13219,12224
2002-10-22T00:00:00.000,096742,BRITISH POUND,26456,4835,4568,5157,12503,16423,9344
2002-10-22T00:00:00.000,097741,JAPANESE YEN,85343,8768,23702,66165,30174,9125,30182
2002-10-22T00:00:00.000,098662,USD INDEX,10725,5768,3198,1804,3621,1009,1762
2002-10-22T00:00:00.000,099741,EURO FX,84417,19094,5026,27771,63866,36360,14333
2002-10-22T00:00:00.000,232741,AUSTRALIAN DOLLAR,34495,10534,563,3227,30406,20112,2904
2002-10-29T00:00:00.000,090741,CANADIAN DOLLAR,57794,14787,2202,12775,43129,29911,12142
2002-10-29T00:00:00.000,092741,SWISS FRANC,39726,7172,5495,17638,23843,14896,10368
2002-10-29T00:00:00.000,096742,BRITISH POUND,32297,11193,3516,2249,20108,18855,8673
2002-10-29T00:00:00.000,097741,JAPANESE YEN,79469,13185,21449,52101,34902,13809,22744
2002-10-29T00:00:00.000,098662,USD INDEX,12278,6014,7275,3463,352,626,2476
2002-10-29T00:00:00.000,099741,EURO FX,83640,22948,3623,23470,67459,37218,12554
2002-10-29T00:00:00.000,232741,AUSTRALIAN DOLLAR,37148,12614,0,2837,33286,21075,3240
2002-11-05T00:00:00.000,090741,CANADIAN DOLLAR,61231,17085,1469,12749,48503,31397,11259
2002-11-05T00:00:00.000,092741,SWISS FRANC,46457,15086,4536,7650,33062,23709,8847
2002-11-05T00:00:00.000,096742,BRITISH POUND,37029,14957,4994,3148,24187,18766,7690
2002-11-05T00:00:00.000,097741,JAPANESE YEN,75258,12412,17108,48471,36954,13538,20359
2002-11-05T00:00:00.000,098662,USD INDEX,16347,7527,9697,5788,503,688,3803
2002-11-05T00:00:00.000,099741,EURO FX,102158,35721,4684,20272,82865,45319,13763
2002-11-05T00:00:00.000,232741,AUSTRALIAN DOLLAR,42461,17956,240,3335,38949,20942,3044
2002-11-12T00:00:00.000,090741,CANADIAN DOLLAR,59832,13449,1724,15622,46667,30174,10854
2002-11-12T00:00:00.000,092741,SWISS FRANC,54699,20436,3195,8208,43183,26034,8300
2002-11-12T00:00:00.000,096742,BRITISH POUND,45933,19263,3944,3766,32510,22904,9479
2002-11-12T00:00:00.000,097741,JAPANESE YEN,77422,14064,14491,41580,44934,20378,16597
2002-11-12T00:00:00.000,098662,USD INDEX,20849,7724,13217,10491,325,478,5151
2002-11-12T00:00:00.000,099741,EURO FX,105714,39308,6031,20436,83324,45111,15500
2002-11-12T00:00:00.000,232741,AUSTRALIAN DOLLAR,43395,17738,0,2817,39799,22840,3596
2002-11-19T00:00:00.000,090741,CANADIAN DOLLAR,61051,10173,5683,20579,40902,29442,13609
2002-11-19T00:00:00.000,092741,SWISS FRANC,51854,18695,3568,8188,40200,24931,8046
2002-11-19T00:00:00.000,096742,BRITISH POUND,43939,17779,4404,3740,30361,22381,9135
2002-11-19T00:00:00.000,097741,JAPANESE YEN,75092,12867,15758,45771,37575,14725,20030
2002-11-19T00:00:00.000,098662,USD INDEX,20148,7010,12749,10598,300,382,4941
2002-11-19T00:00:00.000,099741,EURO FX,103629,35945,5740,20823,81064,46827,16791
2002-11-19T00:00:00.000,232741,AUSTRALIAN DOLLAR,40926,17300,0,1957,37248,21669,3678
2002-11-26T00:00:00.000,090741,CANADIAN DOLLAR,59002,8708,4406,21316,40609,28978,13987
2002-11-26T00:00:00.000,092741,SWISS FRANC,39113,9482,3475,10802,26997,18806,8618
2002-11-26T00:00:00.000,096742,BRITISH POUND,38687,11414,4668,7809,22834,19306,11027
2002-11-26T00:00:00.000,097741,JAPANESE YEN,71861,11744,16208,47494,38202,12291,17119
2002-11-26T00:00:00.000,098662,USD INDEX,17437,6145,10545,8649,407,469,4311
2002-11-26T00:00:00.000,099741,EURO FX,99487,33446,4670,24416,79647,41591,15136
2002-11-26T00:00:00.000,232741,AUSTRALIAN DOLLAR,40034,15411,0,2551,36754,22072,3280
2002-12-03T00:00:00.000,090741,CANADIAN DOLLAR,64722,17276,634,16671,50563,30475,13225
2002-12-03T00:00:00.000,092741,SWISS FRANC,41297,8857,3549,12739,29755,19679,7971
2002-12-03T00:00:00.000,096742,BRITISH POUND,33681,5052,4312,11921,19534,16708,9835
2002-12-03T00:00:00.000,097741,JAPANESE YEN,78433,9754,19657,57574,33578,10776,24869
2002-12-03T00:00:00.000,098662,USD INDEX,14749,5249,8063,6789,324,456,4107
2002-12-03T00:00:00.000,099741,EURO FX,98385,26199,3323,27160,77604,44992,17424
2002-12-03T00:00:00.000,232741,AUSTRALIAN DOLLAR,37360,13508,0,3291,33838,20561,3522
2002-12-10T00:00:00.000,090741,CANADIAN DOLLAR,77910,18682,0,26492,62984,32723,14913
2002-12-10T00:00:00.000,092741,SWISS FRANC,56438,12617,3584,22789,43719,20338,8441
2002-12-10T00:00:00.000,096742,BRITISH POUND,40447,7079,3537,13696,25438,19672,11472
2002-12-10T00:00:00.000,097741,JAPANESE YEN,119680,8206,20416,99299,73325,11505,25269
2002-12-10T00:00:00.000,098662,USD INDEX,18078,6113,8827,8596,1881,722,4723
2002-12-10T00:00:00.000,099741,EURO FX,121589,33001,4937,36663,94378,50499,20848
2002-12-10T00:00:00.000,232741,AUSTRALIAN DOLLAR,43658,11373,0,9389,38449,22545,4858
2002-12-17T00:00:00.000,090741,CANADIAN DOLLAR,89152,24101,488,30248,75520,34790,13131
2002-12-17T00:00:00.000,092741,SWISS FRANC,45822,21932,2737,1837,37075,22006,5963
2002-12-17T00:00:00.000,096742,BRITISH POUND,32946,11344,3587,1468,21878,20066,7413
2002-12-17T00:00:00.000,097741,JAPANESE YEN,87176,11832,12538,62454,52066,12474,22156
2002-12-17T00:00:00.000,098662,USD INDEX,23164,7404,13453,12608,2058,546,5047
2002-12-17T00:00:00.000,099741,EURO FX,100434,37237,6636,15367,75985,46946,16929
2002-12-17T00:00:00.000,232741,AUSTRALIAN DOLLAR,37752,15088,577,2298,34445,20366,2730
2002-12-23T00:00:00.000,090741,CANADIAN DOLLAR,68035,23062,0,10785,59300,34183,8730
2002-12-23T00:00:00.000,092741,SWISS FRANC,48996,23980,2157,1963,40324,23020,6482
2002-12-23T00:00:00.000,096742,BRITISH POUND,34020,10488,3587,1565,21971,21898,8393
2002-12-23T00:00:00.000,097741,JAPANESE YEN,92767,16976,13169,59941,59826,15434,19356
2002-12-23T00:00:00.000,098662,USD INDEX,22461,7025,13018,12416,1885,526,5064
2002-12-23T00:00:00.000,099741,EURO FX,98907,36015,7888,14866,74408,47985,16570
2002-12-23T00:00:00.000,232741,AUSTRALIAN DOLLAR,35422,12508,0,3498,32309,19416,3113
2002-12-31T00:00:00.000,090741,CANADIAN DOLLAR,62742,14855,3336,13357,48398,34500,10978
2002-12-31T00:00:00.000,092741,SWISS FRANC,50293,24829,1576,1558,41529,23826,7108
2002-12-31T00:00:00.000,096742,BRITISH POUND,34823,11957,3587,1089,22956,21708,8211
2002-12-31T00:00:00.000,097741,JAPANESE YEN,119681,40666,12532,56491,91282,22120,15463
2002-12-31T00:00:00.000,098662,USD INDEX,21203,6666,11985,11547,1885,529,4872
2002-12-31T00:00:00.000,099741,EURO FX,98699,35953,6943,14561,72690,47644,18525
2002-12-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,34586,10920,0,3988,30973,19678,3613
2003-01-07T00:00:00.000,090741,CANADIAN DOLLAR,61623,13131,0,14304,50139,33708,11004
2003-01-07T00:00:00.000,092741,SWISS FRANC,51474,24392,1342,1912,43428,25139,6673
2003-01-07T00:00:00.000,096742,BRITISH POUND,36924,13444,4630,1189,23102,22047,8948
2003-01-07T00:00:00.000,097741,JAPANESE YEN,116555,39488,12261,59421,85958,17599,18289
2003-01-07T00:00:00.000,098662,USD INDEX,21912,6324,12337,12382,2218,715,4866
2003-01-07T00:00:00.000,099741,EURO FX,98275,35647,7490,14990,71660,47597,19084
2003-01-07T00:00:00.000,232741,AUSTRALIAN DOLLAR,43834,19740,401,2789,39931,21305,3502
2003-01-14T00:00:00.000,090741,CANADIAN DOLLAR,81532,25482,500,15656,69949,39344,10033
2003-01-14T00:00:00.000,092741,SWISS FRANC,54413,26106,3076,2222,44057,26053,7248
2003-01-14T00:00:00.000,096742,BRITISH POUND,37182,13773,3608,1050,24151,22244,9308
2003-01-14T00:00:00.000,097741,JAPANESE YEN,120396,44399,11455,49339,91697,26619,17205
2003-01-14T00:00:00.000,098662,USD INDEX,21876,6414,12029,12261,2196,586,5036
2003-01-14T00:00:00.000,099741,EURO FX,110075,36455,7682,24937,83917,48673,18466
2003-01-14T00:00:00.000,232741,AUSTRALIAN DOLLAR,45912,20414,431,2862,41752,22636,3729
2003-01-21T00:00:00.000,090741,CANADIAN DOLLAR,91593,32585,600,16179,78778,40579,9965
2003-01-21T00:00:00.000,092741,SWISS FRANC,60220,29457,2778,3938,49422,26792,7987
2003-01-21T00:00:00.000,096742,BRITISH POUND,37884,14909,3618,2153,25470,20718,8692
2003-01-21T00:00:00.000,097741,JAPANESE YEN,119530,44463,11170,51963,88915,22665,19006
2003-01-21T00:00:00.000,098662,USD INDEX,21628,6109,11829,12404,2155,587,5116
2003-01-21T00:00:00.000,099741,EURO FX,113184,35332,6890,24410,83678,52810,21984
2003-01-21T00:00:00.000,232741,AUSTRALIAN DOLLAR,45506,19788,431,2892,41224,22818,3843
2003-01-28T00:00:00.000,090741,CANADIAN DOLLAR,97544,39185,937,17911,86664,40448,9943
2003-01-28T00:00:00.000,092741,SWISS FRANC,57912,27506,2042,6381,49033,23984,6796
2003-01-28T00:00:00.000,096742,BRITISH POUND,37111,13369,4065,1474,22765,21925,9938
2003-01-28T00:00:00.000,097741,JAPANESE YEN,108851,36528,10918,52997,79960,18898,17545
2003-01-28T00:00:00.000,098662,USD INDEX,21844,6497,12039,12044,2248,903,5157
2003-01-28T00:00:00.000,099741,EURO FX,105577,32375,6039,23265,78061,48903,20443
2003-01-28T00:00:00.000,232741,AUSTRALIAN DOLLAR,46233,20369,431,3285,41544,22571,4250
2003-02-04T00:00:00.000,090741,CANADIAN DOLLAR,102651,43347,200,16972,90878,42239,11480
2003-02-04T00:00:00.000,092741,SWISS FRANC,62069,29146,3400,6493,51237,26398,7400
2003-02-04T00:00:00.000,096742,BRITISH POUND,37750,13415,4433,1954,22931,22161,10166
2003-02-04T00:00:00.000,097741,JAPANESE YEN,91248,19681,14087,54717,52104,15719,23926
2003-02-04T00:00:00.000,098662,USD INDEX,21561,6495,11807,11651,2143,1016,5212
2003-02-04T00:00:00.000,099741,EURO FX,108531,37222,6556,21625,82247,49090,19134
2003-02-04T00:00:00.000,232741,AUSTRALIAN DOLLAR,49109,23281,431,3169,44181,22651,4489
2003-02-11T00:00:00.000,090741,CANADIAN DOLLAR,101272,42852,30,17215,90191,40494,10340
2003-02-11T00:00:00.000,092741,SWISS FRANC,57566,21871,1584,11826,47802,23823,8134
2003-02-11T00:00:00.000,096742,BRITISH POUND,35251,10006,5014,3410,18703,21435,11134
2003-02-11T00:00:00.000,097741,JAPANESE YEN,110275,30376,19667,65096,59904,13802,29703
2003-02-11T00:00:00.000,098662,USD INDEX,19257,4910,10166,10930,1913,1019,4780
2003-02-11T00:00:00.000,099741,EURO FX,107453,29992,7694,23476,77469,53367,21672
2003-02-11T00:00:00.000,232741,AUSTRALIAN DOLLAR,46893,20066,431,3824,41679,22995,4775
2003-02-14T00:00:00.000,098662,USD INDEX,19113,4908,9989,10725,2041,1078,4681
2003-02-18T00:00:00.000,090741,CANADIAN DOLLAR,105250,43606,200,18298,92224,42905,12385
2003-02-18T00:00:00.000,092741,SWISS FRANC,55430,17243,2737,16002,45177,22159,7490
2003-02-18T00:00:00.000,096742,BRITISH POUND,33382,6298,5922,7184,16244,19760,11076
2003-02-18T00:00:00.000,097741,JAPANESE YEN,113853,37746,19313,58565,69131,17374,25241
2003-02-18T00:00:00.000,099741,EURO FX,108102,31970,6485,24629,78293,51244,23065
2003-02-18T00:00:00.000,232741,AUSTRALIAN DOLLAR,47209,18514,431,4250,42130,24437,4640
2003-02-25T00:00:00.000,090741,CANADIAN DOLLAR,109750,41929,320,22655,97738,44265,10791
2003-02-25T00:00:00.000,092741,SWISS FRANC,56247,18644,2801,14237,47121,23298,6257
2003-02-25T00:00:00.000,096742,BRITISH POUND,28528,3807,4717,9994,11917,14606,11773
2003-02-25T00:00:00.000,097741,JAPANESE YEN,118365,45047,9293,51661,89891,21122,18646
2003-02-25T00:00:00.000,098662,USD INDEX,18569,4922,9720,10513,1790,703,4628
2003-02-25T00:00:00.000,099741,EURO FX,105427,29793,9730,26356,74269,48309,20459
2003-02-25T00:00:00.000,232741,AUSTRALIAN DOLLAR,47107,18461,431,5010,42176,23627,4491
2003-03-04T00:00:00.000,090741,CANADIAN DOLLAR,112974,42784,320,22082,101892,48108,10762
2003-03-04T00:00:00.000,092741,SWISS FRANC,65297,21912,1684,18104,56250,24827,6909
2003-03-04T00:00:00.000,096742,BRITISH POUND,29889,3496,3684,12491,12218,13236,13321
2003-03-04T00:00:00.000,097741,JAPANESE YEN,116621,40722,8690,51335,90841,24084,16610
2003-03-04T00:00:00.000,098662,USD INDEX,20596,5783,10962,11988,2490,752,5071
2003-03-04T00:00:00.000,099741,EURO FX,123014,34972,4997,35724,94443,51672,22928
2003-03-04T00:00:00.000,232741,AUSTRALIAN DOLLAR,48318,18586,431,4266,41830,25445,6036
2003-03-11T00:00:00.000,090741,CANADIAN DOLLAR,121735,41764,0,31933,108215,48038,13520
2003-03-11T00:00:00.000,092741,SWISS FRANC,76795,22469,1650,28986,65893,24869,8781
2003-03-11T00:00:00.000,096742,BRITISH POUND,34292,4123,2685,14046,19809,16123,11798
2003-03-11T00:00:00.000,097741,JAPANESE YEN,133098,42400,6181,60724,103505,29429,22867
2003-03-11T00:00:00.000,098662,USD INDEX,22162,6266,11204,12735,3051,608,5354
2003-03-11T00:00:00.000,099741,EURO FX,136246,35344,5078,48407,105656,52069,25086
2003-03-11T00:00:00.000,232741,AUSTRALIAN DOLLAR,53484,18087,89,7217,44255,26885,7845
2003-03-18T00:00:00.000,090741,CANADIAN DOLLAR,121951,42676,0,34433,110559,44842,11392
2003-03-18T00:00:00.000,092741,SWISS FRANC,32564,7649,2617,10831,21496,13606,7973
2003-03-18T00:00:00.000,096742,BRITISH POUND,21258,592,4968,8503,4584,12143,11686
2003-03-18T00:00:00.000,097741,JAPANESE YEN,82659,30389,7071,33010,58145,19206,17389
2003-03-18T00:00:00.000,098662,USD INDEX,13316,2785,5453,7228,2902,987,2645
2003-03-18T00:00:00.000,099741,EURO FX,78765,18948,5609,22407,55066,37119,17799
2003-03-18T00:00:00.000,232741,AUSTRALIAN DOLLAR,34641,9869,0,4320,30913,20452,3728
2003-03-25T00:00:00.000,090741,CANADIAN DOLLAR,93264,34508,300,21319,81402,37437,11562
2003-03-25T00:00:00.000,092741,SWISS FRANC,32336,5094,5537,17806,17115,8958,9206
2003-03-25T00:00:00.000,096742,BRITISH POUND,20470,700,3300,7550,5801,12188,11337
2003-03-25T00:00:00.000,097741,JAPANESE YEN,84457,10780,23763,63468,36695,10119,23909
2003-03-25T00:00:00.000,098662,USD INDEX,12594,2449,6095,6912,2717,963,1512
2003-03-25T00:00:00.000,099741,EURO FX,72434,16336,8742,24956,47292,31101,16359
2003-03-25T00:00:00.000,232741,AUSTRALIAN DOLLAR,32152,6153,0,5679,28459,20320,3693
2003-04-01T00:00:00.000,090741,CANADIAN DOLLAR,94115,33961,772,20612,80729,39088,12160
2003-04-01T00:00:00.000,092741,SWISS FRANC,33917,5945,3957,15293,22225,12224,7280
2003-04-01T00:00:00.000,096742,BRITISH POUND,21711,563,3101,8348,6215,12790,12385
2003-04-01T00:00:00.000,097741,JAPANESE YEN,80136,12485,16388,54463,43455,13132,20237
2003-04-01T00:00:00.000,098662,USD INDEX,11184,2700,3655,5656,3591,683,1793
2003-04-01T00:00:00.000,099741,EURO FX,75951,16707,6143,22378,50451,36713,19204
2003-04-01T00:00:00.000,232741,AUSTRALIAN DOLLAR,32383,6016,0,5764,28333,20603,4050
2003-04-08T00:00:00.000,090741,CANADIAN DOLLAR,94969,33003,200,22399,82123,39567,12646
2003-04-08T00:00:00.000,092741,SWISS FRANC,36072,3574,4794,21260,19568,10779,11251
2003-04-08T00:00:00.000,096742,BRITISH POUND,25980,973,4835,13736,7072,11271,14073
2003-04-08T00:00:00.000,097741,JAPANESE YEN,75088,11031,16665,53069,39519,10453,18369
2003-04-08T00:00:00.000,099741,EURO FX,71412,15619,2474,19364,48155,36329,20683
2003-04-08T00:00:00.000,232741,AUSTRALIAN DOLLAR,30549,6806,0,3743,25101,20000,5448
2003-04-15T00:00:00.000,090741,CANADIAN DOLLAR,97003,33509,200,22578,85274,40327,10940
2003-04-15T00:00:00.000,092741,SWISS FRANC,37084,3703,5132,22123,20190,10799,11303
2003-04-15T00:00:00.000,096742,BRITISH POUND,23221,993,4064,10628,5895,11522,13184
2003-04-15T00:00:00.000,097741,JAPANESE YEN,79252,9937,19354,59144,37337,10045,22435
2003-04-15T00:00:00.000,099741,EURO FX,77639,16934,2729,24520,54713,36085,20097
2003-04-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,35538,10954,0,2989,29732,21595,5806
2003-04-22T00:00:00.000,090741,CANADIAN DOLLAR,97984,31288,200,24667,85425,41486,11816
2003-04-22T00:00:00.000,092741,SWISS FRANC,38778,6280,8333,21253,20728,10759,9231
2003-04-22T00:00:00.000,096742,BRITISH POUND,25201,2053,4681,11426,8411,11218,11605
2003-04-22T00:00:00.000,097741,JAPANESE YEN,83959,14525,18708,58741,42580,10537,22515
2003-04-22T00:00:00.000,098662,USD INDEX,13595,3775,5869,6728,2553,731,2812
2003-04-22T00:00:00.000,099741,EURO FX,95982,27788,3401,25211,68091,42779,24286
2003-04-22T00:00:00.000,232741,AUSTRALIAN DOLLAR,41589,14919,1137,3435,35334,23235,5118
2003-04-29T00:00:00.000,090741,CANADIAN DOLLAR,102455,36374,938,25275,89385,40806,12132
2003-04-29T00:00:00.000,092741,SWISS FRANC,39583,6251,6577,18341,24449,14510,8076
2003-04-29T00:00:00.000,096742,BRITISH POUND,27870,2135,4676,9472,13505,15738,9164
2003-04-29T00:00:00.000,097741,JAPANESE YEN,86346,9641,19821,64572,43129,11999,23262
2003-04-29T00:00:00.000,098662,USD INDEX,14820,4409,6267,7382,2746,655,3433
2003-04-29T00:00:00.000,099741,EURO FX,103869,31023,3018,23951,74592,48729,26093
2003-04-29T00:00:00.000,232741,AUSTRALIAN DOLLAR,43118,15235,429,3289,36640,24594,6049
2003-05-06T00:00:00.000,090741,CANADIAN DOLLAR,97802,33702,945,24192,84578,39908,12279
2003-05-06T00:00:00.000,092741,SWISS FRANC,48748,19122,5631,11134,37611,18012,5026
2003-05-06T00:00:00.000,096742,BRITISH POUND,31088,9393,4465,4309,17404,16872,8705
2003-05-06T00:00:00.000,097741,JAPANESE YEN,99924,19853,17185,58377,60299,20444,21190
2003-05-06T00:00:00.000,098662,USD INDEX,19514,6705,9259,9899,2384,603,5564
2003-05-06T00:00:00.000,099741,EURO FX,115082,34554,2584,29230,81472,51161,30889
2003-05-06T00:00:00.000,232741,AUSTRALIAN DOLLAR,41820,14987,429,2635,35338,24198,6053
2003-05-13T00:00:00.000,090741,CANADIAN DOLLAR,98743,31618,728,26743,84145,39502,12990
2003-05-13T00:00:00.000,092741,SWISS FRANC,53657,19927,4301,11110,42753,22140,6123
2003-05-13T00:00:00.000,096742,BRITISH POUND,32959,7470,3376,6319,19154,18556,9815
2003-05-13T00:00:00.000,097741,JAPANESE YEN,114134,38488,9026,48552,82010,26834,22838
2003-05-13T00:00:00.000,098662,USD INDEX,18432,5932,8013,9608,3370,751,4908
2003-05-13T00:00:00.000,099741,EURO FX,100930,28679,3776,22984,66704,48990,30173
2003-05-13T00:00:00.000,232741,AUSTRALIAN DOLLAR,41295,15089,429,3133,34994,23073,5872
2003-05-20T00:00:00.000,090741,CANADIAN DOLLAR,95663,26085,525,28284,80851,40625,13618
2003-05-20T00:00:00.000,092741,SWISS FRANC,56731,22261,4272,10360,45287,23629,6691
2003-05-20T00:00:00.000,096742,BRITISH POUND,37761,9042,2156,7571,24654,20557,10360
2003-05-20T00:00:00.000,097741,JAPANESE YEN,111964,37884,8114,45972,80487,27919,23174
2003-05-20T00:00:00.000,098662,USD INDEX,19370,6410,8751,9789,3376,1058,5130
2003-05-20T00:00:00.000,099741,EURO FX,108716,30918,4020,24360,74601,52179,28836
2003-05-20T00:00:00.000,232741,AUSTRALIAN DOLLAR,39408,13371,429,3029,33717,23008,5262
2003-05-27T00:00:00.000,090741,CANADIAN DOLLAR,93169,22461,2514,32151,77215,36999,11882
2003-05-27T00:00:00.000,092741,SWISS FRANC,57565,22826,2039,10072,48053,24207,7013
2003-05-27T00:00:00.000,096742,BRITISH POUND,39958,10497,2765,6930,25200,21926,11388
2003-05-27T00:00:00.000,097741,JAPANESE YEN,109843,36758,7315,45387,76528,27499,25801
2003-05-27T00:00:00.000,098662,USD INDEX,18724,6349,8632,9539,3172,830,4914
2003-05-27T00:00:00.000,099741,EURO FX,110029,31242,7129,26381,69677,51605,32422
2003-05-27T00:00:00.000,232741,AUSTRALIAN DOLLAR,37438,11885,429,3478,31387,22075,5622
2003-06-03T00:00:00.000,090741,CANADIAN DOLLAR,94481,21775,3413,33826,77335,38081,12934
2003-06-03T00:00:00.000,092741,SWISS FRANC,56747,20431,4382,13378,44612,22482,7297
2003-06-03T00:00:00.000,096742,BRITISH POUND,48222,17567,1531,5593,34926,24405,11108
2003-06-03T00:00:00.000,097741,JAPANESE YEN,98513,19933,12373,61304,56170,17134,29828
2003-06-03T00:00:00.000,098662,USD INDEX,18548,5915,9042,8880,2264,1713,5202
2003-06-03T00:00:00.000,099741,EURO FX,115440,35738,5705,28438,82589,50929,26811
2003-06-03T00:00:00.000,232741,AUSTRALIAN DOLLAR,42095,14148,429,4114,34246,23833,7420
2003-06-10T00:00:00.000,090741,CANADIAN DOLLAR,95778,20614,2934,36283,75630,38730,17063
2003-06-10T00:00:00.000,092741,SWISS FRANC,66764,19468,3328,21106,51868,25729,11107
2003-06-10T00:00:00.000,096742,BRITISH POUND,59050,20014,1970,10302,42723,28108,13731
2003-06-10T00:00:00.000,097741,JAPANESE YEN,121421,22835,11079,78389,73398,19152,35899
2003-06-10T00:00:00.000,098662,USD INDEX,19701,6231,9432,10189,3432,1112,4668
2003-06-10T00:00:00.000,099741,EURO FX,136383,32439,6177,48533,97488,54559,31866
2003-06-10T00:00:00.000,232741,AUSTRALIAN DOLLAR,44219,13338,431,6066,35581,24121,7513
2003-06-17T00:00:00.000,090741,CANADIAN DOLLAR,92878,19963,1509,33231,78406,39533,12812
2003-06-17T00:00:00.000,092741,SWISS FRANC,43746,20750,2971,3172,33349,19784,7386
2003-06-17T00:00:00.000,096742,BRITISH POUND,46234,19709,2261,1174,32663,24685,10644
2003-06-17T00:00:00.000,097741,JAPANESE YEN,91916,24463,13601,49945,56963,16855,20699
2003-06-17T00:00:00.000,098662,USD INDEX,18416,4605,8273,10673,2588,1138,5555
2003-06-17T00:00:00.000,099741,EURO FX,103252,33888,5765,19724,73401,49066,23512
2003-06-17T00:00:00.000,232741,AUSTRALIAN DOLLAR,36601,10956,0,1294,31581,24351,5020
2003-06-24T00:00:00.000,090741,CANADIAN DOLLAR,72542,16599,820,25013,58088,30802,13506
2003-06-24T00:00:00.000,092741,SWISS FRANC,38511,12193,3698,8359,26500,17815,8169
2003-06-24T00:00:00.000,096742,BRITISH POUND,45976,18775,1558,2843,33287,23696,10469
2003-06-24T00:00:00.000,097741,JAPANESE YEN,98292,25897,8761,54124,68080,17483,20663
2003-06-24T00:00:00.000,098662,USD INDEX,14604,5788,7649,6735,2949,1991,3916
2003-06-24T00:00:00.000,099741,EURO FX,94856,27814,4344,22540,69143,44227,21094
2003-06-24T00:00:00.000,232741,AUSTRALIAN DOLLAR,36254,12800,0,2236,31973,21218,4281
2003-07-01T00:00:00.000,090741,CANADIAN DOLLAR,75746,18022,1241,25862,60872,31695,13466
2003-07-01T00:00:00.000,092741,SWISS FRANC,38413,6909,6530,18312,22729,13171,9133
2003-07-01T00:00:00.000,096742,BRITISH POUND,47221,18710,2272,4912,34494,22912,9768
2003-07-01T00:00:00.000,097741,JAPANESE YEN,104184,8768,22165,79662,49337,15223,32151
2003-07-01T00:00:00.000,098662,USD INDEX,14923,6811,8825,6784,2812,1238,3196
2003-07-01T00:00:00.000,099741,EURO FX,101717,28532,4902,25643,71594,47357,25036
2003-07-01T00:00:00.000,232741,AUSTRALIAN DOLLAR,38754,15224,0,2571,33200,20959,5554
2003-07-08T00:00:00.000,090741,CANADIAN DOLLAR,74235,17984,61,25817,55425,29528,17843
2003-07-08T00:00:00.000,092741,SWISS FRANC,38622,3140,9239,26150,16885,9313,12479
2003-07-08T00:00:00.000,096742,BRITISH POUND,45011,14414,4460,8220,28394,21751,11531
2003-07-08T00:00:00.000,097741,JAPANESE YEN,104434,13642,13534,75970,63341,14516,27253
2003-07-08T00:00:00.000,098662,USD INDEX,12393,6429,6969,4281,2985,1681,2437
2003-07-08T00:00:00.000,099741,EURO FX,94616,25188,6027,26694,66038,42425,22242
2003-07-08T00:00:00.000,232741,AUSTRALIAN DOLLAR,36365,14175,0,1430,30102,20760,6263
2003-07-15T00:00:00.000,090741,CANADIAN DOLLAR,69818,12118,2782,27697,52742,29186,13477
2003-07-15T00:00:00.000,092741,SWISS FRANC,41283,3194,12046,28585,15218,9504,14019
2003-07-15T00:00:00.000,096742,BRITISH POUND,39893,5501,2999,14548,24862,19238,11426
2003-07-15T00:00:00.000,097741,JAPANESE YEN,113969,23702,7877,67833,85119,22323,20862
2003-07-15T00:00:00.000,098662,USD INDEX,11331,5236,6042,4142,3583,1953,1706
2003-07-15T00:00:00.000,099741,EURO FX,99175,22847,6652,33860,65327,41861,26589
2003-07-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,34228,12233,0,2382,27609,19489,6495
2003-07-22T00:00:00.000,090741,CANADIAN DOLLAR,66155,9352,1086,29486,46905,26516,17363
2003-07-22T00:00:00.000,092741,SWISS FRANC,42920,1855,10880,30541,17973,10524,14067
2003-07-22T00:00:00.000,096742,BRITISH POUND,36574,3487,4142,15911,20672,16617,11201
2003-07-22T00:00:00.000,097741,JAPANESE YEN,104161,16536,9744,68373,70702,19190,23653
2003-07-22T00:00:00.000,098662,USD INDEX,12248,4193,5082,3890,3636,2081,1446
2003-07-22T00:00:00.000,099741,EURO FX,96459,18266,5113,38271,67483,39207,23148
2003-07-22T00:00:00.000,232741,AUSTRALIAN DOLLAR,33512,11621,0,3697,27489,18070,5899
