observation_date,FRAPIEAMP01GYM
2014-06-01,-0.3879728419
2014-07-01,-0.7729468599
2014-08-01,-0.9661835749
2014-09-01,-0.9671179884
2014-10-01,-0.8763388510
2014-11-01,-1.3645224172
2014-12-01,-2.4342745862
2015-01-01,-3.3138401559
2015-02-01,-2.2439024390
2015-03-01,-1.7578125000
2015-04-01,-1.2695312500
2015-05-01,-1.1707317073
2015-06-01,-1.4605647517
2015-07-01,-1.7526777020
2015-08-01,-2.6341463415
2015-09-01,-2.9296875000
2015-10-01,-2.6522593320
2015-11-01,-2.0750988142
2015-12-01,-1.9960079840
2016-01-01,-1.8145161290
2016-02-01,-3.1936127745
2016-03-01,-3.1809145129
2016-04-01,-3.5608308605
2016-05-01,-3.1589338598
2016-06-01,-2.7667984190
2016-07-01,-2.6759167493
2016-08-01,-1.7034068136
2016-09-01,-1.2072434608
2016-10-01,-0.3027245207
2016-11-01,-0.4036326942
2016-12-01,1.3238289206
2017-01-01,2.6694045175
2017-02-01,3.5051546392
2017-03-01,2.8747433265
2017-04-01,3.1794871795
2017-05-01,2.1406727829
2017-06-01,1.3211382114
2017-07-01,1.4256619145
2017-08-01,1.7329255861
2017-09-01,2.0366598778
2017-10-01,1.6194331984
2017-11-01,2.2289766971
2017-12-01,1.4070351759
2018-01-01,1.2000000000
2018-02-01,0.5976095618
2018-03-01,1.0978043912
2018-04-01,1.1928429423
2018-05-01,2.3952095808
2018-06-01,3.0090270812
2018-07-01,3.2128514056
2018-08-01,3.1062124248
2018-09-01,2.8942115768
2018-10-01,3.0876494024
2018-11-01,1.7839444995
2018-12-01,0.8919722498
2019-01-01,0.6916996047
2019-02-01,1.3861386139
2019-03-01,1.3820335637
2019-04-01,1.3752455796
2019-05-01,0.5847953216
2019-06-01,-0.1947419669
2019-07-01,-0.0972762646
2019-08-01,-0.4859086492
2019-09-01,-0.2909796314
2019-10-01,-0.8695652174
2019-11-01,0.0000000000
2019-12-01,1.0805500982
2020-01-01,0.8832188420
2020-02-01,0.0000000000
2020-03-01,-1.9474196689
2020-04-01,-3.4883720930
2020-05-01,-3.3914728682
2020-06-01,-2.1463414634
2020-07-01,-2.1421616358
2020-08-01,-2.1484375000
2020-09-01,-2.6264591440
2020-10-01,-2.2417153996
2020-11-01,-2.2395326193
2020-12-01,-1.8464528669
2021-01-01,-0.8754863813
2021-02-01,0.4882812500
2021-03-01,3.0784508441
2021-04-01,4.9196787149
2021-05-01,5.4162487462
2021-06-01,5.6829511466
2021-07-01,6.4676616915
2021-08-01,7.4850299401
2021-09-01,8.2917082917
2021-10-01,9.5712861416
2021-11-01,10.1593625498
2021-12-01,10.0000000000
2022-01-01,11.8743866536
2022-02-01,12.2448979592
2022-03-01,15.3179190751
2022-04-01,16.9377990431
2022-05-01,18.3634633682
2022-06-01,19.2452830189
2022-07-01,17.8504672897
2022-08-01,16.8059424327
2022-09-01,16.2361623616
2022-10-01,16.1055505005
2022-11-01,14.5569620253
2022-12-01,12.9612961296
