observation_date,BSCICP03ITM665S
1999-06-01,100.62460
1999-07-01,100.92780
1999-08-01,101.13220
1999-09-01,101.34800
1999-10-01,101.59790
1999-11-01,101.84490
1999-12-01,102.09380
2000-01-01,102.31240
2000-02-01,102.45740
2000-03-01,102.57660
2000-04-01,102.64820
2000-05-01,102.69120
2000-06-01,102.66290
2000-07-01,102.59930
2000-08-01,102.47520
2000-09-01,102.39030
2000-10-01,102.31120
2000-11-01,102.23290
2000-12-01,102.07440
2001-01-01,101.72690
2001-02-01,101.31850
2001-03-01,101.01270
2001-04-01,100.89710
2001-05-01,100.89240
2001-06-01,100.83740
2001-07-01,100.67680
2001-08-01,100.31790
2001-09-01,99.76073
2001-10-01,99.47190
2001-11-01,99.58287
2001-12-01,99.91914
2002-01-01,100.25580
2002-02-01,100.65310
2002-03-01,100.90600
2002-04-01,100.97180
2002-05-01,100.94590
2002-06-01,100.81290
2002-07-01,100.67080
2002-08-01,100.58960
2002-09-01,100.72270
2002-10-01,100.74620
2002-11-01,100.73460
2002-12-01,100.72410
2003-01-01,100.77060
2003-02-01,100.76140
2003-03-01,100.64370
2003-04-01,100.43350
2003-05-01,100.21190
2003-06-01,100.05950
2003-07-01,100.00350
2003-08-01,100.15520
2003-09-01,100.33780
2003-10-01,100.46950
2003-11-01,100.48790
2003-12-01,100.37080
2004-01-01,100.30100
2004-02-01,100.34080
2004-03-01,100.47080
2004-04-01,100.62700
2004-05-01,100.70800
2004-06-01,100.73970
2004-07-01,100.73270
2004-08-01,100.72740
2004-09-01,100.69380
2004-10-01,100.67480
2004-11-01,100.58970
2004-12-01,100.45300
2005-01-01,100.32110
2005-02-01,100.16980
2005-03-01,99.96501
2005-04-01,99.76821
2005-05-01,99.69701
2005-06-01,99.78595
2005-07-01,100.05770
2005-08-01,100.38830
2005-09-01,100.64770
2005-10-01,100.81220
2005-11-01,100.93390
2005-12-01,101.06770
2006-01-01,101.24190
2006-02-01,101.41490
2006-03-01,101.57700
2006-04-01,101.71420
2006-05-01,101.79890
2006-06-01,101.83600
2006-07-01,101.76310
2006-08-01,101.71860
2006-09-01,101.73290
2006-10-01,101.74210
2006-11-01,101.71170
2006-12-01,101.68770
2007-01-01,101.69040
2007-02-01,101.79910
2007-03-01,101.93540
2007-04-01,101.98380
2007-05-01,101.85400
2007-06-01,101.64610
2007-07-01,101.46000
2007-08-01,101.32800
2007-09-01,101.23310
2007-10-01,101.19520
2007-11-01,101.18300
2007-12-01,101.16660
2008-01-01,101.09980
2008-02-01,100.98200
2008-03-01,100.80260
2008-04-01,100.59830
2008-05-01,100.44870
2008-06-01,100.25340
2008-07-01,100.01860
2008-08-01,99.76283
2008-09-01,99.35425
2008-10-01,98.65973
2008-11-01,97.77013
2008-12-01,97.00764
2009-01-01,96.53265
2009-02-01,96.29688
2009-03-01,96.31982
2009-04-01,96.66493
2009-05-01,97.09599
2009-06-01,97.44973
2009-07-01,97.78503
2009-08-01,98.12084
2009-09-01,98.40633
2009-10-01,98.64310
2009-11-01,98.84413
2009-12-01,99.08709
2010-01-01,99.35914
2010-02-01,99.58886
2010-03-01,99.77122
2010-04-01,99.96692
2010-05-01,100.18120
2010-06-01,100.33590
2010-07-01,100.45250
2010-08-01,100.52790
2010-09-01,100.58560
2010-10-01,100.66170
2010-11-01,100.76210
2010-12-01,100.90860
2011-01-01,100.99300
2011-02-01,100.96660
2011-03-01,100.93830
2011-04-01,100.91210
2011-05-01,100.81400
2011-06-01,100.59570
2011-07-01,100.31690
2011-08-01,100.02770
2011-09-01,99.71130
2011-10-01,99.51246
2011-11-01,99.36643
2011-12-01,99.22850
2012-01-01,99.15882
2012-02-01,99.07867
2012-03-01,98.96220
2012-04-01,98.79454
2012-05-01,98.65762
2012-06-01,98.65353
2012-07-01,98.62914
2012-08-01,98.62306
2012-09-01,98.58457
2012-10-01,98.56299
2012-11-01,98.62396
2012-12-01,98.70309
2013-01-01,98.72819
2013-02-01,98.72343
2013-03-01,98.70789
2013-04-01,98.73081
2013-05-01,98.88721
2013-06-01,99.17274
2013-07-01,99.51053
2013-08-01,99.83218
2013-09-01,100.10650
2013-10-01,100.26200
2013-11-01,100.40170
2013-12-01,100.47920
2014-01-01,100.49510
2014-02-01,100.49560
2014-03-01,100.49590
2014-04-01,100.49500
2014-05-01,100.45970
2014-06-01,100.38710
2014-07-01,100.26320
2014-08-01,100.10500
2014-09-01,100.02340
2014-10-01,100.03010
2014-11-01,100.08880
2014-12-01,100.15400
2015-01-01,100.26550
2015-02-01,100.43690
2015-03-01,100.65150
2015-04-01,100.78190
2015-05-01,100.83390
2015-06-01,100.84670
2015-07-01,100.82550
2015-08-01,100.83560
2015-09-01,100.88620
2015-10-01,100.92040
2015-11-01,100.87090
2015-12-01,100.76430
2016-01-01,100.64730
2016-02-01,100.55670
2016-03-01,100.54430
2016-04-01,100.58440
2016-05-01,100.63210
2016-06-01,100.67500
2016-07-01,100.66960
2016-08-01,100.62120
2016-09-01,100.58920
2016-10-01,100.59760
2016-11-01,100.65220
2016-12-01,100.77790
2017-01-01,100.94880
2017-02-01,101.11510
2017-03-01,101.26150
2017-04-01,101.34740
2017-05-01,101.37490
2017-06-01,101.40900
2017-07-01,101.47470
2017-08-01,101.59830
2017-09-01,101.71190
2017-10-01,101.77360
2017-11-01,101.77660
2017-12-01,101.73280
2018-01-01,101.68530
2018-02-01,101.63000
2018-03-01,101.54780
2018-04-01,101.44480
2018-05-01,101.34250
2018-06-01,101.25920
2018-07-01,101.18970
2018-08-01,101.11220
2018-09-01,101.04270
2018-10-01,100.94480
2018-11-01,100.82920
2018-12-01,100.68370
2019-01-01,100.52830
2019-02-01,100.42240
2019-03-01,100.39190
2019-04-01,100.41270
2019-05-01,100.44080
2019-06-01,100.40740
2019-07-01,100.34310
2019-08-01,100.27420
2019-09-01,100.21020
2019-10-01,100.19750
2019-11-01,100.21590
2019-12-01,100.22120
2020-01-01,100.08150
2020-02-01,99.55647
2020-03-01,98.52854
2020-04-01,97.49750
2020-05-01,96.88280
2020-06-01,97.10784
2020-07-01,97.74860
2020-08-01,98.43867
2020-09-01,99.05318
2020-10-01,99.38509
2020-11-01,99.49287
2020-12-01,99.79613
2021-01-01,100.15850
2021-02-01,100.57690
2021-03-01,101.03300
2021-04-01,101.50260
2021-05-01,101.94220
2021-06-01,102.26210
2021-07-01,102.43680
2021-08-01,102.49020
2021-09-01,102.55060
2021-10-01,102.61310
2021-11-01,102.60230
2021-12-01,102.52310
2022-01-01,102.34920
2022-02-01,102.13330
2022-03-01,101.87520
2022-04-01,101.70740
2022-05-01,101.58830
2022-06-01,101.43900
2022-07-01,101.20150
2022-08-01,100.94240
2022-09-01,100.72380
2022-10-01,100.63300
2022-11-01,100.66570
2022-12-01,100.74020
2023-01-01,100.83250
2023-02-01,100.90200
2023-03-01,100.89050
2023-04-01,100.74510
2023-05-01,100.53580
2023-06-01,100.34150
2023-07-01,100.18470
2023-08-01,100.05750
2023-09-01,99.95652
2023-10-01,99.88775
2023-11-01,99.86066
2023-12-01,99.86539
2024-01-01,99.91507
