observation_date,USAB6BLTT02STSAQ
2003-10-01,-4.33188799999999929
2004-01-01,-4.59561699999999984
2004-04-01,-5.15516899999999989
2004-07-01,-5.24983299999999975
2004-10-01,-5.78870899999999988
2005-01-01,-5.35192800000000002
2005-04-01,-5.59148200000000006
2005-07-01,-5.72770699999999966
2005-10-01,-6.29149800000000070
2006-01-01,-5.86818599999999968
2006-04-01,-5.96078499999999956
2006-07-01,-6.29961200000000066
2006-10-01,-5.52000199999999985
2007-01-01,-5.63646400000000014
2007-04-01,-5.36961299999999930
2007-07-01,-4.82709600000000005
2007-10-01,-4.54348200000000002
2008-01-01,-4.95790400000000009
2008-04-01,-4.83841300000000007
2008-07-01,-4.78405300000000011
2008-10-01,-4.27784099999999956
2009-01-01,-2.75525399999999987
2009-04-01,-2.42229500000000009
2009-07-01,-2.52985699999999980
2009-10-01,-2.78075999999999990
2010-01-01,-2.79137799999999991
2010-04-01,-2.98356600000000016
2010-07-01,-3.08075600000000005
2010-10-01,-2.62898600000000027
2011-01-01,-3.10683400000000010
2011-04-01,-3.07079399999999980
2011-07-01,-2.73165099999999983
2011-10-01,-2.77159999999999984
2012-01-01,-2.83560600000000029
2012-04-01,-2.71495599999999992
2012-07-01,-2.42325400000000002
2012-10-01,-2.32393599999999978
2013-01-01,-2.18457400000000002
2013-04-01,-2.13193099999999980
2013-07-01,-2.01469399999999998
2013-10-01,-1.72268300000000019
2014-01-01,-2.11455700000000002
2014-04-01,-1.99032900000000001
2014-07-01,-2.00377099999999997
2014-10-01,-2.29530000000000012
2015-01-01,-2.20101000000000013
2015-04-01,-2.17672200000000027
2015-07-01,-2.38950600000000035
2015-10-01,-2.16232699999999989
2016-01-01,-2.24582499999999996
2016-04-01,-2.14798199999999984
2016-07-01,-2.10795300000000019
2016-10-01,-1.93108400000000002
2017-01-01,-1.77308400000000010
2017-04-01,-2.13883199999999984
2017-07-01,-1.74209600000000009
2017-10-01,-1.84549800000000008
2018-01-01,-1.90712999999999999
2018-04-01,-1.82992899999999992
2018-07-01,-2.29723600000000028
2018-10-01,-2.47296700000000014
2019-01-01,-2.18134100000000020
2019-04-01,-2.18725800000000037
2019-07-01,-2.02895700000000012
2019-10-01,-1.81383300000000047
2020-01-01,-1.85076599999999991
2020-04-01,-3.01695800000000025
2020-07-01,-3.11611700000000003
2020-10-01,-3.28752399999999989
2021-01-01,-3.34564599999999990
2021-04-01,-3.61566600000000093
2021-07-01,-3.92932199999999998
2021-10-01,-3.74940700000000016
2022-01-01,-4.62920199999999937
2022-04-01,-4.07813900000000018
2022-07-01,-3.50988000000000033
2022-10-01,-3.39116699999999982
2023-01-01,-3.39164999999999983
2023-04-01,-3.38900800000000002
2023-07-01,-3.15591199999999983
2023-10-01,-3.13509200000000021
2024-01-01,-3.39170500000000041
2024-04-01,-3.81420199999999987
2024-07-01,-4.22508800000000040
2024-10-01,-4.09020899999999976
