observation_date,CSCICP03NZM665S
2017-10-01,100.15230
2017-11-01,99.99371
2017-12-01,99.90733
2018-01-01,99.95164
2018-02-01,100.05870
2018-03-01,100.13880
2018-04-01,100.12250
2018-05-01,100.02960
2018-06-01,99.88326
2018-07-01,99.70129
2018-08-01,99.54022
2018-09-01,99.47740
2018-10-01,99.57199
2018-11-01,99.72781
2018-12-01,99.81831
2019-01-01,99.75047
2019-02-01,99.59385
2019-03-01,99.44057
2019-04-01,99.35413
2019-05-01,99.31475
2019-06-01,99.29411
2019-07-01,99.28293
2019-08-01,99.29987
2019-09-01,99.38700
2019-10-01,99.57722
2019-11-01,99.79139
2019-12-01,99.91479
2020-01-01,99.84969
2020-02-01,99.65858
2020-03-01,99.40578
2020-04-01,99.12498
2020-05-01,98.84843
2020-06-01,98.61334
2020-07-01,98.46380
2020-08-01,98.41135
2020-09-01,98.50219
2020-10-01,98.78728
2020-11-01,99.14913
2020-12-01,99.44415
2021-01-01,99.56832
2021-02-01,99.58968
2021-03-01,99.59273
2021-04-01,99.62570
2021-05-01,99.66617
2021-06-01,99.66257
2021-07-01,99.56825
2021-08-01,99.41960
2021-09-01,99.25778
2021-10-01,99.10485
2021-11-01,98.95298
2021-12-01,98.77623
2022-01-01,98.54123
2022-02-01,98.24272
2022-03-01,97.86405
2022-04-01,97.40115
2022-05-01,96.96663
2022-06-01,96.72722
2022-07-01,96.81274
2022-08-01,97.02997
2022-09-01,97.12617
2022-10-01,96.92090
2022-11-01,96.55888
2022-12-01,96.24464
2023-01-01,96.13390
2023-02-01,96.17715
2023-03-01,96.31284
2023-04-01,96.50642
2023-05-01,96.69707
2023-06-01,96.81580
2023-07-01,96.80668
2023-08-01,96.71983
2023-09-01,96.60682
