observation_date,BSCICP03GBM665S
1995-05-01,102.42070
1995-06-01,102.02230
1995-07-01,101.65240
1995-08-01,101.46260
1995-09-01,101.20190
1995-10-01,100.85310
1995-11-01,100.47440
1995-12-01,100.20340
1996-01-01,100.22790
1996-02-01,100.20580
1996-03-01,100.05600
1996-04-01,99.83163
1996-05-01,99.72810
1996-06-01,99.94128
1996-07-01,100.32160
1996-08-01,100.76090
1996-09-01,101.13600
1996-10-01,101.37640
1996-11-01,101.37260
1996-12-01,101.04220
1997-01-01,100.86360
1997-02-01,100.88520
1997-03-01,101.01060
1997-04-01,100.94960
1997-05-01,100.77740
1997-06-01,100.74360
1997-07-01,100.94000
1997-08-01,101.10680
1997-09-01,101.34200
1997-10-01,101.56490
1997-11-01,101.50540
1997-12-01,101.32130
1998-01-01,101.01560
1998-02-01,100.76150
1998-03-01,100.37220
1998-04-01,99.82465
1998-05-01,99.16624
1998-06-01,98.57325
1998-07-01,98.03696
1998-08-01,97.37126
1998-09-01,96.77198
1998-10-01,96.23598
1998-11-01,96.14940
1998-12-01,96.50340
1999-01-01,96.74762
1999-02-01,97.04097
1999-03-01,97.57565
1999-04-01,98.38338
1999-05-01,99.14369
1999-06-01,99.29202
1999-07-01,99.39541
1999-08-01,99.94276
1999-09-01,100.49910
1999-10-01,100.72760
1999-11-01,100.76050
1999-12-01,100.77200
2000-01-01,100.65190
2000-02-01,100.36690
2000-03-01,99.99531
2000-04-01,99.58809
2000-05-01,99.36192
2000-06-01,99.26077
2000-07-01,99.38612
2000-08-01,99.55543
2000-09-01,99.89655
2000-10-01,100.25670
2000-11-01,100.55530
2000-12-01,100.81850
2001-01-01,100.52580
2001-02-01,99.71781
2001-03-01,99.02007
2001-04-01,98.74154
2001-05-01,98.69502
2001-06-01,98.79978
2001-07-01,98.74925
2001-08-01,98.35045
2001-09-01,97.93977
2001-10-01,97.54154
2001-11-01,97.15435
2001-12-01,97.02393
2002-01-01,97.43758
2002-02-01,97.94194
2002-03-01,98.35445
2002-04-01,98.77949
2002-05-01,99.02626
2002-06-01,99.38422
2002-07-01,99.64881
2002-08-01,99.66787
2002-09-01,99.49912
2002-10-01,99.44118
2002-11-01,99.31857
2002-12-01,98.94941
2003-01-01,98.60971
2003-02-01,98.19942
2003-03-01,97.88818
2003-04-01,97.81654
2003-05-01,97.94785
2003-06-01,98.10777
2003-07-01,98.12467
2003-08-01,98.15568
2003-09-01,98.15237
2003-10-01,98.46601
2003-11-01,99.20370
2003-12-01,99.92166
2004-01-01,100.45720
2004-02-01,100.53340
2004-03-01,100.64040
2004-04-01,100.78080
2004-05-01,101.13750
2004-06-01,101.19760
2004-07-01,101.13520
2004-08-01,101.17410
2004-09-01,101.01380
2004-10-01,100.89690
2004-11-01,100.71230
2004-12-01,100.65510
2005-01-01,100.69090
2005-02-01,100.46840
2005-03-01,99.87766
2005-04-01,99.20657
2005-05-01,98.75067
2005-06-01,98.62939
2005-07-01,98.81619
2005-08-01,98.90821
2005-09-01,99.17738
2005-10-01,99.30020
2005-11-01,99.14198
2005-12-01,99.00979
2006-01-01,99.08668
2006-02-01,99.47885
2006-03-01,99.91199
2006-04-01,100.32700
2006-05-01,100.46480
2006-06-01,100.58800
2006-07-01,100.74510
2006-08-01,100.69650
2006-09-01,100.70220
2006-10-01,100.68680
2006-11-01,100.93520
2006-12-01,101.08690
2007-01-01,101.26790
2007-02-01,101.68060
2007-03-01,101.84300
2007-04-01,101.86810
2007-05-01,102.02740
2007-06-01,102.16110
2007-07-01,101.92000
2007-08-01,101.84410
2007-09-01,101.79330
2007-10-01,101.60610
2007-11-01,101.50140
2007-12-01,101.36930
2008-01-01,101.37240
2008-02-01,101.23360
2008-03-01,100.94240
2008-04-01,100.35970
2008-05-01,100.05860
2008-06-01,99.98946
2008-07-01,99.48209
2008-08-01,98.57674
2008-09-01,97.54142
2008-10-01,96.54297
2008-11-01,95.74496
2008-12-01,95.12428
2009-01-01,94.35366
2009-02-01,93.69311
2009-03-01,93.53452
2009-04-01,94.06137
2009-05-01,94.78673
2009-06-01,95.50617
2009-07-01,96.15491
2009-08-01,96.87618
2009-09-01,97.55251
2009-10-01,98.02060
2009-11-01,98.10067
2009-12-01,98.12248
2010-01-01,98.33519
2010-02-01,98.57015
2010-03-01,98.91217
2010-04-01,99.40260
2010-05-01,99.90055
2010-06-01,100.18980
2010-07-01,100.47830
2010-08-01,100.66080
2010-09-01,100.73500
2010-10-01,100.79460
2010-11-01,100.89970
2010-12-01,101.13920
2011-01-01,101.30290
2011-02-01,101.55740
2011-03-01,101.81630
2011-04-01,101.71660
2011-05-01,101.56260
2011-06-01,101.32040
2011-07-01,100.89560
2011-08-01,100.50860
2011-09-01,99.88528
2011-10-01,99.29005
2011-11-01,99.09911
2011-12-01,99.35178
2012-01-01,100.06350
2012-02-01,100.59940
2012-03-01,100.78190
2012-04-01,100.58640
2012-05-01,100.05050
2012-06-01,99.94504
2012-07-01,100.03550
2012-08-01,99.95873
2012-09-01,100.12410
2012-10-01,100.26730
2012-11-01,100.11300
2012-12-01,100.07010
2013-01-01,99.97533
2013-02-01,99.99483
2013-03-01,100.13580
2013-04-01,100.10730
2013-05-01,99.98012
2013-06-01,100.04250
2013-07-01,100.70780
2013-08-01,101.63460
2013-09-01,102.40240
2013-10-01,102.58340
2013-11-01,102.74490
2013-12-01,102.58890
2014-01-01,102.30290
2014-02-01,102.10990
2014-03-01,102.09060
2014-04-01,102.37470
2014-05-01,102.55940
2014-06-01,102.65720
2014-07-01,102.51580
2014-08-01,102.36330
2014-09-01,102.12130
2014-10-01,101.96910
2014-11-01,102.01630
2014-12-01,102.12710
2015-01-01,102.20280
2015-02-01,102.17120
2015-03-01,101.85750
2015-04-01,101.60110
2015-05-01,101.32930
2015-06-01,101.16360
2015-07-01,101.17810
2015-08-01,101.09090
2015-09-01,100.88500
2015-10-01,100.60640
2015-11-01,100.35700
2015-12-01,100.24560
2016-01-01,100.25610
2016-02-01,100.28470
2016-03-01,100.54550
2016-04-01,100.83860
2016-05-01,101.10610
2016-06-01,101.25280
2016-07-01,101.18460
2016-08-01,101.18120
2016-09-01,101.30820
2016-10-01,101.60260
2016-11-01,102.08920
2016-12-01,102.39360
2017-01-01,102.68370
2017-02-01,102.82360
2017-03-01,102.79480
2017-04-01,102.79130
2017-05-01,103.01550
2017-06-01,103.32470
2017-07-01,103.48710
2017-08-01,103.33030
2017-09-01,103.09360
2017-10-01,103.00670
2017-11-01,103.14640
2017-12-01,103.19600
2018-01-01,102.90610
2018-02-01,102.20770
2018-03-01,101.63090
2018-04-01,101.65340
2018-05-01,101.87860
2018-06-01,102.23500
2018-07-01,102.46890
2018-08-01,102.42010
2018-09-01,102.18230
2018-10-01,102.04440
2018-11-01,102.23670
2018-12-01,102.32770
2019-01-01,101.97930
2019-02-01,101.37270
2019-03-01,100.74950
2019-04-01,100.13570
2019-05-01,99.56846
2019-06-01,99.22813
2019-07-01,98.84360
2019-08-01,98.48804
2019-09-01,98.00594
2019-10-01,98.14362
2019-11-01,98.49037
2019-12-01,98.64906
2020-01-01,98.71770
2020-02-01,98.12453
2020-03-01,96.39779
2020-04-01,94.39751
2020-05-01,93.94892
2020-06-01,94.96062
2020-07-01,96.52839
2020-08-01,97.43384
2020-09-01,98.30681
2020-10-01,98.97698
2020-11-01,98.69633
2020-12-01,98.47496
2021-01-01,98.43822
2021-02-01,99.56442
2021-03-01,101.39760
2021-04-01,102.84710
2021-05-01,104.00800
2021-06-01,104.69460
2021-07-01,104.98930
2021-08-01,104.89400
2021-09-01,104.94860
2021-10-01,105.23200
2021-11-01,105.52300
2021-12-01,105.50060
2022-01-01,105.22340
2022-02-01,104.85120
2022-03-01,104.47660
2022-04-01,104.07600
2022-05-01,103.84350
2022-06-01,103.10920
2022-07-01,102.10470
2022-08-01,101.04190
2022-09-01,100.56450
2022-10-01,100.66190
2022-11-01,100.54070
2022-12-01,100.41800
2023-01-01,100.36070
2023-02-01,100.10810
2023-03-01,99.85511
2023-04-01,99.55713
2023-05-01,99.49366
2023-06-01,99.78766
2023-07-01,100.18430
2023-08-01,100.09480
2023-09-01,100.05180
2023-10-01,100.05910
2023-11-01,99.67487
2023-12-01,99.42576
2024-01-01,99.08771
