observation_date,ULQELP01FRQ661S
1997-07-01,86.4924247009069
1997-10-01,87.0360062372656
1998-01-01,87.4936647322775
1998-04-01,87.6729823837841
1998-07-01,87.6628210501987
1998-10-01,87.9180498408431
1999-01-01,87.9803129142829
1999-04-01,87.8946887356885
1999-07-01,88.6082235573085
1999-10-01,89.2581006126437
2000-01-01,89.4916120432723
2000-04-01,89.7929155082622
2000-07-01,89.9218747859707
2000-10-01,90.0613440704758
2001-01-01,90.2213352639867
2001-04-01,90.1361593795211
2001-07-01,90.5714529785534
2001-10-01,90.0723023714012
2002-01-01,90.4827903619751
2002-04-01,90.7535102052913
2002-07-01,91.1482082804408
2002-10-01,91.0925699980150
2003-01-01,91.1981681705689
2003-04-01,91.0104823619920
2003-07-01,91.9280408226596
2003-10-01,92.2942971258618
2004-01-01,93.1804251870569
2004-04-01,93.6709585848450
2004-07-01,93.9370460554973
2004-10-01,94.3887771059177
2005-01-01,94.4459097021060
2005-04-01,94.4786351735060
2005-07-01,94.9142276352908
2005-10-01,95.2852159320745
2006-01-01,95.7743048265587
2006-04-01,96.4711033340381
2006-07-01,96.2388869753371
2006-10-01,96.5193696685687
2007-01-01,96.8563374220248
2007-04-01,97.1308926706649
2007-07-01,97.2940717335359
2007-10-01,97.2678216217737
2008-01-01,97.5327136414160
2008-04-01,96.9217385543660
2008-07-01,96.9476399929170
2008-10-01,95.7453151395652
2009-01-01,94.5618186396216
2009-04-01,94.9602026887187
2009-07-01,95.2004883417376
2009-10-01,96.0023869171834
2010-01-01,96.1865361831889
2010-04-01,96.5779467680608
2010-07-01,97.0139875239744
2010-10-01,97.4134674031641
2011-01-01,98.2611417902028
2011-04-01,97.9683061032008
2011-07-01,98.2497351951486
2011-10-01,98.3932889372714
2012-01-01,98.2509306461587
2012-04-01,98.1272512770779
2012-07-01,98.3532413284350
2012-10-01,98.2302593057767
2013-01-01,98.2100362595234
2013-04-01,98.9097237736104
2013-07-01,98.7120260628244
2013-10-01,99.1443310343316
2014-01-01,98.9032484139727
2014-04-01,98.9119154337955
2014-07-01,99.4773637615464
2014-10-01,99.3881532299218
2015-01-01,99.8930818502892
2015-04-01,99.9707861659420
2015-07-01,100.0246312718530
2015-10-01,100.1115007119160
2016-01-01,100.5951602663960
2016-04-01,100.0344937426860
2016-07-01,100.1577746280960
2016-10-01,100.5636800564650
2017-01-01,100.9204723725050
2017-04-01,101.3486928863940
2017-07-01,101.9631048950980
2017-10-01,102.3507796955630
2018-01-01,101.9864161897940
2018-04-01,102.2238626466640
2018-07-01,102.6332548071450
2018-10-01,103.0692457526000
2019-01-01,103.3525676419800
2019-04-01,103.5598787713050
2019-07-01,103.2915498300090
2019-10-01,102.5090275230180
2020-01-01,97.0972706110074
2020-04-01,86.1661661960824
2020-07-01,99.4809501145765
2020-10-01,98.1478229965424
2021-01-01,97.7857009614166
2021-04-01,97.8116522104263
2021-07-01,99.4622213820858
2021-10-01,99.1473694723154
2022-01-01,98.5189109142436
2022-04-01,98.4878789984412
2022-07-01,98.5466055293096
2022-10-01,98.2287649920141
2023-01-01,97.9829005676151
2023-04-01,98.3155348111598
2023-07-01,98.0943763743016
