observation_date,CSCICP03EZM665S
1983-07-01,98.22663
1983-08-01,98.22195
1983-09-01,98.16846
1983-10-01,98.17587
1983-11-01,98.32745
1983-12-01,98.51928
1984-01-01,98.63255
1984-02-01,98.54259
1984-03-01,98.35712
1984-04-01,98.17200
1984-05-01,98.07258
1984-06-01,98.05286
1984-07-01,98.22984
1984-08-01,98.46307
1984-09-01,98.67231
1984-10-01,98.79282
1984-11-01,98.96931
1984-12-01,99.25730
1985-01-01,99.65105
1985-02-01,99.82290
1985-03-01,99.82368
1985-04-01,99.79895
1985-05-01,99.73655
1985-06-01,99.68707
1985-07-01,99.71447
1985-08-01,99.83359
1985-09-01,100.06670
1985-10-01,100.40840
1985-11-01,100.67610
1985-12-01,100.92340
1986-01-01,101.25670
1986-02-01,101.50350
1986-03-01,101.60620
1986-04-01,101.57160
1986-05-01,101.50700
1986-06-01,101.48830
1986-07-01,101.53940
1986-08-01,101.65190
1986-09-01,101.73350
1986-10-01,101.77520
1986-11-01,101.74190
1986-12-01,101.67040
1987-01-01,101.59070
1987-02-01,101.48620
1987-03-01,101.37250
1987-04-01,101.23500
1987-05-01,101.08610
1987-06-01,100.99140
1987-07-01,100.99430
1987-08-01,101.07100
1987-09-01,101.18390
1987-10-01,101.17640
1987-11-01,101.10810
1987-12-01,101.09380
1988-01-01,101.12060
1988-02-01,101.20170
1988-03-01,101.29400
1988-04-01,101.35640
1988-05-01,101.34190
1988-06-01,101.33050
1988-07-01,101.37620
1988-08-01,101.54630
1988-09-01,101.76380
1988-10-01,101.97290
1988-11-01,102.08950
1988-12-01,102.07100
1989-01-01,101.96850
1989-02-01,101.83260
1989-03-01,101.70460
1989-04-01,101.61210
1989-05-01,101.61360
1989-06-01,101.75090
1989-07-01,101.90780
1989-08-01,102.03660
1989-09-01,102.16840
1989-10-01,102.25700
1989-11-01,102.32600
1989-12-01,102.38090
1990-01-01,102.36770
1990-02-01,102.31380
1990-03-01,102.22940
1990-04-01,102.18930
1990-05-01,102.13780
1990-06-01,102.09610
1990-07-01,101.96300
1990-08-01,101.61150
1990-09-01,101.07860
1990-10-01,100.80480
1990-11-01,100.76850
1990-12-01,100.67620
1991-01-01,100.44620
1991-02-01,100.41240
1991-03-01,100.60430
1991-04-01,100.69600
1991-05-01,100.65390
1991-06-01,100.42120
1991-07-01,100.12740
1991-08-01,100.01380
1991-09-01,100.08380
1991-10-01,100.13280
1991-11-01,100.15370
1991-12-01,100.11990
1992-01-01,100.04830
1992-02-01,100.00550
1992-03-01,99.87120
1992-04-01,99.66107
1992-05-01,99.49315
1992-06-01,99.40646
1992-07-01,99.30527
1992-08-01,99.07375
1992-09-01,98.73300
1992-10-01,98.39307
1992-11-01,98.11823
1992-12-01,97.90343
1993-01-01,97.78134
1993-02-01,97.78549
1993-03-01,97.84864
1993-04-01,97.96640
1993-05-01,97.93837
1993-06-01,97.78166
1993-07-01,97.70303
1993-08-01,97.72424
1993-09-01,97.76070
1993-10-01,97.74007
1993-11-01,97.76162
1993-12-01,97.92099
1994-01-01,98.14890
1994-02-01,98.52715
1994-03-01,99.00480
1994-04-01,99.55115
1994-05-01,100.06970
1994-06-01,100.43880
1994-07-01,100.63670
1994-08-01,100.79140
1994-09-01,100.89920
1994-10-01,100.89360
1994-11-01,100.81710
1994-12-01,100.71490
1995-01-01,100.62740
1995-02-01,100.58100
1995-03-01,100.59130
1995-04-01,100.68180
1995-05-01,100.78950
1995-06-01,100.81420
1995-07-01,100.73460
1995-08-01,100.58360
1995-09-01,100.36030
1995-10-01,100.12460
1995-11-01,99.91348
1995-12-01,99.69643
1996-01-01,99.53122
1996-02-01,99.44505
1996-03-01,99.43214
1996-04-01,99.42799
1996-05-01,99.46214
1996-06-01,99.46649
1996-07-01,99.43702
1996-08-01,99.45731
1996-09-01,99.44843
1996-10-01,99.40027
1996-11-01,99.38045
1996-12-01,99.44266
1997-01-01,99.53463
1997-02-01,99.54777
1997-03-01,99.56077
1997-04-01,99.63068
1997-05-01,99.77998
1997-06-01,99.98254
1997-07-01,100.21000
1997-08-01,100.45320
1997-09-01,100.63400
1997-10-01,100.69830
1997-11-01,100.71430
1997-12-01,100.69670
1998-01-01,100.73030
1998-02-01,100.84810
1998-03-01,100.99730
1998-04-01,101.08940
1998-05-01,101.21480
1998-06-01,101.35480
1998-07-01,101.53540
1998-08-01,101.63200
1998-09-01,101.72010
1998-10-01,101.83840
1998-11-01,101.92880
1998-12-01,101.94200
1999-01-01,101.91490
1999-02-01,101.78940
1999-03-01,101.55160
1999-04-01,101.32900
1999-05-01,101.23720
1999-06-01,101.29440
1999-07-01,101.43000
1999-08-01,101.59460
1999-09-01,101.79250
1999-10-01,102.02900
1999-11-01,102.19610
1999-12-01,102.31130
2000-01-01,102.40690
2000-02-01,102.44250
2000-03-01,102.43290
2000-04-01,102.38510
2000-05-01,102.33540
2000-06-01,102.25730
2000-07-01,102.22330
2000-08-01,102.11960
2000-09-01,101.93130
2000-10-01,101.93040
2000-11-01,102.05320
2000-12-01,102.15250
2001-01-01,102.15480
2001-02-01,102.04480
2001-03-01,101.89100
2001-04-01,101.67600
2001-05-01,101.45050
2001-06-01,101.24030
2001-07-01,101.07650
2001-08-01,100.92590
2001-09-01,100.79900
2001-10-01,100.73230
2001-11-01,100.74820
2001-12-01,100.86520
2002-01-01,100.97040
2002-02-01,100.98180
2002-03-01,100.88360
2002-04-01,100.68620
2002-05-01,100.52440
2002-06-01,100.35200
2002-07-01,100.21500
2002-08-01,100.06080
2002-09-01,99.90261
2002-10-01,99.66681
2002-11-01,99.35054
2002-12-01,99.03403
2003-01-01,98.80537
2003-02-01,98.65755
2003-03-01,98.60522
2003-04-01,98.72075
2003-05-01,98.90682
2003-06-01,99.08858
2003-07-01,99.19531
2003-08-01,99.23035
2003-09-01,99.27621
2003-10-01,99.34770
2003-11-01,99.42994
2003-12-01,99.46280
2004-01-01,99.51034
2004-02-01,99.58812
2004-03-01,99.58772
2004-04-01,99.50650
2004-05-01,99.44808
2004-06-01,99.45183
2004-07-01,99.49535
2004-08-01,99.57471
2004-09-01,99.66079
2004-10-01,99.70393
2004-11-01,99.71555
2004-12-01,99.78101
2005-01-01,99.88015
2005-02-01,99.93366
2005-03-01,99.87182
2005-04-01,99.69275
2005-05-01,99.46835
2005-06-01,99.32766
2005-07-01,99.28973
2005-08-01,99.34843
2005-09-01,99.39848
2005-10-01,99.48433
2005-11-01,99.63835
2005-12-01,99.90675
2006-01-01,100.13970
2006-02-01,100.25400
2006-03-01,100.30830
2006-04-01,100.33220
2006-05-01,100.30020
2006-06-01,100.27580
2006-07-01,100.33120
2006-08-01,100.40420
2006-09-01,100.49420
2006-10-01,100.58970
2006-11-01,100.71760
2006-12-01,100.84800
2007-01-01,100.90630
2007-02-01,101.00580
2007-03-01,101.11020
2007-04-01,101.21330
2007-05-01,101.31930
2007-06-01,101.31060
2007-07-01,101.17850
2007-08-01,100.89130
2007-09-01,100.55460
2007-10-01,100.22310
2007-11-01,99.84601
2007-12-01,99.54218
2008-01-01,99.27857
2008-02-01,99.11790
2008-03-01,98.95102
2008-04-01,98.65762
2008-05-01,98.18915
2008-06-01,97.63859
2008-07-01,97.31738
2008-08-01,97.35525
2008-09-01,97.43418
2008-10-01,97.30985
2008-11-01,97.15208
2008-12-01,96.97010
2009-01-01,96.85428
2009-02-01,96.79448
2009-03-01,96.90780
2009-04-01,97.24667
2009-05-01,97.65762
2009-06-01,98.08546
2009-07-01,98.52600
2009-08-01,98.96159
2009-09-01,99.36807
2009-10-01,99.64272
2009-11-01,99.75701
2009-12-01,99.73360
2010-01-01,99.56005
2010-02-01,99.29613
2010-03-01,99.07954
2010-04-01,98.88654
2010-05-01,98.60872
2010-06-01,98.55356
2010-07-01,98.82743
2010-08-01,99.22302
2010-09-01,99.47673
2010-10-01,99.57214
2010-11-01,99.59824
2010-12-01,99.48611
2011-01-01,99.34648
2011-02-01,99.24623
2011-03-01,99.09634
2011-04-01,98.94791
2011-05-01,98.89038
2011-06-01,98.86439
2011-07-01,98.71931
2011-08-01,98.40701
2011-09-01,98.12696
2011-10-01,97.93941
2011-11-01,97.87768
2011-12-01,97.82812
2012-01-01,97.84348
2012-02-01,97.94083
2012-03-01,98.00234
2012-04-01,97.92952
2012-05-01,97.83342
2012-06-01,97.74396
2012-07-01,97.62208
2012-08-01,97.44923
2012-09-01,97.26539
2012-10-01,97.17407
2012-11-01,97.13472
2012-12-01,97.16589
2013-01-01,97.32861
2013-02-01,97.47160
2013-03-01,97.54385
2013-04-01,97.59150
2013-05-01,97.62963
2013-06-01,97.79036
2013-07-01,98.06100
2013-08-01,98.40298
2013-09-01,98.70490
2013-10-01,98.85999
2013-11-01,98.99555
2013-12-01,99.15000
2014-01-01,99.33311
2014-02-01,99.51134
2014-03-01,99.67645
2014-04-01,99.77902
2014-05-01,99.84311
2014-06-01,99.83563
2014-07-01,99.74211
2014-08-01,99.57417
2014-09-01,99.46301
2014-10-01,99.46387
2014-11-01,99.55533
2014-12-01,99.80624
2015-01-01,100.22830
2015-02-01,100.69290
2015-03-01,100.98460
2015-04-01,101.00740
2015-05-01,100.85670
2015-06-01,100.68450
2015-07-01,100.57080
2015-08-01,100.61180
2015-09-01,100.72580
2015-10-01,100.86380
2015-11-01,101.00790
2015-12-01,101.08850
2016-01-01,101.03660
2016-02-01,100.87070
2016-03-01,100.69260
2016-04-01,100.60170
2016-05-01,100.56590
2016-06-01,100.56800
2016-07-01,100.55760
2016-08-01,100.58900
2016-09-01,100.69190
2016-10-01,100.86750
2016-11-01,101.04200
2016-12-01,101.14250
2017-01-01,101.14630
2017-02-01,101.09190
2017-03-01,101.13170
2017-04-01,101.22230
2017-05-01,101.33690
2017-06-01,101.48590
2017-07-01,101.60300
2017-08-01,101.70340
2017-09-01,101.82250
2017-10-01,101.97200
2017-11-01,102.10400
2017-12-01,102.18570
2018-01-01,102.15120
2018-02-01,102.01520
2018-03-01,101.85200
2018-04-01,101.70760
2018-05-01,101.56720
2018-06-01,101.49940
2018-07-01,101.46130
2018-08-01,101.42220
2018-09-01,101.37360
2018-10-01,101.34040
2018-11-01,101.23360
2018-12-01,101.10780
2019-01-01,101.09940
2019-02-01,101.13380
2019-03-01,101.15660
2019-04-01,101.12790
2019-05-01,101.11100
2019-06-01,101.07740
2019-07-01,101.06380
2019-08-01,101.03760
2019-09-01,101.05020
2019-10-01,101.06810
2019-11-01,101.09950
2019-12-01,101.06470
2020-01-01,100.90450
2020-02-01,100.30760
2020-03-01,99.01022
2020-04-01,97.70109
2020-05-01,97.58477
2020-06-01,98.19553
2020-07-01,98.71597
2020-08-01,99.01622
2020-09-01,99.10545
2020-10-01,98.97146
2020-11-01,98.88295
2020-12-01,99.07610
2021-01-01,99.22786
2021-02-01,99.52116
2021-03-01,100.01780
2021-04-01,100.58880
2021-05-01,101.31270
2021-06-01,101.84840
2021-07-01,101.94190
2021-08-01,101.84110
2021-09-01,101.72720
2021-10-01,101.42400
2021-11-01,100.98690
2021-12-01,100.58710
2022-01-01,100.10920
2022-02-01,99.24402
2022-03-01,97.88199
2022-04-01,97.00677
2022-05-01,96.53373
2022-06-01,96.07331
2022-07-01,95.65578
2022-08-01,95.46453
2022-09-01,95.33092
2022-10-01,95.56860
2022-11-01,96.12844
2022-12-01,96.69642
2023-01-01,97.16840
2023-02-01,97.52960
2023-03-01,97.77405
2023-04-01,98.01880
2023-05-01,98.23151
2023-06-01,98.43311
2023-07-01,98.51302
2023-08-01,98.39116
2023-09-01,98.18958
2023-10-01,98.13075
2023-11-01,98.26365
2023-12-01,98.46674
2024-01-01,98.56668
