observation_date,CSCICP03O9M665S
1986-03-01,100.4230932309390
1986-04-01,100.4315449973770
1986-05-01,100.4351737097910
1986-06-01,100.4508608916110
1986-07-01,100.4153224608640
1986-08-01,100.3523137991450
1986-09-01,100.3017219237830
1986-10-01,100.2873457026900
1986-11-01,100.2204057660530
1986-12-01,100.1546300374290
1987-01-01,100.1469721095100
1987-02-01,100.1866350027170
1987-03-01,100.2484156782540
1987-04-01,100.3187106793590
1987-05-01,100.3634778454300
1987-06-01,100.4231237644530
1987-07-01,100.4926977560930
1987-08-01,100.5271500804250
1987-09-01,100.4946335193460
1987-10-01,100.3797527338730
1987-11-01,100.2709313063700
1987-12-01,100.3169901554290
1988-01-01,100.4446461993810
1988-02-01,100.5590459710570
1988-03-01,100.6375293783510
1988-04-01,100.6681049670600
1988-05-01,100.7047328646310
1988-06-01,100.7338348412370
1988-07-01,100.7743991759140
1988-08-01,100.8524709072060
1988-09-01,100.8922893863580
1988-10-01,100.8741589312580
1988-11-01,100.8333402385930
1988-12-01,100.7888977331360
1989-01-01,100.7616568729110
1989-02-01,100.6473758921730
1989-03-01,100.4722146044820
1989-04-01,100.3104765235110
1989-05-01,100.2235180971220
1989-06-01,100.2257965441810
1989-07-01,100.3027873074070
1989-08-01,100.4028938610010
1989-09-01,100.5150297908910
1989-10-01,100.5122911179550
1989-11-01,100.4623640258020
1989-12-01,100.4373696828350
1990-01-01,100.4201405503960
1990-02-01,100.3611761728070
1990-03-01,100.3058458431580
1990-04-01,100.2755636154380
1990-05-01,100.1952685107480
1990-06-01,100.0773851298430
1990-07-01,99.8707024224367
1990-08-01,99.5003996039340
1990-09-01,99.0958366322389
1990-10-01,98.8312520920423
1990-11-01,98.7737034361084
1990-12-01,98.8308221429615
1991-01-01,98.9445527543048
1991-02-01,99.2108335812336
1991-03-01,99.5779086187458
1991-04-01,99.7097273360427
1991-05-01,99.6905049431368
1991-06-01,99.6310304132260
1991-07-01,99.5561991852590
1991-08-01,99.5015323428019
1991-09-01,99.4397333909844
1991-10-01,99.2620629925842
1991-11-01,99.0165448545544
1991-12-01,98.8420363710512
1992-01-01,98.7947127333660
1992-02-01,98.8945942299594
1992-03-01,99.0666461892256
1992-04-01,99.1854947214472
1992-05-01,99.2259340403510
1992-06-01,99.1705884118787
1992-07-01,99.0223087895051
1992-08-01,98.8439801486110
1992-09-01,98.6870542805973
1992-10-01,98.6406207570376
1992-11-01,98.7667753990653
1992-12-01,98.9084454093684
1993-01-01,98.9698198520193
1993-02-01,98.9638839707618
1993-03-01,98.9545159645537
1993-04-01,98.9374881305652
1993-05-01,98.8494596651769
1993-06-01,98.7279710788784
1993-07-01,98.6323660043439
1993-08-01,98.6023759708102
1993-09-01,98.6243973969890
1993-10-01,98.6984639926312
1993-11-01,98.8317630951856
1993-12-01,99.0725390354756
1994-01-01,99.3170105922047
1994-02-01,99.4606350019752
1994-03-01,99.5451675348810
1994-04-01,99.6446015538772
1994-05-01,99.7543861826877
1994-06-01,99.8518121549963
1994-07-01,99.9771373950860
1994-08-01,100.1171683522540
1994-09-01,100.2261190012110
1994-10-01,100.2904609134980
1994-11-01,100.3174621995060
1994-12-01,100.3366746676850
1995-01-01,100.3356027321360
1995-02-01,100.2590131203190
1995-03-01,100.1504762610350
1995-04-01,100.1110421999840
1995-05-01,100.1201824499800
1995-06-01,100.1823203522450
1995-07-01,100.2131673316520
1995-08-01,100.1678209510360
1995-09-01,100.0347063634580
1995-10-01,99.9260492540529
1995-11-01,99.8616538078301
1995-12-01,99.8559587776564
1996-01-01,99.8807632566093
1996-02-01,99.9340985855788
1996-03-01,100.0135496391850
1996-04-01,100.0320211250240
1996-05-01,100.0137387093320
1996-06-01,100.0245712075650
1996-07-01,100.0545844232650
1996-08-01,100.0916776282950
1996-09-01,100.1130812159080
1996-10-01,100.1220657915220
1996-11-01,100.1025977409060
1996-12-01,100.0441454220440
1997-01-01,100.0064921104640
1997-02-01,100.0314778904960
1997-03-01,100.1081597973450
1997-04-01,100.2289328579730
1997-05-01,100.3736130018720
