observation_date,LMUNRRTTCHM156S
1998-01-01,4.72629500
1998-02-01,4.58978600
1998-03-01,4.42337300
1998-04-01,4.22650500
1998-05-01,4.03568400
1998-06-01,3.80134700
1998-07-01,3.66630100
1998-08-01,3.56151600
1998-09-01,3.42920300
1998-10-01,3.32499800
1998-11-01,3.26201700
1998-12-01,3.21935800
1999-01-01,3.16441200
1999-02-01,3.09027600
1999-03-01,3.00385200
1999-04-01,2.90784800
1999-05-01,2.82164600
1999-06-01,2.73850800
1999-07-01,2.68052500
1999-08-01,2.59887900
1999-09-01,2.52526700
1999-10-01,2.45770200
1999-11-01,2.36948400
1999-12-01,2.30600600
2000-01-01,2.05906400
2000-02-01,1.99955000
2000-03-01,1.93983400
2000-04-01,1.90345100
2000-05-01,1.85333700
2000-06-01,1.83973200
2000-07-01,1.82176900
2000-08-01,1.78356300
2000-09-01,1.75125900
2000-10-01,1.70096800
2000-11-01,1.63917400
2000-12-01,1.59032700
2001-01-01,1.54259400
2001-02-01,1.52529000
2001-03-01,1.54743300
2001-04-01,1.57358000
2001-05-01,1.62906500
2001-06-01,1.67464400
2001-07-01,1.69911800
2001-08-01,1.71976700
2001-09-01,1.74322800
2001-10-01,1.83256200
2001-11-01,1.93760400
2001-12-01,2.00352800
2002-01-01,2.08211900
2002-02-01,2.14890400
2002-03-01,2.22078200
2002-04-01,2.30895000
2002-05-01,2.38802300
2002-06-01,2.47515300
2002-07-01,2.54774000
2002-08-01,2.62045400
2002-09-01,2.74125500
2002-10-01,2.88779700
2002-11-01,3.03145100
2002-12-01,3.10758500
2003-01-01,3.22342000
2003-02-01,3.34708400
2003-03-01,3.46101900
2003-04-01,3.56436300
2003-05-01,3.66302100
2003-06-01,3.74386700
2003-07-01,3.79821300
2003-08-01,3.81488400
2003-09-01,3.87890700
2003-10-01,3.91949500
2003-11-01,3.93538100
2003-12-01,3.93776200
2004-01-01,3.96507400
2004-02-01,3.94495700
2004-03-01,3.93578600
2004-04-01,3.90753700
2004-05-01,3.87847600
2004-06-01,3.85998100
2004-07-01,3.85367300
2004-08-01,3.85478800
2004-09-01,3.85836000
2004-10-01,3.83082000
2004-11-01,3.82522100
2004-12-01,3.81751800
2005-01-01,3.80315300
2005-02-01,3.80969000
2005-03-01,3.80647200
2005-04-01,3.80925900
2005-05-01,3.79469100
2005-06-01,3.78265600
2005-07-01,3.77161000
2005-08-01,3.75813200
2005-09-01,3.76727800
2005-10-01,3.71825300
2005-11-01,3.68179500
2005-12-01,3.65286100
2006-01-01,3.60165800
2006-02-01,3.55164500
2006-03-01,3.49785700
2006-04-01,3.44300500
2006-05-01,3.39355000
2006-06-01,3.34042000
2006-07-01,3.30066900
2006-08-01,3.26580700
2006-09-01,3.24505700
2006-10-01,3.17323000
2006-11-01,3.10859800
2006-12-01,3.06423500
2007-01-01,3.01860500
2007-02-01,2.95488600
2007-03-01,2.86517200
2007-04-01,2.83702400
2007-05-01,2.79929900
2007-06-01,2.76177700
2007-07-01,2.73383100
2007-08-01,2.70383400
2007-09-01,2.67872600
2007-10-01,2.65617700
2007-11-01,2.62977700
2007-12-01,2.56114300
2008-01-01,2.53165200
2008-02-01,2.49924800
2008-03-01,2.49894400
2008-04-01,2.53530000
2008-05-01,2.52696500
2008-06-01,2.53570600
2008-07-01,2.54072200
2008-08-01,2.54753800
2008-09-01,2.58455300
2008-10-01,2.63122200
2008-11-01,2.71219500
2008-12-01,2.79114100
2009-01-01,2.95032600
2009-02-01,3.09362500
2009-03-01,3.27084900
2009-04-01,3.44315700
2009-05-01,3.54313200
2009-06-01,3.78199800
2009-07-01,3.89793400
2009-08-01,3.98858600
2009-09-01,4.07176300
2009-10-01,4.10890500
2009-11-01,4.12889500
2009-12-01,4.14039800
2010-01-01,3.77212100
2010-02-01,3.74730000
2010-03-01,3.71065800
2010-04-01,3.66117700
2010-05-01,3.60746300
2010-06-01,3.56011100
2010-07-01,3.50891900
2010-08-01,3.45939200
2010-09-01,3.39117300
2010-10-01,3.31985500
2010-11-01,3.25311800
2010-12-01,3.20671400
2011-01-01,3.12431600
2011-02-01,3.04608100
2011-03-01,2.99204300
2011-04-01,2.86460500
2011-05-01,2.76920700
2011-06-01,2.77774200
2011-07-01,2.75132500
2011-08-01,2.74424600
2011-09-01,2.73975900
2011-10-01,2.75629900
2011-11-01,2.76962300
2011-12-01,2.78829100
2012-01-01,2.77182100
2012-02-01,2.80022700
2012-03-01,2.80726000
2012-04-01,2.84603000
2012-05-01,2.87115200
2012-06-01,2.89828700
2012-07-01,2.90927500
2012-08-01,2.93881500
2012-09-01,2.95375800
2012-10-01,2.99516600
2012-11-01,3.02507600
2012-12-01,3.04749200
2013-01-01,3.08369400
2013-02-01,3.10164500
2013-03-01,3.09664900
2013-04-01,3.14145700
2013-05-01,3.16114300
2013-06-01,3.16283100
2013-07-01,3.19070600
2013-08-01,3.18540900
2013-09-01,3.19186300
2013-10-01,3.18367400
2013-11-01,3.20039900
2013-12-01,3.20606600
2014-01-01,3.07697200
2014-02-01,3.05827700
2014-03-01,3.05732000
2014-04-01,3.04663700
2014-05-01,3.02765300
2014-06-01,3.03749000
2014-07-01,3.03884800
2014-08-01,3.03134800
2014-09-01,3.04712700
2014-10-01,3.04423400
2014-11-01,3.02609500
2014-12-01,3.03711200
2015-01-01,3.02745300
2015-02-01,3.07100700
2015-03-01,3.10205400
2015-04-01,3.13247700
2015-05-01,3.16230000
2015-06-01,3.19083100
2015-07-01,3.19390300
2015-08-01,3.21506800
2015-09-01,3.23167000
2015-10-01,3.25174500
2015-11-01,3.28049900
2015-12-01,3.28397100
2016-01-01,3.29990600
2016-02-01,3.31777700
2016-03-01,3.32872700
2016-04-01,3.33513700
2016-05-01,3.34548600
2016-06-01,3.32420900
2016-07-01,3.33146500
2016-08-01,3.33827500
2016-09-01,3.33177600
2016-10-01,3.31938000
2016-11-01,3.31185700
2016-12-01,3.30531400
2017-01-01,3.19803300
2017-02-01,3.17946100
2017-03-01,3.16147200
2017-04-01,3.16125600
2017-05-01,3.14013900
2017-06-01,3.10998500
2017-07-01,3.10983400
2017-08-01,3.07538700
2017-09-01,3.03354100
2017-10-01,3.00442200
2017-11-01,2.95228700
2017-12-01,2.92817200
2018-01-01,2.86525300
2018-02-01,2.83406300
2018-03-01,2.69610200
2018-04-01,2.58165300
2018-05-01,2.48480400
2018-06-01,2.53215000
2018-07-01,2.50240500
2018-08-01,2.47404100
2018-09-01,2.45549100
2018-10-01,2.41558600
