observation_date,IRSTCI01NZM156N
2016-10-01,1.88
2016-11-01,1.74
2016-12-01,1.68
2017-01-01,1.66
2017-02-01,1.71
2017-03-01,1.66
2017-04-01,1.62
2017-05-01,1.67
2017-06-01,1.71
2017-07-01,1.63
2017-08-01,1.65
2017-09-01,1.64
2017-10-01,1.61
2017-11-01,1.64
2017-12-01,1.67
2018-01-01,1.66
2018-02-01,1.67
2018-03-01,1.67
2018-04-01,1.71
2018-05-01,1.73
2018-06-01,1.69
2018-07-01,1.67
2018-08-01,1.71
2018-09-01,1.68
2018-10-01,1.68
2018-11-01,1.72
2018-12-01,1.72
2019-01-01,1.67
2019-02-01,1.73
2019-03-01,1.73
2019-04-01,1.70
2019-05-01,1.51
2019-06-01,1.45
2019-07-01,1.43
2019-08-01,1.10
2019-09-01,0.96
2019-10-01,0.97
2019-11-01,0.99
2019-12-01,0.95
2020-01-01,0.92
2020-02-01,0.93
2020-03-01,0.56
2020-04-01,0.26
2020-05-01,0.25
2020-06-01,0.23
2020-07-01,0.21
2020-08-01,0.15
2020-09-01,0.26
2020-10-01,0.21
2020-11-01,0.22
2020-12-01,0.23
2021-01-01,0.24
2021-02-01,0.24
2021-03-01,0.23
2021-04-01,0.24
2021-05-01,0.22
2021-06-01,0.23
2021-07-01,0.23
2021-08-01,0.21
2021-09-01,0.20
2021-10-01,0.38
2021-11-01,0.54
2021-12-01,0.71
2022-01-01,0.67
2022-02-01,0.73
2022-03-01,0.94
2022-04-01,1.24
2022-05-01,1.53
2022-06-01,1.96
2022-07-01,2.20
2022-08-01,2.78
2022-09-01,2.90
2022-10-01,3.29
2022-11-01,3.55
2022-12-01,4.18
2023-01-01,4.21
2023-02-01,4.20
2023-03-01,4.75
2023-04-01,5.01
2023-05-01,5.34
2023-06-01,5.40
2023-07-01,5.47
2023-08-01,5.41
2023-09-01,5.39
2023-10-01,5.40
2023-11-01,5.43
2023-12-01,5.35
2024-01-01,5.52
2024-02-01,5.43
2024-03-01,5.38
2024-04-01,5.47
2024-05-01,5.50
2024-06-01,5.52
2024-07-01,5.49
2024-08-01,5.45
2024-09-01,5.21
2024-10-01,4.77
2024-11-01,4.79
2024-12-01,4.33
