observation_date,USAPIEAMP01GPM
1991-08-01,0.2599653259
1991-09-01,0.0000000000
1991-10-01,0.6050129741
1991-11-01,0.0859106543
1991-12-01,-0.4291845561
1992-01-01,-0.0862068979
1992-02-01,0.3451251133
1992-03-01,0.0859845241
1992-04-01,0.4295532554
1992-05-01,0.5988024046
1992-06-01,0.2551020448
1992-07-01,-0.0848176434
1992-08-01,-0.1697792896
1992-09-01,0.0000000000
1992-10-01,0.5952380888
1992-11-01,-0.0845308551
1992-12-01,-0.2538070949
1993-01-01,0.4240882012
1993-02-01,0.4222973039
1993-03-01,0.3364171469
1993-04-01,0.3352891922
1993-05-01,0.0835421901
1993-06-01,-0.2504173662
1993-07-01,-0.1673640194
1993-08-01,-0.5867560708
1993-09-01,-0.1686340667
1993-10-01,0.8445945922
1993-11-01,-0.0837520951
1993-12-01,-0.4191114747
1994-01-01,0.4208754118
1994-02-01,0.4191114902
1994-03-01,0.0834724554
1994-04-01,0.1668056740
1994-05-01,0.2497918286
1994-06-01,0.0000000000
1994-07-01,0.4152823986
1994-08-01,0.4962779234
1994-09-01,-0.3292181121
1994-10-01,0.3303055378
1994-11-01,0.3292180969
1994-12-01,-0.1640689115
1995-01-01,0.7395234299
1995-02-01,0.4078303338
1995-03-01,0.2437043093
1995-04-01,0.5672609339
1995-05-01,0.3223207142
1995-06-01,-0.0803212864
1995-07-01,0.0000000000
1995-08-01,0.0000000000
1995-09-01,-0.0803858533
1995-10-01,0.6436041786
1995-11-01,0.0000000000
1995-12-01,0.1598721048
1996-01-01,0.3990423047
1996-02-01,-0.0794912572
1996-03-01,0.2386634882
1996-04-01,0.6349206301
1996-05-01,0.4731861273
1996-06-01,-0.2354788106
1996-07-01,0.0000000000
1996-08-01,0.2360346221
1996-09-01,0.0784929223
1996-10-01,0.5490196165
1996-11-01,-0.1560062427
1996-12-01,0.0000000000
1997-01-01,0.0781250012
1997-02-01,-0.1561280274
1997-03-01,-0.0781860841
1997-04-01,-0.0782472626
1997-05-01,-0.0783085369
1997-06-01,-0.3134796142
1997-07-01,-0.2358490603
1997-08-01,0.3940110385
1997-09-01,-0.0784929369
1997-10-01,0.2356637754
1997-11-01,-0.0783699072
1997-12-01,-0.3921568544
1998-01-01,-0.4724409523
1998-02-01,-0.2373417612
1998-03-01,-0.1586042848
1998-04-01,0.2382843564
1998-05-01,0.1584785932
1998-06-01,-0.1582278359
1998-07-01,0.0000000000
1998-08-01,-0.1584786079
1998-09-01,-0.0793650806
1998-10-01,0.3971405792
1998-11-01,-0.1582278359
