observation_date,XTIMVA01EZM667S
2008-01-01,202700385665.316010
2008-02-01,198201183891.457001
2008-03-01,211754091300.042999
2008-04-01,212046125262.330994
2008-05-01,212304980192.415985
2008-06-01,217060765869.195007
2008-07-01,226981289394.355011
2008-08-01,213386098654.708008
2008-09-01,200325099445.712006
2008-10-01,176430057136.261017
2008-11-01,164639486070.473999
2008-12-01,161025981873.112000
2009-01-01,145177238559.936981
2009-02-01,139172356369.692017
2009-03-01,137396656985.360016
2009-04-01,136014475184.541000
2009-05-01,139832867087.372009
2009-06-01,144670968563.875000
2009-07-01,145573545265.220978
2009-08-01,149237660485.020996
2009-09-01,158161091246.192993
2009-10-01,158616888888.889008
2009-11-01,162684985328.493011
2009-12-01,162545426327.125000
2010-01-01,164283472760.661011
2010-02-01,156335773414.516998
2010-03-01,168391316146.539978
2010-04-01,164768801753.531006
2010-05-01,163857327586.207001
2010-06-01,163032857856.468994
2010-07-01,171014100552.164978
2010-08-01,173224045958.145020
2010-09-01,174427561585.148010
2010-10-01,186510694444.444000
2010-11-01,189918381259.295990
2010-12-01,180674210042.514008
2011-01-01,193772520774.213013
2011-02-01,199520109252.304993
2011-03-01,205901431879.113007
2011-04-01,215913857909.954010
2011-05-01,208238461538.462006
2011-06-01,210691919853.325989
2011-07-01,213403768451.126007
2011-08-01,215713224479.621002
2011-09-01,201782943603.851013
2011-10-01,202998765190.122009
2011-11-01,199551680335.450012
2011-12-01,191022947292.936005
2012-01-01,190345677419.355011
2012-02-01,202171427670.973999
2012-03-01,199746845170.199005
2012-04-01,198358481107.838989
2012-05-01,194040898726.433990
2012-06-01,186285368911.174988
2012-07-01,182759195979.899994
2012-08-01,190660101391.436005
2012-09-01,191004181946.856995
2012-10-01,194289139020.536987
2012-11-01,187672589395.088013
2012-12-01,193535406638.744995
2013-01-01,198426329787.234009
2013-02-01,196123540791.141052
2013-03-01,185835428359.958008
2013-04-01,190105867029.778992
2013-05-01,186650620945.320007
2013-06-01,191209302570.835999
2013-07-01,190207269441.745026
2013-08-01,195350617062.791046
2013-09-01,195715033080.252014
2013-10-01,197337768912.156006
2013-11-01,194078709963.355988
2013-12-01,198846319875.766998
2014-01-01,200557027041.114014
2014-02-01,200071199569.248993
2014-03-01,200118849290.750000
2014-04-01,200547007023.243988
2014-05-01,200711657483.466003
2014-06-01,202737112774.712006
2014-07-01,201574606133.681000
2014-08-01,195097214084.056946
2014-09-01,192714802303.484009
2014-10-01,184677832623.063049
2014-11-01,179774460672.250000
2014-12-01,177572882110.819977
2015-01-01,167165070467.800995
2015-02-01,168876730001.147003
2015-03-01,167726743499.979980
2015-04-01,165734628188.062012
2015-05-01,171322355814.449982
2015-06-01,170324136457.792999
2015-07-01,165426691225.720001
2015-08-01,165150845504.476990
2015-09-01,166941686557.277985
2015-10-01,167186620595.574982
2015-11-01,157123942665.394012
2015-12-01,160519234173.972992
2016-01-01,158786306426.941010
2016-02-01,163652445770.566010
2016-03-01,161537504560.627014
2016-04-01,162861454452.573029
2016-05-01,161809491413.250000
2016-06-01,163722173633.565002
2016-07-01,162804090878.931976
2016-08-01,166549173437.938019
2016-09-01,164973007627.581024
2016-10-01,165318033158.423004
2016-11-01,164765838182.152008
2016-12-01,163833457965.683990
2017-01-01,171502171387.928986
2017-02-01,173095413492.532990
2017-03-01,173840026403.498993
2017-04-01,173751092173.263000
2017-05-01,183989187063.701996
2017-06-01,178185103507.730988
2017-07-01,185532205832.988007
2017-08-01,191161851765.122009
2017-09-01,190514747966.584991
2017-10-01,189926433813.942993
2017-11-01,195793719958.097046
2017-12-01,201102798726.177002
2018-01-01,210171526413.806000
2018-02-01,206825202303.864014
2018-03-01,205730932731.782013
2018-04-01,208853307903.875000
2018-05-01,202917838345.527008
2018-06-01,204881144685.471985
2018-07-01,207316671836.425995
2018-08-01,204043816548.957001
2018-09-01,207473654242.856995
2018-10-01,209010896392.152008
2018-11-01,200858280020.351990
2018-12-01,201514837706.992004
2019-01-01,204382755982.485992
2019-02-01,201937772089.682953
2019-03-01,203637602846.761047
2019-04-01,200978612826.584015
2019-05-01,198634624569.908997
2019-06-01,199802676127.369049
2019-07-01,199655055728.892975
2019-08-01,194901458277.919006
2019-09-01,194633026729.424011
2019-10-01,195414795490.721985
2019-11-01,193901996274.743011
2019-12-01,194062847237.654999
2020-01-01,200050157239.156006
2020-02-01,190252850498.122009
2020-03-01,173806834461.437988
2020-04-01,145007664959.717987
2020-05-01,151056270770.265991
2020-06-01,166484867530.112000
2020-07-01,176362654580.408997
2020-08-01,181989156426.295990
2020-09-01,188723144291.932007
2020-10-01,188463965776.261993
2020-11-01,195702850709.761047
2020-12-01,203872988348.264008
2021-01-01,200967037934.191986
2021-02-01,206964550090.475006
2021-03-01,217464780061.942993
2021-04-01,220151788481.299988
2021-05-01,226254862783.152008
2021-06-01,225454377180.622009
2021-07-01,222753745486.442993
2021-08-01,227564835070.790985
2021-09-01,231365825708.320007
2021-10-01,241114672992.243988
2021-11-01,250420660196.833008
2021-12-01,257092754489.135010
2022-01-01,265719315060.222992
2022-02-01,272135930700.571991
2022-03-01,276958013708.869995
2022-04-01,288417446716.590027
2022-05-01,286484323799.312012
2022-06-01,289464937375.048950
2022-07-01,282578314374.473999
2022-08-01,296170888194.697998
2022-09-01,282372950130.143005
2022-10-01,270582071991.488007
2022-11-01,270775603792.591034
2022-12-01,270631974768.362000
2023-01-01,271258494060.216003
2023-02-01,261619829119.845001
2023-03-01,244412908765.865997
2023-04-01,264840236718.828949
