observation_date,BSCICP03NZM665S
2000-06-01,98.50215
2000-07-01,98.34454
2000-08-01,98.43092
2000-09-01,98.77112
2000-10-01,99.39339
2000-11-01,100.06960
2000-12-01,100.50860
2001-01-01,100.49600
2001-02-01,100.27070
2001-03-01,100.13490
2001-04-01,100.27710
2001-05-01,100.50440
2001-06-01,100.51290
2001-07-01,100.07110
2001-08-01,99.42377
2001-09-01,98.91831
2001-10-01,98.83773
2001-11-01,99.09111
2001-12-01,99.58965
2002-01-01,100.28870
2002-02-01,100.98440
2002-03-01,101.41690
2002-04-01,101.37640
2002-05-01,101.07270
2002-06-01,100.74640
2002-07-01,100.54440
2002-08-01,100.41690
2002-09-01,100.26330
2002-10-01,100.00190
2002-11-01,99.66773
2002-12-01,99.31642
2003-01-01,99.00173
2003-02-01,98.77000
2003-03-01,98.70667
2003-04-01,98.89996
2003-05-01,99.23604
2003-06-01,99.59064
2003-07-01,99.87790
2003-08-01,100.08060
2003-09-01,100.16820
2003-10-01,100.09950
2003-11-01,99.94081
2003-12-01,99.75495
2004-01-01,99.58187
2004-02-01,99.44542
2004-03-01,99.37827
2004-04-01,99.41028
2004-05-01,99.48742
2004-06-01,99.54536
2004-07-01,99.53789
2004-08-01,99.48450
2004-09-01,99.40879
2004-10-01,99.32270
2004-11-01,99.23306
2004-12-01,99.14231
2005-01-01,99.05281
2005-02-01,98.97213
2005-03-01,98.91364
2005-04-01,98.88828
2005-05-01,98.87407
2005-06-01,98.83368
2005-07-01,98.72074
2005-08-01,98.51239
2005-09-01,98.15895
2005-10-01,97.62895
2005-11-01,97.09930
2005-12-01,96.82812
2006-01-01,97.02735
2006-02-01,97.47678
2006-03-01,97.90873
2006-04-01,98.14240
2006-05-01,98.23588
2006-06-01,98.28458
2006-07-01,98.35990
2006-08-01,98.49264
2006-09-01,98.71931
2006-10-01,99.07109
2006-11-01,99.46870
2006-12-01,99.80471
2007-01-01,99.97991
2007-02-01,100.00140
2007-03-01,99.84471
2007-04-01,99.47038
2007-05-01,99.01767
2007-06-01,98.65491
2007-07-01,98.50784
2007-08-01,98.49809
2007-09-01,98.52788
2007-10-01,98.52726
2007-11-01,98.46189
2007-12-01,98.28642
2008-01-01,97.96250
2008-02-01,97.58713
2008-03-01,97.29228
2008-04-01,97.19629
2008-05-01,97.27450
2008-06-01,97.51880
2008-07-01,97.92293
2008-08-01,98.30173
2008-09-01,98.39651
