observation_date,BSCICP03CHM665S
1999-05-01,99.50030
1999-06-01,99.57655
1999-07-01,99.71577
1999-08-01,99.89207
1999-09-01,100.13480
1999-10-01,100.36490
1999-11-01,100.53770
1999-12-01,100.71670
2000-01-01,100.91230
2000-02-01,101.17300
2000-03-01,101.43960
2000-04-01,101.59260
2000-05-01,101.70600
2000-06-01,101.81210
2000-07-01,101.87250
2000-08-01,101.96120
2000-09-01,102.09460
2000-10-01,102.21720
2000-11-01,102.23810
2000-12-01,102.09290
2001-01-01,101.81690
2001-02-01,101.48220
2001-03-01,101.15110
2001-04-01,100.80020
2001-05-01,100.45390
2001-06-01,100.20700
2001-07-01,100.04380
2001-08-01,99.77950
2001-09-01,99.25191
2001-10-01,98.68356
2001-11-01,98.36266
2001-12-01,98.41681
2002-01-01,98.71357
2002-02-01,99.00777
2002-03-01,99.10660
2002-04-01,99.16572
2002-05-01,99.19418
2002-06-01,99.20805
2002-07-01,99.16877
2002-08-01,99.09799
2002-09-01,98.95069
2002-10-01,98.83942
2002-11-01,98.76215
2002-12-01,98.68429
2003-01-01,98.57935
2003-02-01,98.39778
2003-03-01,98.25998
2003-04-01,98.20966
2003-05-01,98.27099
2003-06-01,98.33054
2003-07-01,98.44492
2003-08-01,98.61287
2003-09-01,98.79699
2003-10-01,99.08408
2003-11-01,99.40822
2003-12-01,99.66083
2004-01-01,99.72985
2004-02-01,99.82057
2004-03-01,99.98408
2004-04-01,100.16650
2004-05-01,100.34040
2004-06-01,100.47610
2004-07-01,100.53530
2004-08-01,100.51760
2004-09-01,100.46520
2004-10-01,100.35410
2004-11-01,100.34040
2004-12-01,100.45160
2005-01-01,100.58110
2005-02-01,100.56890
2005-03-01,100.49810
2005-04-01,100.41110
2005-05-01,100.29030
2005-06-01,100.20610
2005-07-01,100.27540
2005-08-01,100.38740
2005-09-01,100.52830
2005-10-01,100.74000
2005-11-01,100.95190
2005-12-01,101.15720
2006-01-01,101.32220
2006-02-01,101.47440
2006-03-01,101.59410
2006-04-01,101.74940
2006-05-01,101.81150
2006-06-01,101.81930
2006-07-01,101.84280
2006-08-01,101.91280
2006-09-01,102.07410
2006-10-01,102.27930
2006-11-01,102.41460
2006-12-01,102.50960
2007-01-01,102.62940
2007-02-01,102.70040
2007-03-01,102.60530
2007-04-01,102.39060
2007-05-01,102.26520
2007-06-01,102.26290
2007-07-01,102.30740
2007-08-01,102.32200
2007-09-01,102.28520
2007-10-01,102.19440
2007-11-01,102.18400
2007-12-01,102.16150
2008-01-01,102.07260
2008-02-01,102.00290
2008-03-01,101.94800
2008-04-01,101.87570
2008-05-01,101.70440
2008-06-01,101.41010
2008-07-01,101.08500
2008-08-01,100.70640
2008-09-01,100.21660
2008-10-01,99.59752
2008-11-01,98.88758
2008-12-01,98.17259
2009-01-01,97.45766
2009-02-01,96.84800
2009-03-01,96.44231
2009-04-01,96.37638
2009-05-01,96.62051
2009-06-01,96.96781
2009-07-01,97.35952
2009-08-01,97.69740
2009-09-01,98.04585
2009-10-01,98.37351
2009-11-01,98.77725
2009-12-01,99.19733
2010-01-01,99.60013
2010-02-01,99.97498
2010-03-01,100.27280
2010-04-01,100.56620
2010-05-01,100.86010
2010-06-01,101.17820
2010-07-01,101.42880
2010-08-01,101.56950
2010-09-01,101.66130
2010-10-01,101.82810
2010-11-01,101.95200
2010-12-01,101.98120
2011-01-01,101.90730
2011-02-01,101.77720
2011-03-01,101.71090
2011-04-01,101.56570
2011-05-01,101.31970
2011-06-01,101.03400
2011-07-01,100.65420
