observation_date,CSCICP03CHM665S
1992-03-01,96.05063
1992-04-01,96.19650
1992-05-01,96.31173
1992-06-01,96.32703
1992-07-01,96.27959
1992-08-01,96.22028
1992-09-01,96.18365
1992-10-01,96.16981
1992-11-01,96.17794
1992-12-01,96.21714
1993-01-01,96.29513
1993-02-01,96.43617
1993-03-01,96.66016
1993-04-01,96.89860
1993-05-01,97.06294
1993-06-01,97.09834
1993-07-01,97.11162
1993-08-01,97.26369
1993-09-01,97.68417
1993-10-01,98.24717
1993-11-01,98.79361
1993-12-01,99.21106
1994-01-01,99.53011
1994-02-01,99.79076
1994-03-01,100.00720
1994-04-01,100.19090
1994-05-01,100.33120
1994-06-01,100.40890
1994-07-01,100.45230
1994-08-01,100.48180
1994-09-01,100.48820
1994-10-01,100.42490
1994-11-01,100.20040
1994-12-01,99.74031
1995-01-01,99.21070
1995-02-01,98.83916
1995-03-01,98.80534
1995-04-01,98.97356
1995-05-01,99.18139
1995-06-01,99.32632
1995-07-01,99.41277
1995-08-01,99.45976
1995-09-01,99.46724
1995-10-01,99.42168
1995-11-01,99.27427
1995-12-01,98.97198
1996-01-01,98.59062
1996-02-01,98.21745
1996-03-01,97.91296
1996-04-01,97.66441
1996-05-01,97.46266
1996-06-01,97.32310
1996-07-01,97.25976
1996-08-01,97.32615
1996-09-01,97.57994
1996-10-01,97.91784
1996-11-01,98.21623
1996-12-01,98.38770
1997-01-01,98.47701
1997-02-01,98.54693
1997-03-01,98.64612
1997-04-01,98.79645
1997-05-01,99.03017
1997-06-01,99.37595
1997-07-01,99.76157
1997-08-01,100.09290
1997-09-01,100.29290
1997-10-01,100.39530
1997-11-01,100.43150
1997-12-01,100.41510
1998-01-01,100.39280
1998-02-01,100.42120
1998-03-01,100.54860
1998-04-01,100.74780
1998-05-01,100.99380
1998-06-01,101.27100
1998-07-01,101.53300
1998-08-01,101.71220
1998-09-01,101.74450
1998-10-01,101.67650
1998-11-01,101.54810
1998-12-01,101.37420
1999-01-01,101.18710
1999-02-01,101.02030
1999-03-01,100.90450
1999-04-01,100.84380
1999-05-01,100.86180
1999-06-01,100.99220
1999-07-01,101.19120
1999-08-01,101.42120
1999-09-01,101.66620
1999-10-01,101.91560
1999-11-01,102.16090
1999-12-01,102.38810
2000-01-01,102.57300
2000-02-01,102.66700
2000-03-01,102.62340
2000-04-01,102.51610
2000-05-01,102.43110
2000-06-01,102.42300
2000-07-01,102.44770
2000-08-01,102.43800
2000-09-01,102.34440
2000-10-01,102.21140
2000-11-01,102.10120
2000-12-01,102.05650
2001-01-01,102.03990
2001-02-01,101.99600
2001-03-01,101.88430
2001-04-01,101.74030
2001-05-01,101.60290
2001-06-01,101.47510
2001-07-01,101.27710
2001-08-01,100.87440
2001-09-01,100.17470
2001-10-01,99.43128
2001-11-01,99.01189
2001-12-01,99.21294
2002-01-01,99.74886
2002-02-01,100.26360
2002-03-01,100.50700
2002-04-01,100.53290
2002-05-01,100.41400
2002-06-01,100.17490
2002-07-01,99.86913
2002-08-01,99.52724
2002-09-01,99.17082
2002-10-01,98.86304
2002-11-01,98.70363
2002-12-01,98.77533
2003-01-01,98.94195
2003-02-01,99.03288
2003-03-01,98.93275
2003-04-01,98.74667
2003-05-01,98.62954
2003-06-01,98.70113
2003-07-01,98.89233
2003-08-01,99.11638
2003-09-01,99.32051
2003-10-01,99.50474
2003-11-01,99.68350
2003-12-01,99.86726
2004-01-01,100.04950
2004-02-01,100.21150
2004-03-01,100.32810
2004-04-01,100.39450
2004-05-01,100.38820
2004-06-01,100.28200
2004-07-01,100.12930
2004-08-01,99.99214
2004-09-01,99.91597
2004-10-01,99.88897
2004-11-01,99.89873
2004-12-01,99.93986
2005-01-01,99.98486
2005-02-01,100.00050
2005-03-01,99.96026
2005-04-01,99.88615
2005-05-01,99.80318
2005-06-01,99.72760
2005-07-01,99.66400
2005-08-01,99.62366
2005-09-01,99.63074
2005-10-01,99.70538
2005-11-01,99.89745
2005-12-01,100.25270
2006-01-01,100.66170
2006-02-01,100.98180
2006-03-01,101.10540
2006-04-01,101.11770
2006-05-01,101.12520
2006-06-01,101.19590
2006-07-01,101.30400
2006-08-01,101.40060
2006-09-01,101.44640
2006-10-01,101.45610
2006-11-01,101.45000
2006-12-01,101.44150
2007-01-01,101.44070
2007-02-01,101.45710
2007-03-01,101.49480
2007-04-01,101.53010
2007-05-01,101.52900
2007-06-01,101.46600
2007-07-01,101.38070
2007-08-01,101.32300
2007-09-01,101.32170
2007-10-01,101.32500
2007-11-01,101.25080
2007-12-01,101.03310
2008-01-01,100.74500
2008-02-01,100.47310
2008-03-01,100.26300
2008-04-01,100.04730
2008-05-01,99.71169
2008-06-01,99.16562
2008-07-01,98.53372
2008-08-01,97.99129
2008-09-01,97.68589
2008-10-01,97.56945
2008-11-01,97.60562
2008-12-01,97.78822
2009-01-01,98.00703
2009-02-01,98.13919
2009-03-01,98.10432
2009-04-01,98.00636
2009-05-01,97.99991
2009-06-01,98.21980
2009-07-01,98.61913
2009-08-01,99.16122
2009-09-01,99.83233
2009-10-01,100.51150
2009-11-01,101.04270
2009-12-01,101.29900
2010-01-01,101.39510
2010-02-01,101.46000
2010-03-01,101.57180
2010-04-01,101.72220
2010-05-01,101.87880
2010-06-01,102.00830
2010-07-01,102.09390
2010-08-01,102.10350
2010-09-01,102.00110
2010-10-01,101.83480
2010-11-01,101.65440
2010-12-01,101.49280
2011-01-01,101.36120
2011-02-01,101.27060
2011-03-01,101.22220
2011-04-01,101.15790
2011-05-01,100.99200
2011-06-01,100.65920
2011-07-01,100.26460
2011-08-01,99.95062
2011-09-01,99.82657
2011-10-01,99.81731
2011-11-01,99.83302
2011-12-01,99.82404
2012-01-01,99.81102
2012-02-01,99.84185
2012-03-01,99.95277
2012-04-01,100.08560
2012-05-01,100.15560
2012-06-01,100.09790
2012-07-01,99.97638
2012-08-01,99.87849
2012-09-01,99.87482
2012-10-01,99.95423
2012-11-01,100.11020
2012-12-01,100.34380
2013-01-01,100.59040
2013-02-01,100.76700
2013-03-01,100.80580
2013-04-01,100.75900
2013-05-01,100.68510
2013-06-01,100.62150
2013-07-01,100.58350
2013-08-01,100.58960
2013-09-01,100.65920
2013-10-01,100.76820
2013-11-01,100.89290
2013-12-01,101.01450
2014-01-01,101.10880
2014-02-01,101.13850
2014-03-01,101.07310
2014-04-01,100.97380
2014-05-01,100.91690
2014-06-01,100.95310
2014-07-01,101.02220
2014-08-01,101.03470
2014-09-01,100.91990
2014-10-01,100.73030
2014-11-01,100.53630
2014-12-01,100.39500
2015-01-01,100.32420
2015-02-01,100.35350
2015-03-01,100.50520
2015-04-01,100.67530
2015-05-01,100.72290
2015-06-01,100.54110
2015-07-01,100.25050
2015-08-01,100.00900
2015-09-01,99.92995
2015-10-01,99.95221
2015-11-01,99.99249
2015-12-01,99.99709
2016-01-01,99.97537
2016-02-01,99.95153
2016-03-01,99.94265
2016-04-01,99.93893
2016-05-01,99.92348
2016-06-01,99.88708
2016-07-01,99.85451
2016-08-01,99.86798
2016-09-01,99.96684
2016-10-01,100.12110
2016-11-01,100.29650
2016-12-01,100.46430
2017-01-01,100.58990
2017-02-01,100.62040
2017-03-01,100.51380
2017-04-01,100.36380
2017-05-01,100.29430
2017-06-01,100.39550
2017-07-01,100.58160
2017-08-01,100.73760
2017-09-01,100.78100
2017-10-01,100.75430
2017-11-01,100.71510
2017-12-01,100.69670
2018-01-01,100.68040
2018-02-01,100.62580
2018-03-01,100.49920
2018-04-01,100.33950
2018-05-01,100.20070
2018-06-01,100.12760
2018-07-01,100.10960
2018-08-01,100.13750
2018-09-01,100.20480
2018-10-01,100.26310
2018-11-01,100.24560
2018-12-01,100.09880
2019-01-01,99.89111
2019-02-01,99.70963
2019-03-01,99.61896
2019-04-01,99.59290
2019-05-01,99.59876
2019-06-01,99.61683
2019-07-01,99.62800
2019-08-01,99.61527
2019-09-01,99.57213
2019-10-01,99.53474
2019-11-01,99.53984
2019-12-01,99.57670
2020-01-01,99.49672
2020-02-01,99.05915
2020-03-01,98.09361
2020-04-01,97.02029
2020-05-01,96.43818
2020-06-01,96.82130
2020-07-01,97.72354
2020-08-01,98.58437
2020-09-01,99.01547
2020-10-01,99.12877
2020-11-01,99.09601
2020-12-01,99.02616
2021-01-01,98.98891
2021-02-01,99.04967
2021-03-01,99.27187
2021-04-01,99.62139
2021-05-01,100.08440
2021-06-01,100.65770
2021-07-01,101.22590
2021-08-01,101.62470
2021-09-01,101.70890
2021-10-01,101.59060
2021-11-01,101.37050
2021-12-01,101.07220
2022-01-01,100.67740
2022-02-01,100.09460
2022-03-01,99.22462
2022-04-01,98.21268
2022-05-01,97.23309
2022-06-01,96.41489
2022-07-01,95.73549
2022-08-01,95.19272
2022-09-01,94.83811
2022-10-01,94.67357
2022-11-01,94.78079
2022-12-01,95.26079
2023-01-01,95.90144
2023-02-01,96.45132
2023-03-01,96.73282
2023-04-01,96.84598
2023-05-01,96.91338
2023-06-01,96.99333
2023-07-01,97.03886
2023-08-01,96.93326
2023-09-01,96.56010
2023-10-01,96.02441
2023-11-01,95.43408
