observation_date,ULQELP01USQ659S
1988-01-01,1.6032516916167401
1988-04-01,2.2375247230111501
1988-07-01,2.0538665925132000
1988-10-01,1.6322953355900500
1989-01-01,1.8669981288858599
1989-04-01,1.4626531592259799
1989-07-01,1.9079877980771900
1989-10-01,1.1493854055618100
1990-01-01,0.8537447079094660
1990-04-01,0.8715828402625060
1990-07-01,0.6833439658771530
1990-10-01,0.1044120041545220
1991-01-01,0.1699565186921180
1991-04-01,0.5306218253114020
1991-07-01,0.7903735737106160
1991-10-01,1.7529889811991499
1992-01-01,2.7054659599291102
1992-04-01,2.5796574340432299
1992-07-01,2.7112515029426101
1992-10-01,3.3681016504918100
1993-01-01,2.1602373396268999
1993-04-01,1.4757312607528601
1993-07-01,0.6985505510284010
1993-10-01,0.6442389805607590
1994-01-01,1.1443773929718899
1994-04-01,1.9843213825746500
1994-07-01,2.1195695781116002
1994-10-01,1.3572946133444399
1995-01-01,1.1152990081715399
1995-04-01,0.7316783327729570
1995-07-01,1.2855384930987901
1995-10-01,1.5699988039255499
1996-01-01,2.0346742441613999
1996-04-01,2.6429115748682999
1996-07-01,2.1815426763232901
1996-10-01,2.2822231196819200
1997-01-01,1.9162501259374201
1997-04-01,1.8436755944721199
1997-07-01,2.4740825277826799
1997-10-01,2.3512355921950698
1998-01-01,3.0221833562280600
1998-04-01,2.5704391187297202
1998-07-01,2.8232100967461302
1998-10-01,3.4640050047487900
1999-01-01,3.1125423710462901
1999-04-01,3.1847662118194799
1999-07-01,3.2202086608300999
1999-10-01,3.2768225261272601
2000-01-01,1.4203820895280601
2000-04-01,2.3763891787199900
2000-07-01,1.5964941119575000
2000-10-01,0.6080884636332410
2001-01-01,1.3775466420471101
2001-04-01,0.8921768374279400
2001-07-01,0.4715961981773220
2001-10-01,0.9876678694868321
2002-01-01,2.5426855213024200
2002-04-01,1.8663356072122299
2002-07-01,2.0813047046274900
2002-10-01,1.6745717636142801
2003-01-01,0.6886848628687821
2003-04-01,0.9954234511730450
2003-07-01,2.6777458146479298
2003-10-01,3.0774583090405399
2004-01-01,3.5548649777667101
2004-04-01,3.2922861984433802
2004-07-01,2.0154275095880800
2004-10-01,2.0548147900174798
2005-01-01,2.4740920332851601
2005-04-01,1.6968208699115701
2005-07-01,1.4504479984412300
2005-10-01,1.1166668535347100
2006-01-01,1.0392321834075300
2006-04-01,1.1559998810624099
2006-07-01,0.7251868765559361
2006-10-01,0.5154625528076470
2007-01-01,-0.2900527701324070
2007-04-01,0.6882440748747460
2007-07-01,1.3886130836954200
2007-10-01,1.6688006854217401
2008-01-01,1.3427689641739999
2008-04-01,1.3239075173419801
2008-07-01,0.7307083342917940
2008-10-01,-1.0659836000378500
2009-01-01,-0.0153046229498429
2009-04-01,-0.1317173460722510
2009-07-01,0.9437400497103490
2009-10-01,4.2455262869894099
2010-01-01,3.8813878422644401
2010-04-01,3.7104331806362305
2010-07-01,3.3931602670058898
2010-10-01,2.1949472236240299
2011-01-01,1.4247624754686901
2011-04-01,1.5213084198085800
2011-07-01,0.5491313405418879
2011-10-01,0.4287618091389480
2012-01-01,0.9024216762099500
2012-04-01,0.5060350969668890
2012-07-01,0.6600537509723180
2012-10-01,-0.3365995609340290
2013-01-01,0.6383774126871939
2013-04-01,0.3389110665761490
2013-07-01,0.9665183712173430
2013-10-01,2.3665189436738401
2014-01-01,0.2605910978777440
2014-04-01,1.2293015078265199
2014-07-01,1.4896521893123500
2014-10-01,0.4457365255991090
2015-01-01,2.0069988518566002
2015-04-01,1.3333892699726200
2015-07-01,0.8126079906725550
2015-10-01,0.6657765739499610
2016-01-01,-0.1140493466147940
2016-04-01,-0.1373844167554120
2016-07-01,-0.0413495040150384
2016-10-01,0.5976404148824270
2017-01-01,0.9974361622901090
2017-04-01,0.9472093330479660
2017-07-01,1.0203580840025399
2017-10-01,1.7854082696818101
2018-01-01,1.7418798009561001
2018-04-01,1.7310861225640100
2018-07-01,1.7392058073238199
2018-10-01,0.2537678392103240
2019-01-01,0.6910834485626201
2019-04-01,1.2999838019256000
2019-07-01,1.3817037659145801
2019-10-01,1.8772463250892300
2020-01-01,0.6803215747070580
2020-04-01,5.4682703530615804
2020-07-01,6.3945936862742707
2020-10-01,4.6806988284470803
2021-01-01,6.5103422095237695
2021-04-01,1.6813999582405701
2021-07-01,-0.1056111434548110
2021-10-01,1.7409396741786500
2022-01-01,-1.2981222369598500
2022-04-01,-2.4248908251779202
2022-07-01,-1.6976306037454201
2022-10-01,-1.5358098587334701
2023-01-01,-0.0370849835415706
2023-04-01,0.5992741840540780
2023-07-01,1.1909293219337700
