observation_date,MABMM301NZM657S
2002-03-01,1.9904593896
2002-04-01,1.2562945706
2002-05-01,-0.2191297587
2002-06-01,1.3801281426
2002-07-01,1.0876029057
2002-08-01,0.6009156117
2002-09-01,0.6450673993
2002-10-01,0.2948134920
2002-11-01,1.3201784067
2002-12-01,1.6586531968
2003-01-01,0.6210946030
2003-02-01,0.4674661640
2003-03-01,0.2234404491
2003-04-01,-0.2170411495
2003-05-01,0.0922349155
2003-06-01,0.7637128369
2003-07-01,1.0058271527
2003-08-01,0.4321229158
2003-09-01,1.3652400384
2003-10-01,2.1441821050
2003-11-01,1.7302860677
2003-12-01,1.3046683753
2004-01-01,1.0927832823
2004-02-01,0.9506689348
2004-03-01,0.6276234004
2004-04-01,0.3150976239
2004-05-01,1.3553419573
2004-06-01,0.4229094144
2004-07-01,-0.7357934042
2004-08-01,-0.1181946643
2004-09-01,-0.4842309225
2004-10-01,0.2029629766
2004-11-01,0.6374489356
2004-12-01,0.4406768245
2005-01-01,0.5788377107
2005-02-01,1.0197723805
2005-03-01,1.1012183438
2005-04-01,0.8257130291
2005-05-01,0.7321558161
2005-06-01,0.9510847368
2005-07-01,0.9467535509
2005-08-01,0.9421838962
2005-09-01,1.8775724065
2005-10-01,0.8915111603
2005-11-01,-0.3630800282
2005-12-01,0.3212520134
2006-01-01,0.6781857659
2006-02-01,0.4763971448
2006-03-01,0.5293211068
2006-04-01,1.0129704544
2006-05-01,1.1000615514
2006-06-01,1.0668288397
2006-07-01,1.2155500557
2006-08-01,1.2354679370
2006-09-01,0.7166826522
2006-10-01,0.2993081129
2006-11-01,1.4202581871
2006-12-01,1.0164284761
2007-01-01,0.5544555188
2007-02-01,1.2778610178
2007-03-01,1.0041635417
2007-04-01,1.4575923605
2007-05-01,1.2369182253
2007-06-01,0.5618828799
2007-07-01,0.5923167093
2007-08-01,0.4013116959
2007-09-01,1.0031965238
2007-10-01,1.2437173799
2007-11-01,0.5776309005
2007-12-01,0.8099908547
2008-01-01,1.2884432269
2008-02-01,0.2828686210
2008-03-01,0.6600814586
2008-04-01,0.8959687909
2008-05-01,0.4127593150
2008-06-01,1.2357871452
2008-07-01,0.8694843146
2008-08-01,0.7402593433
2008-09-01,0.7422450835
2008-10-01,0.7561513206
2008-11-01,1.0196256101
2008-12-01,0.2523677944
2009-01-01,-0.8058899735
2009-02-01,-0.0526628374
2009-03-01,0.2519473904
2009-04-01,-0.3606248079
2009-05-01,-0.0925174196
2009-06-01,0.0034231190
2009-07-01,0.2260959675
2009-08-01,0.3259547492
2009-09-01,0.2116782211
2009-10-01,-0.0012491964
2009-11-01,0.1775362783
2009-12-01,0.6757229636
2010-01-01,-0.0330309428
2010-02-01,-0.2936607167
2010-03-01,0.2653868874
2010-04-01,0.5431407711
2010-05-01,0.5235447901
2010-06-01,-0.1032944279
2010-07-01,0.0607117400
2010-08-01,0.7435551201
2010-09-01,0.7125933611
2010-10-01,0.8549479888
2010-11-01,0.7547408779
2010-12-01,0.6711012878
2011-01-01,1.0425283602
2011-02-01,0.7701419039
2011-03-01,0.6023886575
2011-04-01,0.8755436750
2011-05-01,0.6466908008
2011-06-01,0.6416031350
2011-07-01,0.5186380248
2011-08-01,-0.2076964694
2011-09-01,-0.1221809089
2011-10-01,0.9761227039
2011-11-01,1.3027718861
2011-12-01,0.6264657410
2012-01-01,0.3300324852
2012-02-01,0.4884279535
2012-03-01,0.7425495140
2012-04-01,0.9149381687
2012-05-01,0.7068844421
2012-06-01,0.6050329907
2012-07-01,1.1745390318
2012-08-01,0.6246684007
2012-09-01,0.0243799677
2012-10-01,0.4268355544
2012-11-01,0.7672115168
2012-12-01,1.2844498244
2013-01-01,1.0140759783
2013-02-01,0.7160253759
2013-03-01,0.7586074774
2013-04-01,0.4397069462
2013-05-01,0.8273318990
2013-06-01,0.6491160922
2013-07-01,0.5770788720
2013-08-01,1.0963501139
2013-09-01,0.8544607130
2013-10-01,0.5176757501
2013-11-01,0.3604353599
2013-12-01,0.3430458955
2014-01-01,0.6947599171
2014-02-01,1.0624263251
2014-03-01,0.0342713266
2014-04-01,-0.0272217579
2014-05-01,0.7565873083
2014-06-01,0.5598179412
2014-07-01,0.3695456563
2014-08-01,0.5955889966
2014-09-01,1.0306165148
2014-10-01,0.6278136182
2014-11-01,0.3901194088
2014-12-01,0.4832352978
2015-01-01,0.6188936487
2015-02-01,0.9281033667
2015-03-01,0.9845412521
2015-04-01,0.7306484709
2015-05-01,0.5047493394
2015-06-01,1.0611016737
2015-07-01,1.1159555347
2015-08-01,0.6729996912
2015-09-01,0.7588195276
2015-10-01,0.3925549106
2015-11-01,0.7411763565
2015-12-01,0.9492050742
2016-01-01,0.4938704508
2016-02-01,0.7826081004
2016-03-01,0.8777762276
2016-04-01,0.8672255505
2016-05-01,0.7156581352
2016-06-01,0.4873227269
2016-07-01,0.5894227183
2016-08-01,0.4715946374
2016-09-01,0.1045342091
2016-10-01,0.6492542845
2016-11-01,0.7595830508
2016-12-01,0.4502902263
2017-01-01,0.5442650207
2017-02-01,0.2567928208
2017-03-01,0.3890178896
2017-04-01,0.6331504528
2017-05-01,0.5708990804
2017-06-01,0.5794849546
2017-07-01,0.7305568476
2017-08-01,0.6215427893
