observation_date,CANB6BLTT02STSAQ
2003-01-01,1.16631799999999997
2003-04-01,0.30604660000000000
2003-07-01,1.65906899999999990
2003-10-01,1.77109600000000000
2004-01-01,2.10612999999999984
2004-04-01,2.71776900000000010
2004-07-01,2.34084100000000017
2004-10-01,2.21376900000000010
2005-01-01,0.90297640000000001
2005-04-01,1.10888199999999992
2005-07-01,2.20265699999999987
2005-10-01,3.40048800000000018
2006-01-01,1.85013500000000009
2006-04-01,1.21525499999999997
2006-07-01,1.31141799999999997
2006-10-01,1.40880000000000005
2007-01-01,1.02631999999999990
2007-04-01,1.49840300000000015
2007-07-01,0.30892759999999991
2007-10-01,0.47142180000000000
2008-01-01,0.90173070000000000
2008-04-01,1.32820800000000006
2008-07-01,0.96169280000000001
2008-10-01,-2.69193799999999994
2009-01-01,-2.73947599999999980
2009-04-01,-2.82624100000000000
2009-07-01,-3.32133399999999979
2009-10-01,-2.75238700000000014
2010-01-01,-3.24032600000000004
2010-04-01,-3.50874599999999992
2010-07-01,-4.81213800000000003
2010-10-01,-2.70247999999999999
2011-01-01,-3.08524099999999990
2011-04-01,-3.11730799999999997
2011-07-01,-2.22271000000000019
2011-10-01,-2.44232400000000016
2012-01-01,-2.90603400000000001
2012-04-01,-3.81047899999999995
2012-07-01,-3.77748499999999998
2012-10-01,-3.63891900000000001
2013-01-01,-3.22221799999999980
2013-04-01,-3.30733899999999981
2013-07-01,-2.94118300000000010
2013-10-01,-3.09943899999999983
2014-01-01,-2.40494800000000009
2014-04-01,-2.05511499999999980
2014-07-01,-1.89671999999999996
2014-10-01,-2.92143199999999981
2015-01-01,-3.89437100000000003
2015-04-01,-3.35610500000000034
2015-07-01,-3.13524599999999998
2015-10-01,-3.59756600000000049
2016-01-01,-3.73134800000000011
2016-04-01,-3.55757199999999996
2016-07-01,-3.22508399999999984
2016-10-01,-1.87653500000000006
2017-01-01,-2.38639700000000010
2017-04-01,-2.80898800000000026
2017-07-01,-3.14284799999999986
2017-10-01,-2.86543599999999987
2018-01-01,-2.72868800000000000
2018-04-01,-2.24386000000000019
2018-07-01,-1.62765699999999991
2018-10-01,-2.91995199999999988
2019-01-01,-3.08094799999999980
2019-04-01,-1.12821499999999997
2019-07-01,-2.17836500000000033
2019-10-01,-1.45282199999999984
2020-01-01,-3.11571199999999982
2020-04-01,-1.40480899999999997
2020-07-01,-2.20344300000000004
2020-10-01,-1.28868699999999992
2021-01-01,-0.28477559999999991
2021-04-01,-0.10048169999999999
2021-07-01,0.35672709999999991
2021-10-01,-0.06269348000000000
2022-01-01,0.46340540000000002
2022-04-01,0.86209050000000009
2022-07-01,-1.15737800000000002
2022-10-01,-1.36753999999999998
2023-01-01,-0.54274239999999996
2023-04-01,-0.81462049999999997
2023-07-01,-1.08458800000000011
2023-10-01,-0.07408604000000001
2024-01-01,-0.29711029999999999
2024-04-01,-0.62367369999999989
2024-07-01,-0.46934849999999989
2024-10-01,-0.63689640000000003
