,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1985-04-01 00:00:00+00:00,74.25833,69.33382,73.4,69.31739,76.04781,,,
1985-05-01 00:00:00+00:00,74.49051,69.22498,73.8,69.14584,76.04781,,,
1985-06-01 00:00:00+00:00,74.4715,69.26534,73.7,69.02507,76.08471,,,
1985-07-01 00:00:00+00:00,74.41734,69.24596,73.8,69.26745,76.08471,,,
1985-08-01 00:00:00+00:00,74.15247,69.13646,73.8,69.45941,76.08471,,,
1985-09-01 00:00:00+00:00,74.34015,69.14938,73.8,69.42329,76.1375,,,
1985-10-01 00:00:00+00:00,74.32415,69.06275,73.9,69.64318,76.1375,,,
1985-11-01 00:00:00+00:00,74.6612,69.25898,73.9,69.78681,76.1375,,,
1985-12-01 00:00:00+00:00,74.69997,69.18716,74.0,69.40816,76.19804,,,
1986-01-01 00:00:00+00:00,74.61621,69.2163,74.3,70.40282,76.19804,,,
1986-02-01 00:00:00+00:00,74.65721,69.02141,74.4,69.93108,76.19804,,,
1986-03-01 00:00:00+00:00,74.54246,69.32163,74.5,70.28727,76.2467,,,75.62048
1986-04-01 00:00:00+00:00,74.6845,69.19306,74.5,70.50084,76.2467,,,75.62048
1986-05-01 00:00:00+00:00,74.84086,69.23699,74.5,70.4139,76.2467,,,75.62048
1986-06-01 00:00:00+00:00,74.81622,69.26559,74.8,70.98427,76.30429,,,75.51105
1986-07-01 00:00:00+00:00,74.92839,69.07463,74.5,70.84855,76.30429,,,75.51105
1986-08-01 00:00:00+00:00,75.15933,69.12327,74.7,70.97581,76.30429,,,75.51105
1986-09-01 00:00:00+00:00,75.11214,69.30929,74.7,71.02274,76.51671,,,75.29601
1986-10-01 00:00:00+00:00,75.12933,69.34926,74.7,70.8902,76.51671,,,75.29601
1986-11-01 00:00:00+00:00,75.23906,69.22073,74.6,71.05786,76.51671,,,75.29601
1986-12-01 00:00:00+00:00,75.30079,69.20769,74.6,71.12653,76.61962,,,74.94021
1987-01-01 00:00:00+00:00,75.26691,69.10085,74.6,70.94551,76.61962,,,74.94021
1987-02-01 00:00:00+00:00,75.16714,69.05124,74.7,71.14434,76.61962,,,74.94021
1987-03-01 00:00:00+00:00,75.27126,69.02606,74.8,70.79961,76.63077,,,75.29543
1987-04-01 00:00:00+00:00,75.34622,69.03802,74.9,70.96873,76.63077,,,75.29543
1987-05-01 00:00:00+00:00,75.35438,69.10693,75.1,71.16005,76.63077,,,75.29543
1987-06-01 00:00:00+00:00,75.36024,69.12168,75.2,71.1055,76.81384,,,75.35087
1987-07-01 00:00:00+00:00,75.70538,69.10979,75.2,71.03933,76.81384,,,75.35087
1987-08-01 00:00:00+00:00,75.31137,69.10664,75.2,71.11568,76.81384,,,75.35087
1987-09-01 00:00:00+00:00,75.43616,69.08943,75.2,71.50159,77.04586,,,75.15553
1987-10-01 00:00:00+00:00,75.62466,69.33965,75.3,71.19482,77.04586,,,75.15553
1987-11-01 00:00:00+00:00,75.45899,69.2518,75.4,70.65586,77.04586,,,75.15553
1987-12-01 00:00:00+00:00,75.72585,69.17361,75.6,71.03854,77.20877,,,74.92762
1988-01-01 00:00:00+00:00,75.67986,69.23372,75.6,70.68733,77.20877,,,74.92762
1988-02-01 00:00:00+00:00,75.68795,69.23527,75.9,71.311,77.20877,,,74.92762
1988-03-01 00:00:00+00:00,75.75616,69.25106,75.8,71.61501,77.38936,,,74.20797
1988-04-01 00:00:00+00:00,75.78278,69.13506,75.8,71.19096,77.38936,,,74.20797
1988-05-01 00:00:00+00:00,75.61453,69.17001,75.8,71.55364,77.38936,,,74.20797
1988-06-01 00:00:00+00:00,75.73251,69.23105,75.8,72.12261,77.48271,,,74.06931
1988-07-01 00:00:00+00:00,75.64311,69.26897,75.9,71.53263,77.48271,,,74.06931
1988-08-01 00:00:00+00:00,75.73766,69.27372,75.8,71.77533,77.48271,,,74.06931
1988-09-01 00:00:00+00:00,75.88169,69.32824,75.9,71.18341,77.63311,,,73.44892
1988-10-01 00:00:00+00:00,76.09517,69.33825,76.0,71.58984,77.63311,,,73.44892
1988-11-01 00:00:00+00:00,76.00435,69.23529,76.0,71.76765,77.63311,,,73.44892
1988-12-01 00:00:00+00:00,76.09234,69.17688,76.2,71.60185,77.81062,,,73.22962
1989-01-01 00:00:00+00:00,76.18854,69.28746,76.2,71.63202,77.81062,,,73.22962
