time,innov_21d
2013-08-21 23:00:00+00:00,-0.0007788209075040983
2013-08-22 23:00:00+00:00,-0.0005143757550324394
2013-08-25 23:00:00+00:00,-0.0006978836683428444
2013-08-26 23:00:00+00:00,-0.0009579270527774707
2013-08-27 23:00:00+00:00,-0.0009555819308702381
2013-08-28 23:00:00+00:00,-0.0009113985319762251
2013-08-29 23:00:00+00:00,-0.0009773763878175986
2013-09-01 23:00:00+00:00,-0.0009475911078588931
2013-09-02 23:00:00+00:00,-0.0011600495104915924
2013-09-03 23:00:00+00:00,-0.0013616270311775829
2013-09-04 23:00:00+00:00,-0.0013879619430533512
2013-09-05 23:00:00+00:00,-0.0012819119589947223
2013-09-08 23:00:00+00:00,-0.0012920053104139729
2013-09-09 23:00:00+00:00,-0.0011929158631584485
2013-09-10 23:00:00+00:00,-0.0011302521509241638
2013-09-11 23:00:00+00:00,-0.0011824864991767433
2013-09-12 23:00:00+00:00,-0.0009974868571296838
2013-09-15 23:00:00+00:00,-0.0010220828678357352
2013-09-16 23:00:00+00:00,-0.000969894045469529
2013-09-17 23:00:00+00:00,-0.001037157161973219
2013-09-18 23:00:00+00:00,-0.0010786521899231521
2013-09-19 23:00:00+00:00,-0.0006986935628919373
2013-09-22 23:00:00+00:00,-0.0009110920009669675
2013-09-23 23:00:00+00:00,-0.0008780267746924322
2013-09-24 23:00:00+00:00,-0.0008962285357856084
2013-09-25 23:00:00+00:00,-0.0007236630722560373
2013-09-26 23:00:00+00:00,-0.0007973719558520631
2013-09-29 23:00:00+00:00,-0.0008459074293377371
2013-09-30 23:00:00+00:00,-0.0009042898097286218
2013-10-01 23:00:00+00:00,-0.0008552130911491131
2013-10-02 23:00:00+00:00,-0.0008716965677701997
2013-10-03 23:00:00+00:00,-0.0007863395128582798
2013-10-06 23:00:00+00:00,-0.0009077973057705149
2013-10-08 23:00:00+00:00,-0.0008492418901456479
2013-10-09 23:00:00+00:00,-0.001008872865884539
2013-10-10 23:00:00+00:00,-0.0009543270110594594
2013-10-13 23:00:00+00:00,-0.0010121725485867533
2013-10-14 23:00:00+00:00,-0.001128817161867237
2013-10-15 23:00:00+00:00,-0.001081925919661027
2013-10-16 23:00:00+00:00,-0.001190269389011239
2013-10-17 23:00:00+00:00,-0.0011232327804647428
2013-10-20 23:00:00+00:00,-0.0008052650702547763
2013-10-21 23:00:00+00:00,-0.0013281868074231495
2013-10-22 23:00:00+00:00,-0.001361002778389782
2013-10-23 23:00:00+00:00,-0.0011421084081410099
2013-10-24 23:00:00+00:00,-0.000896791435407183
2013-10-28 00:00:00+00:00,-0.0009372535186438916
2013-10-29 00:00:00+00:00,-0.0009240645705658385
2013-10-30 00:00:00+00:00,-0.0008652239113008096
2013-10-31 00:00:00+00:00,-0.0007825847167052652
2013-11-01 00:00:00+00:00,-0.0007768513434100476
2013-11-04 00:00:00+00:00,-0.0006499184884309912
2013-11-05 00:00:00+00:00,-0.0006195096517282233
2013-11-06 00:00:00+00:00,-0.0005940271622755849
