idea,params,window,ret,mean_mo,pct_pos,top3,gates,p2t,n_months,trades,role
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 90, ""lookback_months"": 4, ""neg_scale"": 0.3, ""target_mo"": 0.01}",2024,-0.02332810853273526,-0.0019466167633691274,0.36363636363636365,0.8811645880324578,True,0.07830733209223809,11,130,is_select
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 90, ""lookback_months"": 4, ""neg_scale"": 0.3, ""target_mo"": 0.01}",2025_IS,0.08224527026697848,0.007181499012255649,0.625,0.8196997343192824,True,0.04799497834993871,8,67,is_select
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 60, ""lookback_months"": 6, ""neg_scale"": 0.2, ""target_mo"": 0.012}",2024,-0.003400913053227095,0.0010375498585178237,0.45454545454545453,0.9453038400624317,True,0.07597618579202874,11,130,is_select
eq_tsmom_then_budget_mo,"{""base_vt"": 0.0025, ""lookback"": 60, ""lookback_months"": 6, ""neg_scale"": 0.2, ""target_mo"": 0.012}",2025_IS,0.09425163198523467,0.008138744342862922,0.75,0.6798302728694203,True,0.04691624440735339,8,67,is_select
eq_tsmom_then_budget_daily,"{""base_vt"": 0.0025, ""lookback"": 60, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2024,-0.00821530366461476,0.00048744995374625714,0.45454545454545453,0.92527286045056,True,0.07399508041182419,11,130,is_select
eq_tsmom_then_budget_daily,"{""base_vt"": 0.0025, ""lookback"": 60, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2025_IS,0.16357533004758906,0.01604290713766196,0.75,0.7386805533460664,True,0.045888824563413054,8,67,is_select
eq_tsmom_then_budget_daily,"{""base_vt"": 0.0025, ""lookback"": 90, ""neg_scale"": 0.35, ""target_mo"": 0.01}",2024,0.0010540732735326852,0.0003035921014288593,0.36363636363636365,0.8484841993030564,True,0.07668144750607332,11,130,is_select
eq_tsmom_then_budget_daily,"{""base_vt"": 0.0025, ""lookback"": 90, ""neg_scale"": 0.35, ""target_mo"": 0.01}",2025_IS,0.16721494911624002,0.01692025906964509,0.625,0.820189673401417,True,0.04674759656181003,8,67,is_select
eq_budget_mo_then_tsmom,"{""base_vt"": 0.0025, ""lookback"": 60, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2024,-0.016447202415601603,-0.0003460229274288825,0.45454545454545453,0.8404093616574735,True,0.0644190694127756,11,130,is_select
eq_budget_mo_then_tsmom,"{""base_vt"": 0.0025, ""lookback"": 60, ""neg_scale"": 0.25, ""target_mo"": 0.01}",2025_IS,0.07301105203325964,0.005646261128115018,0.75,0.6791584974106468,True,0.045888824563415295,8,67,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.25}",2024,0.04808136925036566,0.004014262378908017,0.9090909090909091,0.44763325736017134,True,0.0029093206308587515,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.25}",2025_IS,0.02346546186724252,0.0025002068074253814,0.875,0.6571525661329104,True,0.00259303600787751,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.4}",2024,0.07693019080058505,0.006339600408277816,0.9090909090909091,0.44721215436533024,True,0.004528322575585267,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.4}",2025_IS,0.03754473898758803,0.003973558462841337,0.875,0.6574690487584355,True,0.0041072794584760645,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.55}",2024,0.10577901235080422,0.008606311210594065,0.9090909090909091,0.4468046206396705,True,0.006061598279215009,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.55}",2025_IS,0.051624016107933546,0.0054274254963322666,0.875,0.6577863257422893,True,0.005591473791951839,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",2024,0.1923254770014622,0.015082035250455938,0.9090909090909091,0.4456557243803539,True,0.010210146093308357,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.5, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 1.0}",2025_IS,0.09386184746897008,0.009676704923492263,0.875,0.6587418789627861,True,0.00987244809800146,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.25}",2024,0.050064655539994396,0.004172713872896436,1.0,0.44463083800532605,True,0.0029502351794819994,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.25}",2025_IS,0.022613258922969948,0.002396379120800346,0.75,0.7420659966616249,True,0.002575758190764489,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.4}",2024,0.08010344886399112,0.006586022565527145,1.0,0.44649344766689986,True,0.004587158320825903,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.4}",2025_IS,0.036181214276751916,0.003809935213033716,0.75,0.7420592560633646,True,0.004082214258172262,8,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.55}",2024,0.11014224218798785,0.008935877108429115,1.0,0.44829688959061126,True,0.006134223282618028,11,0,is_select
pairs_n2,"{""betas"": {""EURCHF/USDCHF"": 0.2331771245504048, ""EURUSD/GBPUSD"": 1.1529977019054902}, ""entry"": 1.75, ""pairs"": [""EURUSD/GBPUSD:w40"", ""EURCHF/USDCHF:w40""], ""risk_frac"": 0.01, ""sleeve_budget"": 0.55}",2025_IS,0.049749169630533885,0.0052057948959426115,0.75,0.7420543206478574,True,0.005560426548370408,8,0,is_select
