add_set,extras,clock,h4_share,max_k,recycle_cap,vt,n_legs,mean_mo,pct_pos,top3,gates,p2t,score
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,2.0,1.5,,7,0.004718050924838962,0.6363636363636364,0.5347497928931675,True,0.026369494360890238,0.05149869106657144
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,2.0,2.0,0.0025,7,0.011244277782915046,0.6363636363636364,0.6277334120041104,True,0.06929229204592574,0.11454228668700345
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,2.0,2.0,,7,0.0062659269804776355,0.6363636363636364,0.5360105536423103,True,0.03503637733238134,0.06697745162295818
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,1.0,0.0025,7,0.01528614738606059,0.7272727272727273,0.6085941401272684,True,0.04184942977137138,0.16103757901406077
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,1.0,,7,0.005595991978411208,0.8181818181818182,0.5939790524445355,True,0.014772092617522894,0.06936901069320299
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,1.5,0.0025,7,0.019480090406007008,0.8181818181818182,0.6245662089292259,True,0.045004527389948014,0.20624469825482292
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,1.5,,7,0.008387319819942583,0.8181818181818182,0.5953925694107023,True,0.022117293910138308,0.09728228910851675
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,2.0,0.0025,7,0.020505596770610247,0.8181818181818182,0.6373696432520831,True,0.044812172858425946,0.2154754871550267
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,3.0,2.0,,7,0.011000044375095124,0.7272727272727273,0.5957753444562769,True,0.028574149088216896,0.1188640801145876
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,1.0,0.0025,7,0.012851350972515531,0.8181818181818182,0.5702160168514747,True,0.06173322414646692,0.1419226006342462
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,1.0,,7,0.004858614976165748,0.8181818181818182,0.5592496561831267,True,0.024524698719115674,0.061995240670748394
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,1.5,0.0025,7,0.01715039813629058,0.8181818181818182,0.5824991894678143,True,0.06453451769049118,0.1849130722719967
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,1.5,,7,0.007323173263850286,0.8181818181818182,0.5612004451963981,True,0.03576714270454651,0.08664082354759377
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,2.0,0.0025,7,0.019515072762081018,0.8181818181818182,0.6210705815964773,True,0.06150032140709734,0.2068741720021829
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.70,0.7,4.0,2.0,,7,0.010128518599433655,0.8181818181818182,0.5763826195330696,True,0.04065732465703362,0.11469427690342747
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,1.0,0.0025,7,0.010366815054617713,0.7272727272727273,0.6367948506104534,True,0.05820279780880873,0.10958819886097722
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,1.0,,7,0.004194112295674487,0.7272727272727273,0.6456299068763527,True,0.027715094415919097,0.04715436677027302
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,1.5,0.0025,7,0.015458752656005199,0.8181818181818182,0.6107632337675344,True,0.06836894876647794,0.16713555876774014
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,1.5,,7,0.007183632177514176,0.7272727272727273,0.5650668949262052,True,0.04468852506496328,0.08069995813877813
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,2.0,0.0025,7,0.016465330442344148,0.6363636363636364,0.6419342385887273,True,0.06445864667339525,0.1656167471545251
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,,2.0,,7,0.010418511595907131,0.7272727272727273,0.576350704349028,True,0.051220902274897784,0.11304875232270768
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,1.0,0.0025,7,0.01363226497045512,0.7272727272727273,0.6392798534641865,True,0.05549817772957029,0.14204389779105264
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,1.0,,7,0.005458524226328865,0.7272727272727273,0.6057055713549296,True,0.019972443470947735,0.06299243291853064
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,1.5,0.0025,7,0.016857346104972522,0.6363636363636364,0.6644741659215554,True,0.05107303137382689,0.1677337095941826
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,1.5,,7,0.008176690471520849,0.6363636363636364,0.60679222380091,True,0.029982371664677022,0.08554170862931751
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,2.0,0.0025,7,0.016858756741995995,0.6363636363636364,0.6764444910965034,True,0.05107303137383098,0.16679018995042147
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,2.0,2.0,,7,0.010887400087010885,0.6363636363636364,0.6077799323543203,True,0.04000445678065215,0.11256978809994504
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,1.0,0.0025,7,0.012681355946425358,0.7272727272727273,0.5675151358060092,True,0.05792522428889204,0.13567719582788992
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,1.0,,7,0.005104932588003799,0.7272727272727273,0.5534709439429488,True,0.025865231204319203,0.05991296224367435
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,1.5,0.0025,7,0.016048816227151094,0.7272727272727273,0.6057297606822005,True,0.057925224288896335,0.16889341778057124
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,1.5,,7,0.007639226583920981,0.7272727272727273,0.554268710271339,True,0.03861752584476001,0.08525590220284618
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,2.0,0.0025,7,0.0164497756101866,0.6363636363636364,0.6269075114965182,True,0.054833527488832315,0.16666333700032632
corr0.4_n2,"['GBPJPY|H4|squeeze_breakout', 'EURGBP|D1|cci_reversion']",h4=0.85,0.85,3.0,2.0,,7,0.010576543058033794,0.7272727272727273,0.5606936850343599,True,0.04684844749746831,0.1146290669439743
