time,dollar_beta_xs,dollar_beta_xs_36m,dollar_beta_afd,dollar_rx_tsmom,dollar_ew
2014-06-11 23:00:00+00:00,0.0,0.0,0.0,0.002070778018408826,0.0005176945046022064
2014-06-12 23:00:00+00:00,0.0,0.0,0.0,0.0038473174835841496,0.0009618293708960374
2014-06-15 23:00:00+00:00,0.0,0.0,0.0,-0.0011342084536823788,-0.0002835521134205947
2014-06-16 23:00:00+00:00,0.0,0.0,0.0,0.0012313671884396993,0.00030784179710992483
2014-06-17 23:00:00+00:00,0.0,0.0,0.0,-0.0020602352273494384,-0.0005150588068373596
2014-06-18 23:00:00+00:00,0.0,0.0,0.0,0.0035611129498363775,0.0008902782374590944
2014-06-19 23:00:00+00:00,0.0,0.0,0.0,0.000983274979495035,0.0002458187448737587
2014-06-22 23:00:00+00:00,0.0,0.0,0.0,-3.199901418376213e-05,-7.999753545940533e-06
2014-06-23 23:00:00+00:00,0.0,0.0,0.0,0.0010816408945928072,0.0002704102236482018
2014-06-24 23:00:00+00:00,0.0,0.0,0.0,-0.0017762316678243046,-0.00044405791695607615
2014-06-25 23:00:00+00:00,0.0,0.0,0.0,0.0024180189926994128,0.0006045047481748532
2014-06-26 23:00:00+00:00,0.0,0.0,0.0,0.0011338469234333554,0.00028346173085833884
2014-06-29 23:00:00+00:00,0.0,0.0,0.0,0.0012829507571520287,0.0003207376892880072
2014-06-30 23:00:00+00:00,0.0,0.0,0.0,0.0017367256748249207,0.0004341814187062302
2014-07-01 23:00:00+00:00,0.0,0.0,0.0,0.0015168733046185983,0.0003792183261546496
2014-07-02 23:00:00+00:00,0.0,0.0,0.0,-0.0017160745645896011,-0.0004290186411474003
2014-07-03 23:00:00+00:00,0.0,0.0,0.0,-0.002364787040079158,-0.0005911967600197895
2014-07-06 23:00:00+00:00,0.0,0.0,0.0,-0.0006896452615569354,-0.00017241131538923385
2014-07-07 23:00:00+00:00,0.0,0.0,0.0,0.0003333454751679453,8.333636879198632e-05
2014-07-08 23:00:00+00:00,0.0,0.0,0.0,0.0016871482136124722,0.00042178705340311805
2014-07-09 23:00:00+00:00,0.0,0.0,0.0,0.0016105085787107801,0.00040262714467769503
2014-07-10 23:00:00+00:00,0.0,0.0,0.0,-0.0015918694053394442,-0.00039796735133486105
2014-07-13 23:00:00+00:00,0.0,0.0,0.0,-0.0011929437741285014,-0.00029823594353212536
2014-07-14 23:00:00+00:00,0.0,0.0,0.0,0.0003789271325245361,9.473178313113402e-05
2014-07-15 23:00:00+00:00,0.0,0.0,0.0,-0.0030748673548008283,-0.0007687168387002071
2014-07-16 23:00:00+00:00,0.0,0.0,0.0,-0.0007288359942433534,-0.00018220899856083835
2014-07-17 23:00:00+00:00,0.0,0.0,0.0,-0.0017976423162714892,-0.0004494105790678723
2014-07-20 23:00:00+00:00,0.0,0.0,0.0,0.00168480966579408,0.00042120241644852
2014-07-21 23:00:00+00:00,0.0,0.0,0.0,-0.001020151212121258,-0.0002550378030303145
2014-07-22 23:00:00+00:00,0.0,0.0,0.0,-0.001207536234033944,-0.000301884058508486
2014-07-23 23:00:00+00:00,0.0,0.0,0.0,-0.00039148440471760627,-9.787110117940157e-05
2014-07-24 23:00:00+00:00,0.0,0.0,0.0,-0.0014684633773055986,-0.00036711584432639965
2014-07-27 23:00:00+00:00,0.0,0.0,0.0,-0.0024043794946511576,-0.0006010948736627894
2014-07-28 23:00:00+00:00,0.0,0.0,0.0,0.0005210631596309952,0.0001302657899077488
2014-07-29 23:00:00+00:00,0.0,0.0,0.0,-0.0028012302156347996,-0.0007003075539086999
2014-07-30 23:00:00+00:00,0.0,0.0,0.0,-0.00277793937224594,-0.000694484843061485
2014-07-31 23:00:00+00:00,0.0,0.0,0.0,-0.00027183557949989843,-6.795889487497461e-05
2014-08-03 23:00:00+00:00,0.0,0.0,0.0,0.00031105977336779285,7.776494334194821e-05
2014-08-04 23:00:00+00:00,0.0,0.0,0.0,0.0009017837110125081,0.00022544592775312702
2014-08-05 23:00:00+00:00,0.0,0.0,0.0,-0.003383767458420902,-0.0008459418646052255
2014-08-06 23:00:00+00:00,0.0,0.0,0.0,0.0019597626698048777,0.0004899406674512194
2014-08-07 23:00:00+00:00,0.0,0.0,0.0,-0.002455349342467193,-0.0006138373356167982
2014-08-10 23:00:00+00:00,0.0,0.0,0.0,0.0004445399023702397,0.00011113497559255993
2014-08-11 23:00:00+00:00,0.0,0.0,0.0,-8.783933702143686e-05,-2.1959834255359216e-05
2014-08-12 23:00:00+00:00,0.0,0.0,0.0,-0.0005347788334485776,-0.0001336947083621444
2014-08-13 23:00:00+00:00,0.0,0.0,0.0,0.0006332613305138584,0.0001583153326284646
2014-08-14 23:00:00+00:00,0.0,0.0,0.0,0.00030385271139251756,7.596317784812939e-05
2014-08-17 23:00:00+00:00,0.0,0.0,0.0,0.001323284466532182,0.0003308211166330455
2014-08-18 23:00:00+00:00,0.0,0.0,0.0,-0.001070428029694846,-0.0002676070074237115
2014-08-19 23:00:00+00:00,0.0,0.0,0.0,-0.0032763649019723613,-0.0008190912254930903
2014-08-20 23:00:00+00:00,0.0,0.0,0.0,-0.0028999939140551064,-0.0007249984785137766
2014-08-21 23:00:00+00:00,0.0,0.0,0.0,0.0011891404307236167,0.0002972851076809042
2014-08-24 23:00:00+00:00,0.0,0.0,0.0,-0.0029419257567375096,-0.0007354814391843774
2014-08-25 23:00:00+00:00,0.0,0.0,0.0,-0.001199375196665242,-0.0002998437991663105
2014-08-26 23:00:00+00:00,0.0,0.0,0.0,0.0009479479965469764,0.0002369869991367441
2014-08-27 23:00:00+00:00,0.0,0.0,0.0,0.0026977436672053524,0.0006744359168013381
2014-08-28 23:00:00+00:00,0.0,0.0,0.0,0.0006631258511769091,0.00016578146279422727
2014-08-31 23:00:00+00:00,0.0,0.0,0.0,-0.002243186013623293,-0.0005607965034058232
2014-09-01 23:00:00+00:00,0.0,0.0,0.0,0.0009466859518562077,0.00023667148796405193
2014-09-02 23:00:00+00:00,0.0,0.0,0.0,-0.0043623979985291895,-0.0010905994996322974
2014-09-03 23:00:00+00:00,0.0,0.0,0.0,0.0021586271442722055,0.0005396567860680514
2014-09-04 23:00:00+00:00,0.0,0.0,0.0,-0.006850993296438124,-0.001712748324109531
2014-09-07 23:00:00+00:00,0.0,0.0,0.0,0.0007032252607650978,0.00017580631519127445
2014-09-08 23:00:00+00:00,0.0,0.0,0.0,-0.005749998914550794,-0.0014374997286376984
2014-09-09 23:00:00+00:00,0.0,0.0,0.0,0.00015284141205484936,3.821035301371234e-05
2014-09-10 23:00:00+00:00,0.0,0.0,0.0,-0.001783765104531614,-0.0004459412761329035
2014-09-11 23:00:00+00:00,0.0,0.0,0.0,-0.0015892117233633483,-0.00039730293084083707
2014-09-14 23:00:00+00:00,0.0,0.0,0.0,-0.0018115858173496208,-0.0004528964543374052
2014-09-15 23:00:00+00:00,0.0,0.0,0.0,0.0005650218635603966,0.00014125546589009914
2014-09-16 23:00:00+00:00,0.0,0.0,0.0,0.0030000217115825818,0.0007500054278956454
2014-09-17 23:00:00+00:00,0.0,0.0,0.0,-0.006732665597271306,-0.0016831663993178265
2014-09-18 23:00:00+00:00,0.0,0.0,0.0,0.0056606747062720566,0.0014151686765680141
2014-09-21 23:00:00+00:00,0.0,0.0,0.0,-0.003559267219693717,-0.0008898168049234292
2014-09-22 23:00:00+00:00,0.0,0.0,0.0,-0.0022466144455197995,-0.0005616536113799499
2014-09-23 23:00:00+00:00,0.0,0.0,0.0,-0.0010514082959016203,-0.00026285207397540506
2014-09-24 23:00:00+00:00,0.0,0.0,0.0,-0.002735029134705881,-0.0006837572836764702
2014-09-25 23:00:00+00:00,0.0,0.0,0.0,-0.0036053470761464907,-0.0009013367690366227
2014-09-28 23:00:00+00:00,0.0,0.0,0.0,-0.006003951468833161,-0.0015009878672082903
2014-09-29 23:00:00+00:00,0.0,0.0,0.0,-0.0016082773547430676,-0.0004020693386857669
2014-09-30 23:00:00+00:00,0.0,0.0,0.0,-0.0010097498023988738,-0.00025243745059971845
2014-10-01 23:00:00+00:00,0.0,0.0,0.0,-4.9647894790577185e-06,-1.2411973697644296e-06
2014-10-02 23:00:00+00:00,0.0,0.0,0.0,0.0032779187869234855,0.0008194796967308714
2014-10-05 23:00:00+00:00,0.0,0.0,0.0,-0.011985023852984975,-0.002996255963246244
2014-10-06 23:00:00+00:00,0.0,0.0,0.0,0.008938544839381724,0.002234636209845431
2014-10-07 23:00:00+00:00,0.0,0.0,0.0,0.0010201494264570382,0.00025503735661425956
2014-10-08 23:00:00+00:00,0.0,0.0,0.0,0.004989363102936232,0.001247340775734058
2014-10-09 23:00:00+00:00,0.0,0.0,0.0,-0.004482572923472412,-0.001120643230868103
2014-10-12 23:00:00+00:00,0.0,0.0,0.0,-0.0030611130117371706,-0.0007652782529342926
2014-10-13 23:00:00+00:00,0.0,0.0,0.0,0.003406606711244376,0.000851651677811094
2014-10-14 23:00:00+00:00,0.0,0.0,0.0,-0.006150783339290882,-0.0015376958348227204
2014-10-15 23:00:00+00:00,0.0,0.0,0.0,0.009466376716508042,0.0023665941791270106
2014-10-16 23:00:00+00:00,0.0,0.0,0.0,-9.997519615537575e-05,-2.4993799038843937e-05
2014-10-19 23:00:00+00:00,0.0,0.0,0.0,-0.0021452697773381674,-0.0005363174443345418
2014-10-20 23:00:00+00:00,0.0,0.0,0.0,0.0025797090909867194,0.0006449272727466798
2014-10-21 23:00:00+00:00,0.0,0.0,0.0,-0.0014811629684607125,-0.00037029074211517813
2014-10-22 23:00:00+00:00,0.0,0.0,0.0,-0.004525889639664366,-0.0011314724099160914
2014-10-23 23:00:00+00:00,0.0,0.0,0.0,-0.0002576940657765338,-6.442351644413345e-05
2014-10-27 00:00:00+00:00,0.0,0.0,0.0,0.0021566173536207473,0.0005391543384051868
2014-10-28 00:00:00+00:00,0.0,0.0,0.0,0.001457079518681459,0.0003642698796703647
2014-10-29 00:00:00+00:00,0.0,0.0,0.0,0.003528047782439615,0.0008820119456099038
2014-10-30 00:00:00+00:00,0.0,0.0,0.0,-0.007956852533198713,-0.0019892131332996782
2014-10-31 00:00:00+00:00,0.0,0.0,0.0,0.0015019376402135099,0.00037548441005337747
2014-11-03 00:00:00+00:00,-0.003796971462873849,-0.003796971462873849,-0.003796971462873849,-0.006247866799758956,-0.004409695297095125
2014-11-04 00:00:00+00:00,-0.00304958907975153,-0.00304958907975153,-0.00304958907975153,-0.002671435810051438,-0.0029550507623265073
2014-11-05 00:00:00+00:00,0.0040188216632888185,0.0040188216632888185,0.0040188216632888185,0.0037933806417395077,0.003962461407901491
2014-11-06 00:00:00+00:00,-0.007824026602618439,-0.007824026602618439,-0.007824026602618439,-0.006826074821955059,-0.0075745386574525946
2014-11-07 00:00:00+00:00,0.0007649962697036661,0.0007649962697036661,0.0007649962697036661,-0.004552116646575526,-0.0005642819593661319
2014-11-10 00:00:00+00:00,0.003980478429776002,0.003980478429776002,0.003980478429776002,0.006334881662744493,0.0045690792380181245
2014-11-11 00:00:00+00:00,2.9147469664758674e-05,2.9147469664758674e-05,2.9147469664758674e-05,-0.0017803714723688688,-0.0004232322658436482
2014-11-12 00:00:00+00:00,0.0031471420990437093,0.0031471420990437093,0.0031471420990437093,0.004554912655624037,0.0034990847381887913
2014-11-13 00:00:00+00:00,0.003939947447670816,0.003939947447670816,0.003939947447670816,-0.0013347734398582167,0.002621267225788558
2014-11-14 00:00:00+00:00,0.0011068997999383323,0.0011068997999383323,0.0011068997999383323,-0.00028081728512446044,0.0007599705286726341
2014-11-17 00:00:00+00:00,0.0037139439874739055,0.0037139439874739055,0.0037139439874739055,0.003684626250638859,0.0037066145532651438
2014-11-18 00:00:00+00:00,-0.0009473884791670328,-0.0009473884791670328,-0.0009473884791670328,-0.002630816849642995,-0.0013682455717860234
2014-11-19 00:00:00+00:00,-0.0004942401164319266,-0.0004942401164319266,-0.0004942401164319266,0.001056813176183732,-0.0001064767932780119
2014-11-20 00:00:00+00:00,-0.0061044901837540855,-0.0061044901837540855,-0.0061044901837540855,-0.002854719573133784,-0.00529204753109901
2014-11-21 00:00:00+00:00,0.0012488431672366684,0.0012488431672366684,0.0012488431672366684,0.001612379069413932,0.0013397271427809843
2014-11-24 00:00:00+00:00,0.0033358244496862477,0.0033358244496862477,0.0033358244496862477,-0.0018574352110802034,0.002037509534494635
2014-11-25 00:00:00+00:00,-0.003951688096474726,-0.003951688096474726,-0.003951688096474726,-0.000774841468721215,-0.003157476439536348
2014-11-26 00:00:00+00:00,-0.0026333961818251483,-0.0026333961818251483,-0.0026333961818251483,0.00050501423440062,-0.0018487935777687062
2014-11-27 00:00:00+00:00,-0.0003295095348595789,-0.0003295095348595789,-0.0003295095348595789,0.0016449619793665563,0.0001641083436969549
2014-11-28 00:00:00+00:00,0.00015505743337673739,0.00015505743337673739,0.00015505743337673739,-0.003203146848997806,-0.0006844936372168985
2014-12-01 00:00:00+00:00,-0.002863415259143215,-0.002863415259143215,-0.002863415259143215,-0.005856245144730043,-0.003611622730539922
2014-12-02 00:00:00+00:00,0.001528280962084072,0.001528280962084072,0.001528280962084072,-0.005891658466589916,-0.000326703895084425
2014-12-03 00:00:00+00:00,-0.0011217210239315156,-0.0011217210239315156,-0.0011217210239315156,0.005233833705206533,0.00046716765835299657
2014-12-04 00:00:00+00:00,-0.003997235520190101,-0.003997235520190101,-0.003997235520190101,0.002558241059608858,-0.002358366375240361
2014-12-05 00:00:00+00:00,0.0005845408421878973,0.0005845408421878973,0.0005845408421878973,-0.0015122889336696302,6.0333398223515395e-05
2014-12-08 00:00:00+00:00,-0.003691161145609939,-0.003691161145609939,-0.003691161145609939,0.007082432349392209,-0.000997762771859402
2014-12-09 00:00:00+00:00,-0.0025120591528554337,-0.0025120591528554337,-0.0025120591528554337,-0.00022331275162349297,-0.0019398725525474486
2014-12-10 00:00:00+00:00,0.0009402866838568169,0.0009402866838568169,0.0009402866838568169,-0.0035052055095319908,-0.000171086364490385
