,USD,GBP,JPY,CAD,EUR,AUD,NZD
1964-02-01 00:00:00+00:00,0.8438819292,,15.62498628824951,1.5151515301,,,
1964-03-01 00:00:00+00:00,0.0,9.041417773629924,10.769226259073106,-0.9950248447,,,
1964-04-01 00:00:00+00:00,-0.4184100359,8.778382846956912,10.60605646177686,0.0,,,
1964-05-01 00:00:00+00:00,0.0,7.9121787727301385,12.12120521407256,1.0050250941,,,
1964-06-01 00:00:00+00:00,0.8403361225,8.472631432147448,10.447757395949253,0.0,,,
1964-07-01 00:00:00+00:00,0.0,5.622056198642644,13.432841629724667,0.4975124832,,,
1964-08-01 00:00:00+00:00,0.4166666608,7.543325428827696,10.144938911469058,0.0,,,
1964-09-01 00:00:00+00:00,-0.4149377535,8.627048281897576,9.859150950538975,-0.4950495499,,,
1964-10-01 00:00:00+00:00,0.0,7.009255356209332,11.428564469558111,0.4975124832,,,
1964-11-01 00:00:00+00:00,1.6666666432,7.75778436830481,11.428564469558111,0.4950494288,,,
1964-12-01 00:00:00+00:00,-2.0491802995,7.5744658886723215,12.85713323733033,0.0,,,
1965-01-01 00:00:00+00:00,1.6736401437,7.698013138226911,9.72221854640878,0.4926108826,,,
1965-02-01 00:00:00+00:00,0.823045256,3.262759726817044,6.756758405085939,1.9607843725,,,
1965-03-01 00:00:00+00:00,0.4081632597,6.812805000121269,13.888891597383001,0.0,,,
1965-04-01 00:00:00+00:00,0.0,6.727977757668313,12.328772581081694,0.0,,,
1965-05-01 00:00:00+00:00,0.8130081189,7.520857431152028,10.810818869308969,1.4423075876,,,
1965-06-01 00:00:00+00:00,-0.403225801,5.907039608375397,10.810818869308969,0.4739336927,,,
1965-07-01 00:00:00+00:00,0.8097165881,8.857018457632071,7.894735453024038,-0.4716981562,,,
1965-08-01 00:00:00+00:00,0.0,6.632487720998914,6.578948410231966,0.0,,,
1965-09-01 00:00:00+00:00,-0.4016064202,5.670618522638193,6.410257729016022,-0.9478672694,,,
1965-10-01 00:00:00+00:00,-0.403225801,6.467022929164612,10.256404651681894,0.0,,,
1965-11-01 00:00:00+00:00,1.6194331762,7.078477336310329,8.974368535366196,1.9138756558,,,
1965-12-01 00:00:00+00:00,0.3984063691,7.926323502170396,8.860756440407403,0.9389671065,,,
1966-01-01 00:00:00+00:00,0.3968254705,7.109831999625604,8.860756440407403,0.4651163214,,,
1966-02-01 00:00:00+00:00,0.3952569114,7.306069030915441,6.32911537033336,0.9259258965,,,
1966-03-01 00:00:00+00:00,0.3937007818,6.501577180226525,8.53658193529403,0.458715638,,,
1966-04-01 00:00:00+00:00,0.3921568572,7.244772683675427,8.53658193529403,0.4566209341,,,
1966-05-01 00:00:00+00:00,0.0,7.635988810290328,9.756091893094476,0.9090908808,,,
1966-06-01 00:00:00+00:00,0.7812499891,9.839684278179718,12.19511180869537,0.4504504917,,,
1966-07-01 00:00:00+00:00,0.3875968938,6.381731642283905,12.19511180869537,0.0,,,
1966-08-01 00:00:00+00:00,-0.3861003808,7.4501645896969615,12.345680846669648,0.0,,,
1966-09-01 00:00:00+00:00,0.3875968938,6.94498689932459,12.048195100401626,0.0,,,
1966-10-01 00:00:00+00:00,-0.3861003808,6.93223896578683,11.627921621823646,0.4484305341,,,
1966-11-01 00:00:00+00:00,1.5503875754,5.323599170808135,11.76469547145398,1.3392857265,,,
1966-12-01 00:00:00+00:00,0.7633587682,3.5455581039922635,11.627921621823646,0.8810572407,,,
1967-01-01 00:00:00+00:00,0.3787878736,3.3888129160604574,12.790710285459262,0.8733624179,,,
1967-02-01 00:00:00+00:00,0.3773584855,2.9450815907641426,13.095238521648245,0.0,,,
1967-03-01 00:00:00+00:00,0.0,2.5387037404430934,10.112363855468654,0.8658008387,,,
1967-04-01 00:00:00+00:00,0.3759399194,2.185498339197256,12.359550815027553,0.8583691772,,,
1967-05-01 00:00:00+00:00,0.0,-0.6703167320101122,12.22225614804653,0.8510638028,,,
1967-06-01 00:00:00+00:00,0.3745318299,0.188865140846195,11.956577193411611,0.4219408633,,,
1967-07-01 00:00:00+00:00,0.3731343231,1.6454865339895264,13.043433707857321,0.0,,,
1967-08-01 00:00:00+00:00,0.3717472067,1.7764478193424749,13.18685460662743,0.4201681057,,,
1967-09-01 00:00:00+00:00,0.0,3.1815127574592816,13.978458212992306,0.41841008,,,
1967-10-01 00:00:00+00:00,0.0,3.261876780216455,11.458301339248877,0.0,,,
1967-11-01 00:00:00+00:00,1.1111110956,4.648687235804361,13.684196524376357,1.2500000115,,,
1967-12-01 00:00:00+00:00,0.0,6.145603917983067,13.541651649035181,0.8230452414,,,
1968-01-01 00:00:00+00:00,0.7326007225,7.079899692675884,13.402057592021976,0.4081632025,,,
1968-02-01 00:00:00+00:00,1.4545454345,6.845400132851975,14.736836771190998,1.6260163095,,,
1968-03-01 00:00:00+00:00,1.4336918082,8.457260304966606,15.306145422913575,-0.4000000364,,,
1968-04-01 00:00:00+00:00,-0.3533568855,8.458644313332698,14.000034901500547,0.0,,,
