,USD,EUR,GBP,JPY,CAD,CHF,AUD,NZD
1990-07-01 00:00:00+00:00,2.7247956493,,,0.5489481845353028,0.0,,5.467372134038806,7.109941424021726
1990-08-01 00:00:00+00:00,2.7247956493,,,0.5484455316274728,-0.330578501,,5.467372134038806,7.109941424021726
1990-09-01 00:00:00+00:00,3.0027297677,,,0.45620393299494744,-0.4966887323,,5.217391304347685,2.096568841489699
1990-10-01 00:00:00+00:00,4.562043782,,,0.546945682050648,-0.1658374813,,5.217391304347685,2.096568841489699
1990-11-01 00:00:00+00:00,5.732484082,,,0.8196721949354391,0.8305647786,,5.217391304347685,2.096568841489699
1990-12-01 00:00:00+00:00,6.5884476388,,,1.4598534518442285,1.3311148092,,6.8728522336769515,0.5646170077765911
1991-01-01 00:00:00+00:00,6.6787003478,,,1.9178080742726866,2.0033388913,,6.8728522336769515,0.5646170077765911
1991-02-01 00:00:00+00:00,5.5855855898,,,2.0091321857094835,2.341137121,,6.8728522336769515,0.5646170077765911
1991-03-01 00:00:00+00:00,3.726708067,,,1.7272727688587564,2.341137121,,3.553299492385853,0.6222783766994588
1991-04-01 00:00:00+00:00,3.565062395,,,1.8198361660039852,0.9950248721,,3.553299492385853,0.6222783766994588
1991-05-01 00:00:00+00:00,2.6714158593,,,1.7272727688587564,0.3322259021,,3.553299492385853,0.6222783766994588
1991-06-01 00:00:00+00:00,2.486678514,,,1.6363637666154451,0.0,,2.006688963210612,-0.12292579534992631
1991-07-01 00:00:00+00:00,2.2104332301,,,1.7288444440941353,-0.9933774801,,2.006688963210612,-0.12292579534992631
1991-08-01 00:00:00+00:00,2.2104332301,,,1.6363637666154451,-0.8291874064,,2.006688963210612,-0.12292579534992631
1991-09-01 00:00:00+00:00,1.943462895,,,1.3623982172568772,-0.8319467655,,1.1570247933886169,0.6222783766994588
1991-10-01 00:00:00+00:00,0.9598603828,,,1.178604382940418,-1.4950166139,,1.1570247933886169,0.6222783766994588
1991-11-01 00:00:00+00:00,-0.4302926057,,,0.7226740444832291,-2.4711696862,,1.1570247933886169,0.6222783766994588
1991-12-01 00:00:00+00:00,-1.4394580776,,,0.26978476387156114,-2.7914614153,,-1.2861736334405127,1.1228939652457859
1992-01-01 00:00:00+00:00,-1.4382402619,,,-0.2688177920417312,-3.1096562933,,-1.2861736334405127,1.1228939652457859
1992-02-01 00:00:00+00:00,-1.0238907852,,,-0.35810255902810617,-3.4313725451,,-1.2861736334405127,1.1228939652457859
1992-03-01 00:00:00+00:00,-0.8554319907,,,-0.7149241902076109,-3.9215686296,,0.4901960784313042,1.4223869485014085
1992-04-01 00:00:00+00:00,0.0860585211,,,-0.8042896079267892,-2.4630541864,,0.4901960784313042,1.4223869485014085
1992-05-01 00:00:00+00:00,0.9540329563,,,-0.8042896079267892,-1.4900662124,,0.4901960784313042,1.4223869485014085
1992-06-01 00:00:00+00:00,1.2998266779,,,-0.8944543585197695,-1.1647254561,,1.4754098360655554,1.846154244500009
1992-07-01 00:00:00+00:00,1.7301038174,,,-0.8944543585197695,0.0,,1.4754098360655554,1.846154244500009
1992-08-01 00:00:00+00:00,1.9896193924,,,-0.9838997094504309,0.3344481646,,1.4754098360655554,1.846154244500009
1992-09-01 00:00:00+00:00,2.0797227039,,,-0.8064516746500439,0.8389261848,,2.287581699346264,3.5868888722740078
1992-10-01 00:00:00+00:00,1.6421780564,,,-0.8960573217517198,1.5177065794,,2.287581699346264,3.5868888722740078
1992-11-01 00:00:00+00:00,1.6421780564,,,-0.8968609598183686,2.1959459411,,2.287581699346264,3.5868888722740078
1992-12-01 00:00:00+00:00,1.6323023991,,,-1.0762338329830201,2.871621625,,2.2801302931596545,4.071561029038451
