Date,OIL_ME_VS_NON
2007-08-04 00:00:00+00:00,-89.6
2007-08-05 00:00:00+00:00,-96.87
2007-08-06 00:00:00+00:00,77.94
2007-08-07 00:00:00+00:00,-42.830000000000005
2007-08-08 00:00:00+00:00,18.47999999999999
2007-08-09 00:00:00+00:00,-3.019999999999996
2007-08-10 00:00:00+00:00,-21.95
2007-08-11 00:00:00+00:00,49.15
2007-08-12 00:00:00+00:00,152.92000000000002
2007-08-13 00:00:00+00:00,-4.609999999999999
2007-08-14 00:00:00+00:00,169.7
2007-08-15 00:00:00+00:00,-109.36
2007-08-16 00:00:00+00:00,-47.27000000000001
2007-08-17 00:00:00+00:00,-38.93000000000001
2007-08-18 00:00:00+00:00,50.13
2007-08-19 00:00:00+00:00,-70.84
2007-08-20 00:00:00+00:00,15.420000000000002
2007-08-21 00:00:00+00:00,-78.16
2007-08-22 00:00:00+00:00,199.83
2007-08-23 00:00:00+00:00,-66.51
2007-08-24 00:00:00+00:00,58.06
2007-08-25 00:00:00+00:00,123.35000000000001
2007-08-26 00:00:00+00:00,14.930000000000007
2007-08-27 00:00:00+00:00,-48.55
2007-08-28 00:00:00+00:00,-83.67
2007-08-29 00:00:00+00:00,99.18
2007-08-30 00:00:00+00:00,72.87
2007-08-31 00:00:00+00:00,-47.28
2007-09-01 00:00:00+00:00,219.95999999999998
2007-09-02 00:00:00+00:00,-52.81
2007-09-03 00:00:00+00:00,-34.31
2007-09-04 00:00:00+00:00,97.01
2007-09-05 00:00:00+00:00,-30.180000000000007
2007-09-06 00:00:00+00:00,-52.58
2007-09-07 00:00:00+00:00,87.48000000000002
2007-09-08 00:00:00+00:00,24.059999999999995
2007-09-09 00:00:00+00:00,-88.29
2007-09-10 00:00:00+00:00,-32.010000000000005
2007-09-11 00:00:00+00:00,99.18
2007-09-12 00:00:00+00:00,49.139999999999986
2007-09-13 00:00:00+00:00,-62.43000000000001
2007-09-14 00:00:00+00:00,-50.4
2007-09-15 00:00:00+00:00,65.35
2007-09-16 00:00:00+00:00,-86.78
2007-09-17 00:00:00+00:00,-28.549999999999997
2007-09-18 00:00:00+00:00,-89.23
2007-09-19 00:00:00+00:00,-55.129999999999995
2007-09-20 00:00:00+00:00,-30.300000000000004
2007-09-21 00:00:00+00:00,-25.82
2007-09-22 00:00:00+00:00,-45.959999999999994
2007-09-23 00:00:00+00:00,-54.50999999999999
2007-09-24 00:00:00+00:00,1.7800000000000011
2007-09-25 00:00:00+00:00,4.680000000000007
2007-09-26 00:00:00+00:00,-91.56
2007-09-27 00:00:00+00:00,-16.810000000000002
2007-09-28 00:00:00+00:00,-33.52
2007-09-29 00:00:00+00:00,18.42
2007-09-30 00:00:00+00:00,-75.75
2007-10-01 00:00:00+00:00,-65.78
2007-10-02 00:00:00+00:00,22.08999999999999
2007-10-03 00:00:00+00:00,99.92000000000002
2007-10-04 00:00:00+00:00,-97.45
2007-10-05 00:00:00+00:00,-47.23
2007-10-06 00:00:00+00:00,-57.4
2007-10-07 00:00:00+00:00,-87.59
2007-10-08 00:00:00+00:00,-9.420000000000002
2007-10-09 00:00:00+00:00,19.61
2007-10-10 00:00:00+00:00,108.32000000000001
2007-10-11 00:00:00+00:00,104.30000000000001
2007-10-12 00:00:00+00:00,25.619999999999997
2007-10-13 00:00:00+00:00,-38.17999999999999
2007-10-14 00:00:00+00:00,21.060000000000002
2007-10-15 00:00:00+00:00,41.60999999999999
2007-10-16 00:00:00+00:00,38.28
2007-10-17 00:00:00+00:00,265.0
2007-10-18 00:00:00+00:00,100.26000000000002
2007-10-19 00:00:00+00:00,-4.479999999999997
2007-10-20 00:00:00+00:00,74.74
2007-10-21 00:00:00+00:00,40.27000000000001
2007-10-22 00:00:00+00:00,36.37
2007-10-23 00:00:00+00:00,226.70999999999998
2007-10-24 00:00:00+00:00,226.19000000000003
2007-10-25 00:00:00+00:00,19.040000000000006
2007-10-26 00:00:00+00:00,71.32000000000001
2007-10-27 00:00:00+00:00,114.34
2007-10-28 00:00:00+00:00,-131.79
2007-10-29 00:00:00+00:00,-7.710000000000001
2007-10-30 00:00:00+00:00,73.36999999999999
2007-10-31 00:00:00+00:00,-11.43
2007-11-01 00:00:00+00:00,-82.44
2007-11-02 00:00:00+00:00,31.389999999999993
2007-11-03 00:00:00+00:00,-9.659999999999997
2007-11-04 00:00:00+00:00,-105.15
2007-11-05 00:00:00+00:00,-32.910000000000004
2007-11-06 00:00:00+00:00,-57.489999999999995
2007-11-07 00:00:00+00:00,-112.63
2007-11-08 00:00:00+00:00,-87.64
2007-11-09 00:00:00+00:00,-58.3
2007-11-10 00:00:00+00:00,-74.50000000000001
2007-11-11 00:00:00+00:00,-51.9
2007-11-12 00:00:00+00:00,72.13
2007-11-13 00:00:00+00:00,-47.24
2007-11-14 00:00:00+00:00,16.510000000000005
2007-11-15 00:00:00+00:00,-44.870000000000005
2007-11-16 00:00:00+00:00,-60.21
