symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass
XAUUSD,D1,breakout_donchian,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.0, ""donchian_window"": 15, ""session_hours"": null, ""use_mid_exit"": false}",rolling,68,0.026369270676530582,0.00397536904230187,0.1167692505312594,0.03596398193359375,0.20529292101725752,428,False,True,True,0.00397536904230187,False,0.13626777241210952,0.058811422787090735,0.04004796875,3.785205165045067,8,True,True,False,0.005057522267291746,True
XAUUSD,D1,bbands_reversion,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 28, ""require_htf_align"": true, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,68,0.0025259650343947477,0.0,0.0,0.0,0.0,0,True,False,True,0.0,True,0.0,0.0,0.0,0.0,0,True,False,False,-0.0017750472990149813,False
AUDUSD,H4,squeeze_breakout,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 18, ""exit_bars"": 16, ""lookback"": 40, ""session_hours"": null, ""squeeze_pct"": 0.3}",rolling,23,-0.01047883604778398,-0.0031200173305726696,0.02669442795701333,0.009325570408957574,-1.2517760660823014,92,True,False,False,-0.0031200173305726696,True,-0.0845916711998066,0.09655476797342301,0.013268879718780663,-1.9457366188015899,121,True,False,False,-0.003306782606907059,True
AUDUSD,H4,hybrid_regime,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 20, ""rsi_high"": 70, ""rsi_low"": 35, ""session_hours"": null}",rolling,23,-0.012112514321702437,-0.003195138826074357,0.05144725952148452,0.01912287960597445,-0.6893365347481143,101,True,False,False,-0.003195138826074357,True,-0.03265323606355697,0.0717995675776996,0.011793737817491783,-0.6478742869003764,114,True,False,False,-0.002375285836628725,True
AUDUSD,H4,breakout_donchian,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.1, ""donchian_window"": 30, ""session_hours"": null, ""use_mid_exit"": false}",rolling,23,-0.022368384366835647,-0.0050867425618261065,0.03965055753990106,0.019652943711962,-1.6689003433502767,87,True,False,False,-0.0050867425618261065,True,-0.056612993248532306,0.0771057429476585,0.015050588640485512,-0.9475208251998818,94,True,False,False,-0.0022745450923163644,True
AUDUSD,H4,bbands_reversion,approximate_non_ftmo,4452,2863,1589,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,23,0.008177829204226108,0.0012054093817004637,0.02603243411107951,0.013351082801818848,0.971438697986606,25,True,True,True,0.0012054093817004637,True,-0.05293432952881383,0.0581316155961856,0.013356754302978516,-1.3834787480209154,36,True,False,False,-0.000311921267302347,True
AUDUSD,D1,squeeze_breakout,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 10, ""exit_bars"": 16, ""lookback"": 40, ""session_hours"": null, ""squeeze_pct"": 0.2}",rolling,53,-0.004917970170983897,-0.004195402406670848,0.08996081296100983,0.03180101745332984,-0.6049088059872992,181,True,False,False,-0.004195402406670848,True,0.041779007629665355,0.044810087574997354,0.01598888635635376,2.1594887868590322,18,True,True,False,-0.0017224783078797217,True
AUDUSD,D1,hybrid_regime,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 65, ""rsi_low"": 35, ""session_hours"": null}",rolling,53,0.008410713343244081,0.002501086206884384,0.08896585917842162,0.03180101745332984,0.34181853238105925,96,True,True,True,0.002501086206884384,True,0.015476327601840811,0.02114235586573554,0.010102331638336182,1.0968027442232062,9,True,True,False,-8.839251160075027e-05,True
AUDUSD,D1,breakout_donchian,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 22, ""atr_pct_min"": 0.1, ""donchian_window"": 20, ""session_hours"": null, ""use_mid_exit"": false}",rolling,53,0.04727729867695791,0.0034075447138393203,0.07866807231583647,0.03180101745332984,0.24392248003235328,61,True,True,True,0.0034075447138393203,True,-0.02089832553182347,0.0637798650192873,0.010102331638336182,-0.9042271756315555,10,True,False,False,-0.0009762233896734427,True
AUDUSD,D1,bbands_reversion,approximate_non_ftmo,5290,5030,260,2006-05-16 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": true, ""rsi_high"": 60, ""rsi_low"": 40, ""session_hours"": null}",rolling,53,-0.00223449821065983,-0.0009935838028998537,0.07755143356323242,0.016505992412567137,0.49967857699138984,37,True,False,False,-0.0009935838028998537,True,0.011856046581267599,0.019350796723966585,0.007902026176452637,1.0265561704117363,5,True,True,False,-0.002399396406472534,True
