idea,params,window,ret,mean_mo,median_mo,pct_pos,top3,gates,p2t,static,daily,n_months,trades,overlap,n_legs
selected,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_m6,0.06487212274182075,0.004483436815642357,0.002380193479640358,0.6666666666666666,0.7851582807995646,True,0.05298191624898939,0.025721674997768278,0.028926304651034154,12,146,mixed,8
selected_no_recycle,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_m6,0.060712871727097495,0.0035697475191433423,0.0030789083299535003,0.5833333333333334,0.7972076894464424,True,0.046283951143105774,0.029044847663665278,0.01935930888720657,12,146,mixed,8
selected_no_clock,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_m6,0.08308830589750626,0.0063280343807400425,0.004655005868758222,0.6666666666666666,0.7230103175500033,True,0.053930749133406106,0.026023073212600285,0.035279615854950534,12,146,mixed,8
addonly_plain,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_m6,0.05893815563088722,0.00350915219324117,0.002291232305540958,0.5833333333333334,0.8001907647496227,True,0.051177412806613476,0.03436289937882538,0.023650825077728952,12,146,mixed,8
locked_clock_recycle,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_m6,0.19884710143363793,0.014444535271503864,0.008619810507487835,0.75,0.7303768678709359,True,0.04632848376989759,0.01286305180751995,0.044307163597957694,12,79,mixed,5
locked_h4_055_cap15,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",roll12_m6,0.17922292043703303,0.01290489750862231,0.006486158573613454,0.75,0.7304213570368888,True,0.03488875980090459,0.010504008575715998,0.034138192798263335,12,79,mixed,5
locked_h4_055_k3_cap20,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_m6,0.19884710143363793,0.014444535271503864,0.008619810507487835,0.75,0.7303768678709359,True,0.04632848376989759,0.01286305180751995,0.044307163597957694,12,79,mixed,5
locked_oos_cap15,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",roll12_m6,0.19427027017210308,0.014314188778421574,0.006108131020732044,0.75,0.7556641864758649,True,0.036396270984287715,0.016659557721379968,0.041384943064749095,12,79,mixed,5
add_gbpjpy_plain,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 6}",roll12_m6,0.08401123201257987,0.005467347555973741,0.001970901685065307,0.5833333333333334,0.8323709313667198,True,0.05030208013542064,0.03216554061144954,0.028219357322860013,12,107,mixed,6
add_gbpjpy_cap15,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 6}",roll12_m6,0.08731301838695482,0.006689672616125723,0.002481646774317059,0.5833333333333334,0.8934959590465925,True,0.047705882613455486,0.02896750473480104,0.03263453137589662,12,107,mixed,6
