idea,tag,params,n_legs,score,raw_min_mo,avg_pct_pos,avg_top3,vt,chi,wm,symbols
seed6_n8_c0.55|oos_sharpe|vt0.002|hi3.0,seed6_n8_c0.55,n=8|w=oos_sharpe|vt=0.002|chi=3.0|mc=0.55,8,0.002455592099539253,0.005838433125530623,0.7386363636363636,0.6345710256497843,0.002,3.0,oos_sharpe,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|equal|vt0.002|hi3.0,seed6_n8_c0.55,n=8|w=equal|vt=0.002|chi=3.0|mc=0.55,8,0.0024238549021370413,0.006019043452209585,0.7386363636363636,0.6398797137518136,0.002,3.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
mr_n5|equal|vt0.003|hi3.0,mr_n5,n=5|w=equal|vt=0.003|chi=3.0|mc=None,5,0.0023629130697641024,0.005403884186923441,0.7386363636363636,0.6260242779289835,0.003,3.0,equal,GBPCAD|CADJPY|AUDCAD|EURUSD|USDCHF
seed7_n8_c0.55|oos_sharpe|vt0.0035|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.0035|chi=3.0|mc=0.55,8,0.0022882293951998712,0.00588653594644076,0.7840909090909092,0.6399576637810223,0.0035,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed7_n8_c0.55|oos_sharpe|vt0.004|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.004|chi=3.0|mc=0.55,8,0.0022882293951998712,0.00588653594644076,0.7840909090909092,0.6399576637810223,0.004,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed7_n8_c0.55|oos_sharpe|vt0.005|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.005|chi=3.0|mc=0.55,8,0.0022882293951998712,0.00588653594644076,0.7840909090909092,0.6399576637810223,0.005,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed7_n8_c0.55|oos_sharpe|vt0.003|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.003|chi=3.0|mc=0.55,8,0.0022823563314040155,0.005884131544325887,0.7840909090909092,0.6400443803230469,0.003,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed7_n8_c0.55|oos_sharpe|vt0.0025|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.0025|chi=3.0|mc=0.55,8,0.002132214012854014,0.005810871174614005,0.7840909090909092,0.6419664290439998,0.0025,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed6_n8_c0.55|equal|vt0.002|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.002|chi=2.0|mc=0.55,8,0.0016561646475385392,0.004348431116618504,0.7386363636363636,0.6173066617269991,0.002,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed7_n8_c0.55|oos_sharpe|vt0.002|hi3.0,seed7_n8_c0.55,n=8|w=oos_sharpe|vt=0.002|chi=3.0|mc=0.55,8,0.0016439374124964596,0.005593513485391116,0.7840909090909092,0.6487394018223664,0.002,3.0,oos_sharpe,GBPCAD|CADJPY|AUDCAD|NZDCAD|EURUSD|GBPJPY|NZDJPY|USDCHF
seed6_n8_c0.55|equal|vt0.0035|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.0035|chi=2.0|mc=0.55,8,0.0016305057568739975,0.004325949071663716,0.7386363636363636,0.6173860828697431,0.0035,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|equal|vt0.004|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.004|chi=2.0|mc=0.55,8,0.0016305057568739975,0.004325949071663716,0.7386363636363636,0.6173860828697431,0.004,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|equal|vt0.005|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.005|chi=2.0|mc=0.55,8,0.0016305057568739975,0.004325949071663716,0.7386363636363636,0.6173860828697431,0.005,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|equal|vt0.003|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.003|chi=2.0|mc=0.55,8,0.001630505756873922,0.004325949071663716,0.7386363636363636,0.6173860828697448,0.003,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
seed6_n8_c0.55|equal|vt0.0025|hi2.0,seed6_n8_c0.55,n=8|w=equal|vt=0.0025|chi=2.0|mc=0.55,8,0.0016305057568738175,0.004325949071663716,0.7386363636363636,0.6173860828697475,0.0025,2.0,equal,GBPCAD|AUDCAD|EURUSD|CADJPY|NZDCAD|GBPJPY|USDCHF|AUDUSD
lock_plus2|oos_sharpe|vt0.0035|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.0035|chi=2.0|mc=None,7,0.001531765112844296,0.005229926172738472,0.7386363636363636,0.6424540264973544,0.0035,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
lock_plus2|oos_sharpe|vt0.004|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.004|chi=2.0|mc=None,7,0.001531765112844296,0.005229926172738472,0.7386363636363636,0.6424540264973544,0.004,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
lock_plus2|oos_sharpe|vt0.005|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.005|chi=2.0|mc=None,7,0.001531765112844296,0.005229926172738472,0.7386363636363636,0.6424540264973544,0.005,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
lock_plus2|oos_sharpe|vt0.003|hi2.0,lock_plus2,n=7|w=oos_sharpe|vt=0.003|chi=2.0|mc=None,7,0.001474718846867696,0.005233737885332795,0.7386363636363636,0.6439754759616275,0.003,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY
