,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF
1969-10-01 00:00:00+00:00,9.9971140137,8.767123289,,-5.6482769181,,,,
1969-11-01 00:00:00+00:00,7.6918656775,11.1531190873,,-4.1651986605,,,,
1969-12-01 00:00:00+00:00,2.5791855389,13.7254901797,,-3.596642613,,,,
1970-01-01 00:00:00+00:00,-1.7986314643,8.609865472,,-2.1904761854,,,,
1970-02-01 00:00:00+00:00,-5.4724420972,1.8814675573,,3.7326861107,,,,
1970-03-01 00:00:00+00:00,-6.906939725,-4.0329218124,,0.9658882436,,,,
1970-04-01 00:00:00+00:00,-6.0410242963,3.024747945,,1.1537688437,,,,
1970-05-01 00:00:00+00:00,-5.8171604748,-1.4375561496,,-1.0147053273,,,,
1970-06-01 00:00:00+00:00,-8.3527523797,4.2590949378,,-1.3823411934,,,,
1970-07-01 00:00:00+00:00,-9.7516386795,5.3264604786,,1.3693605529,,,,
1970-08-01 00:00:00+00:00,-9.9859687836,8.7478559178,,4.5775546535,,,,
1970-09-01 00:00:00+00:00,-9.6562409921,7.7114427971,,2.1286288315,,,,
1970-10-01 00:00:00+00:00,-8.3801227783,8.0604533919,,1.1178445801,,,,
1970-11-01 00:00:00+00:00,-6.5314835182,8.2482993174,,2.5448306798,,,,
1970-12-01 00:00:00+00:00,2.2165857477,4.1050903204,,1.8267626978,,,,
1971-01-01 00:00:00+00:00,10.7391712027,4.3765483056,,2.7507302716,,,,
1971-02-01 00:00:00+00:00,20.3762868009,24.0997229847,,0.9883416145,,,,
1971-03-01 00:00:00+00:00,19.8546716426,5.746140652,,-3.5884394933,,,,
1971-04-01 00:00:00+00:00,17.7786656262,14.4128113814,,-4.1729592296,,,,
1971-05-01 00:00:00+00:00,17.9193103448,8.8422971821,,-3.047291061,,,,
1971-06-01 00:00:00+00:00,29.429879103,7.5744680905,,0.9277264683,,,,
1971-07-01 00:00:00+00:00,37.7665884909,3.752039154,,-0.0201021375,,,,
1971-08-01 00:00:00+00:00,43.3399017629,2.0504731777,,2.4733544863,,,,
1971-09-01 00:00:00+00:00,44.0991804443,1.6166281736,,3.0331292115,,,,
1971-10-01 00:00:00+00:00,44.8396334393,-0.8547008569,,3.717351672,,,,
1971-11-01 00:00:00+00:00,45.2957296531,1.6496465026,,1.0834926741,,,,
1971-12-01 00:00:00+00:00,40.2983062145,2.9179810754,,1.1507111824,,,,
1972-01-01 00:00:00+00:00,35.8476513597,-1.6613924033,,-0.6870409966,,,,
1972-02-01 00:00:00+00:00,32.5665978655,2.5297619077,,-0.447391556,,,,
1972-03-01 00:00:00+00:00,36.3344051543,5.9205190494,,4.1323005994,,,,
1972-04-01 00:00:00+00:00,37.403082031,2.410575431,,2.3847047205,,,,
1972-05-01 00:00:00+00:00,37.9779724326,18.844221103,,1.7883694123,,,,
1972-06-01 00:00:00+00:00,30.9104403031,7.67405064,,3.3275799653,,,,
1972-07-01 00:00:00+00:00,25.5104183715,4.5597484288,,0.8726073762,,,,
1972-08-01 00:00:00+00:00,22.4531669489,5.332302949,,-1.1988884431,,,,
1972-09-01 00:00:00+00:00,20.632198936,2.7272727329,,-1.5860521733,,,,
1972-10-01 00:00:00+00:00,19.4076475369,6.4263322973,,-1.8311013922,,,,
1972-11-01 00:00:00+00:00,20.4282907984,4.714064916,,-2.2186317897,,,,
1972-12-01 00:00:00+00:00,21.0296633446,5.3639846652,,-3.6696160526,,,,
1973-01-01 00:00:00+00:00,21.9359108008,10.8608206022,,-2.3020038045,,,,
1973-02-01 00:00:00+00:00,20.958772107,1.1611030522,,-1.8778589083,,,,
1973-03-01 00:00:00+00:00,19.0947716487,8.7289433472,,0.687520115,,,,
